dia;metrica;media;desvio
D02;accuracy;0.5;0.2041241452319315
D02;balanced_accuracy;0.5;0.2041241452319315
D02;precision;0.375;0.478713553878169
D02;recall;0.375;0.478713553878169
D02;f1;0.3333333333333333;0.3849001794597505
D02;auc_roc;0.447265625;0.4819063013369187
D03;accuracy;0.875;0.25
D03;balanced_accuracy;0.875;0.25
D03;precision;0.875;0.25
D03;recall;0.875;0.25
D03;f1;0.875;0.25
D03;auc_roc;0.880859375;0.23828125
D04;accuracy;0.65625;0.1196783884695422
D04;balanced_accuracy;0.65625;0.1196783884695422
D04;precision;0.5595238095238095;0.4158154570612614
D04;recall;0.625;0.478713553878169
D04;f1;0.5484848484848486;0.3696969696969697
D04;auc_roc;0.8515625;0.1233616591909063
D05;accuracy;0.890625;0.21875
D05;balanced_accuracy;0.890625;0.21875
D05;precision;1.0;0.0
D05;recall;0.78125;0.4375
D05;f1;0.8055555555555556;0.3888888888888889
D05;auc_roc;1.0;0.0
D06;accuracy;1.0;0.0
D06;balanced_accuracy;1.0;0.0
D06;precision;1.0;0.0
D06;recall;1.0;0.0
D06;f1;1.0;0.0
D06;auc_roc;1.0;0.0
D09;accuracy;0.796875;0.2467233183818127
D09;balanced_accuracy;0.796875;0.2467233183818127
D09;precision;0.7840909090909091;0.2554502318195055
D09;recall;0.84375;0.2366211810750114
D09;f1;0.8092105263157895;0.2405892658228505
D09;auc_roc;0.8125;0.2393567769390845
D10;accuracy;0.578125;0.3512440687518201
D10;balanced_accuracy;0.578125;0.3512440687518201
D10;precision;0.4388888888888888;0.4099081499043714
D10;recall;0.5625;0.5153882032022076
D10;f1;0.4908496732026144;0.4514651179238017
D10;auc_roc;0.564453125;0.3750745911058614
