dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D02;400;7.554055537844399;1.7601001184318825e-06;0.1687904134510587;True
D02;401;7.619451784223985;1.5521777693166663e-06;0.17000323477642265;True
D02;402;7.64567282465992;1.4759214965113887e-06;0.17048852973069206;True
D02;403;7.63601660607942;1.5035550907032023e-06;0.17030987996030036;True
D02;404;7.5933286509695;1.6320934738765886e-06;0.16951918688912063;True
D02;405;7.519728598724837;1.8802372920731982e-06;0.16815237557008023;True
D02;406;7.408558375496566;2.328956863506068e-06;0.1660793050771638;True
D02;407;7.219559866020493;3.3532301945566137e-06;0.16253109863754456;True
D02;408;7.123726785950944;4.035185391595721e-06;0.16072039294784468;True
D02;409;7.04544439236184;4.694653361298528e-06;0.1592354758578966;True
D02;410;6.875753729921012;6.5207801163888895e-06;0.1559985513135622;True
D02;411;6.7032721749812705;9.11179010207521e-06;0.15268274647649607;True
D02;412;6.607365887508447;1.0977604060417123e-05;0.15082773761096008;True
D02;413;6.599169991051145;1.115385277486428e-05;0.15066883670168774;True
D02;414;6.604906120451857;1.103020416256268e-05;0.15078005423159951;True
D02;415;6.5854351899657875;1.145561262083771e-05;0.1504024148988008;True
D02;416;6.531947685203201;1.2711040338991723e-05;0.14936329230571405;True
D02;417;6.464904501606723;1.4481775988250013e-05;0.14805722296653223;True
D02;418;6.451537157281732;1.4863438125737147e-05;0.14779633381605942;True
D02;419;6.384084036888588;1.6949167349188424e-05;0.14647741665249273;True
D02;420;6.265091347246551;2.137149129682812e-05;0.14414076108098264;True
D02;421;6.187466255507755;2.4864083145001725e-05;0.1426095319572227;True
D02;422;6.160060757351585;2.6229560899375027e-05;0.14206762282516322;True
D02;423;6.186486593411527;2.4911641967514032e-05;0.14259017217473835;True
D02;424;6.230613415529158;2.285744211310277e-05;0.14346132659736563;True
D02;425;6.238741447948432;2.249804545767497e-05;0.14362159767966945;True
D02;426;6.208888775127618;2.3846594866412638e-05;0.14303265875548468;True
D02;427;6.168641679296082;2.5794108150679236e-05;0.14223737337480302;True
D02;428;6.113148149193109;2.874406531383299e-05;0.14113839354590973;True
D02;429;6.034110589988015;3.353999125664825e-05;0.13956828318298678;True
D02;430;5.975317070890411;3.7621719877184506e-05;0.13839659963769158;True
D02;431;5.939277798889697;4.0366571738205146e-05;0.13767680179019037;True
D02;432;5.913967958717723;4.241354809361888e-05;0.13717057925126344;True
D02;433;5.896838597463935;4.385770975295565e-05;0.13682763723209476;True
D02;434;5.881613275217031;4.518271697385472e-05;0.13652258650677004;True
D02;435;5.870591206187779;4.6166927224513436e-05;0.13630161652725062;True
D02;436;5.859247195565468;4.7202354795252036e-05;0.1360740741461196;True
D02;437;5.859531760196016;4.717609831707964e-05;0.13607978351526184;True
D02;438;5.852651833052196;4.781502706164748e-05;0.13594172678949876;True
D02;439;5.824334245686886;5.0537558193012483e-05;0.13537302430823242;True
D02;440;5.813505847588151;5.1619270489691357e-05;0.13515535953259492;True
D02;441;5.781782048173007;5.4923925978636144e-05;0.13451703890948302;True
D02;442;5.737281143755839;5.992036267553639e-05;0.1336200381329963;True
D02;443;5.698650726847503;6.462598784809412e-05;0.13283985930310585;True
D02;444;5.658628297965695;6.98925217048694e-05;0.13203008408540887;True
D02;445;5.628459090981439;7.414516918224917e-05;0.1314186690449166;True
D02;446;5.606375583719564;7.74216741348299e-05;0.1309705740621456;True
D02;447;5.572509989972932;8.273053902567478e-05;0.13028251068920862;True
D02;448;5.533636713354157;8.927590914590007e-05;0.12949135947572907;True
D02;449;5.506049747946478;9.423353751069323e-05;0.1289290341870413;True
D02;450;5.489642009996761;9.731207925509784e-05;0.1285942385909733;True
D02;451;5.453985729882151;0.00010435422051464121;0.1278657934670158;True
D02;452;5.4175341117021105;0.00011208174872405996;0.1271198398645627;True
D02;453;5.395409083217609;0.00011704916248286951;0.126666445970192;True
D02;454;5.373272705113372;0.00012223990733232712;0.1262123478815384;True
D02;455;5.338018059036105;0.00013098709432504853;0.1254881704085924;True
D02;456;5.299250994598935;0.0001413314255316175;0.12469045619821384;True
D02;457;5.266812548507091;0.0001506133111855997;0.12402184747186175;True
D02;458;5.241357871531347;0.00015832244903667456;0.12349646982070583;True
D02;459;5.231811277870486;0.0001613145409554451;0.12329926817427753;True
D02;460;5.220608236015791;0.00016489809469680491;0.12306773648717768;True
D02;461;5.198072791644968;0.00017234985677907154;0.12260162902190473;True
D02;462;5.171710154211077;0.00018149620011592205;0.1220557333038655;True
D02;463;5.157511271939819;0.00018662216311074909;0.12176143302726254;True
D02;464;5.150863589224252;0.00018907162241616754;0.12162357866380881;True
D02;465;5.135915981474189;0.00019469753354455776;0.12131344893356313;True
D02;466;5.131359747087893;0.0001964454869181;0.12121887361392626;True
D02;467;5.125075568508201;0.00019888215327199386;0.12108839735472306;True
D02;468;5.1088236209614974;0.00020532500422496564;0.12075078396720963;True
D02;469;5.093082886497493;0.00021176429317701514;0.12042354302158267;True
D02;470;5.075507280369398;0.00021919333443741178;0.12005786818142349;True
D02;471;5.059378725643016;0.0002262400149561857;0.11972203279394122;True
D02;472;5.037513882636932;0.0002361562945047405;0.11926634452573122;True
D02;473;5.005598639649345;0.0002514166732884109;0.11860034689679579;True
D02;474;4.992297310756385;0.0002580644825599384;0.11832248132845004;True
D02;475;4.998180192103162;0.00025510288590064646;0.11844539668178644;True
D02;476;5.002824005428143;0.0002527891034963327;0.11854239907700674;True
D02;477;4.991989679878022;0.00025822029499085095;0.11831605282788488;True
D02;478;4.968045676709189;0.0002706409938394099;0.11781541204915753;True
D02;479;4.948222291553541;0.00028137518088343903;0.11740049811175925;True
D02;480;4.9321412481354745;0.0002903950107293508;0.11706362653366786;True
D02;481;4.9113742911160445;0.00030247237442051876;0.11662821206365054;True
D02;482;4.881565192077718;0.0003206916650771127;0.11600246259368514;True
D02;483;4.851498613025842;0.00034018018565439923;0.11537040945130658;True
D02;484;4.841273569088123;0.00034707415708189925;0.11515525477914608;True
D02;485;4.8284206719257945;0.00035593837456157125;0.11488465649510093;True
D02;486;4.804187274196492;0.00037327162303811773;0.11437400854432773;True
D02;487;4.78041379414457;0.0003910955394768525;0.11387247914195982;True
D02;488;4.749259282424114;0.0004157474165069752;0.113214377647282;True
