dia;banda_nm;n;via;estat_genotipo;p_genotipo;estat_condicao;p_condicao;estat_interacao;p_interacao;estat_omnibus;p_omnibus;q_genotipo;q_condicao;q_interacao;q_omnibus
D02;400;192;kruskal;4.055021454015544;0.13166285836102123;19.935779630829018;8.00874054202971e-06;;;28.00635524611399;3.629479415288827e-05;0.23441017577990847;0.00018880375691612567;;9.034056165967698e-05
D02;401;192;kruskal;3.8290560233160624;0.14741139262789996;20.028666072970648;7.628989332790156e-06;;;28.234354760362695;3.2753334528383574e-05;0.24862428142669105;0.00018408302495944248;;8.232486411484646e-05
D02;402;192;kruskal;3.5739252752590676;0.1674680591354698;19.95898100172713;7.912143266743792e-06;;;27.964074643782386;3.699209006416319e-05;0.26104037394906043;0.0001886954167452502;;9.174217257750749e-05
D02;403;192;kruskal;3.4874008257772022;0.17487210288874047;19.47458576208982;1.0194710184210523e-05;;;27.806711463730572;3.9706086517733227e-05;0.2643055880801818;0.00022243989987038066;;9.741289886108953e-05
D02;404;192;kruskal;3.383045255829016;0.18423878320110804;19.36013061312607;1.0824347428526664e-05;;;27.66114799222798;4.2391972049158547e-05;0.2722433316610033;0.00023125767266571028;;0.00010216913592576284
D02;405;192;kruskal;3.3393276392487046;0.1883103612467623;18.81544149395509;1.4399658075460473e-05;;;27.420255829015545;4.723807793246168e-05;0.27261260327928605;0.0002839778722381676;;0.00011187678734350914
D02;406;192;kruskal;3.4144369332901556;0.18136957717401334;18.079184207685653;2.119054488191732e-05;;;26.938107189119172;5.8647495514050225e-05;0.2697527213806391;0.0003592784547922145;;0.00013484979069430157
D02;407;192;kruskal;3.343375566709845;0.18792961334545524;17.314362046632127;3.167835538477274e-05;;;26.218689281088086;8.09297201682024e-05;0.27261260327928605;0.0003592784547922145;;0.00017676981476569023
D02;408;192;kruskal;3.640614880181347;0.1619759453788267;17.077403119602774;3.588677025042065e-05;;;26.34935637953368;7.633721434681453e-05;0.25613929373321015;0.0003598330681711756;;0.00016817145717005008
D02;409;192;kruskal;3.786795660621762;0.1505593635592603;17.03449508851467;3.670687213225566e-05;;;26.264957091968913;7.927308536842225e-05;0.24898849333374917;0.0003598330681711756;;0.00017370630137888252
D02;410;192;kruskal;3.747247409326425;0.15356617387895952;16.693173844991374;4.393881585226169e-05;;;25.90724174222798;9.300919582230019e-05;0.2505681962018663;0.00039875447483623335;;0.0001997506394047515
D02;411;192;kruskal;3.456160945595855;0.1776250390361079;16.14589405224524;5.864556346330504e-05;;;25.163192195595855;0.0001295790940799361;0.26600372693622476;0.0005032721785072746;;0.00026576672195794895
D02;412;192;kruskal;3.2834055213730573;0.19365002175364437;15.917098445595855;6.617815867605396e-05;;;24.75423008419689;0.00015541169081331716;0.27278182065451134;0.0005540057283452517;;0.0002985615535975275
D02;413;192;kruskal;3.474619494818653;0.17599323056028882;15.628265328151997;7.709355873921504e-05;;;24.775663860103627;0.00015393936041735047;0.2654133204993767;0.0006268427347133951;;0.00029722852033349794
