bloco;genotipo;condicao;data;cra;predito_cv;residuo_cv
B1;BR16;IRRIG;03/03;87.35083532219572;77.5388660331664;9.81196928902932
B2;BR16;IRRIG;03/03;91.365227537923;73.82340543416281;17.541822103760197
B3;BR16;IRRIG;03/03;95.81239530988275;87.83750609403045;7.974889215852301
B4;BR16;IRRIG;03/03;95.44259421560035;82.17057789921377;13.272016316386583
B1;BR16;NIRRIG;03/03;88.65698729582577;73.16815011644587;15.4888371793799
B2;BR16;NIRRIG;03/03;87.33333333333334;80.97216137488098;6.36117195845236
B3;BR16;NIRRIG;03/03;95.27363184079601;85.98849580662878;9.285136034167238
B4;BR16;NIRRIG;03/03;91.80633147113593;79.59748051676326;12.208850954372679
B1;EMB48;IRRIG;03/03;90.08528784648188;86.08567541562785;3.999612430854029
B2;EMB48;IRRIG;03/03;92.47027741083224;70.56950844784865;21.90076896298359
B3;EMB48;IRRIG;03/03;96.05734767025088;96.27625163028682;-0.21890396003594503
B4;EMB48;IRRIG;03/03;88.69257950530034;83.4850156329556;5.20756387234475
B1;EMB48;NIRRIG;03/03;88.29516539440205;81.87286925747597;6.422296136926079
B2;EMB48;NIRRIG;03/03;93.61702127659572;75.31595705404835;18.301064222547367
B3;EMB48;NIRRIG;03/03;94.52590420332353;81.2237589902717;13.30214521305183
B4;EMB48;NIRRIG;03/03;87.96498905908095;76.56842454039747;11.396564518683476
B1;CD202;IRRIG;03/03;92.82103134479273;110.00366984077795;-17.182638495985216
B2;CD202;IRRIG;03/03;94.03620873269435;83.79050865642586;10.245700076268491
B3;CD202;IRRIG;03/03;94.90392648287386;106.3998731142121;-11.495946631338242
B4;CD202;IRRIG;03/03;94.28090832632464;85.40498485263588;8.875923473688758
B1;CD202;NIRRIG;03/03;93.10344827586208;76.2611510930226;16.842297182839474
B2;CD202;NIRRIG;03/03;92.52450980392157;70.14977378918381;22.374736014737763
B3;CD202;NIRRIG;03/03;94.49003516998829;77.14017008208809;17.3498650879002
B4;CD202;NIRRIG;03/03;92.65873015873018;77.07811929327934;15.580610865450836
