bloco;genotipo;condicao;data;cra;predito_cv;residuo_cv
B1;BR16;IRRIG;24/02;62.101636520241165;74.5004868636808;-12.39885034343964
B2;BR16;IRRIG;24/02;64.63527239150505;67.51146338401672;-2.876190992511667
B3;BR16;IRRIG;24/02;53.74149659863946;73.47059157885879;-19.72909498021933
B4;BR16;IRRIG;24/02;66.21835443037975;83.60815700857628;-17.389802578196537
B1;BR16;NIRRIG;24/02;50.55555555555556;52.43591386854826;-1.8803583129927048
B2;BR16;NIRRIG;24/02;50.747330960854086;61.64375433132105;-10.896423370466962
B3;BR16;NIRRIG;24/02;46.87735139202408;58.94090814157466;-12.063556749550578
B4;BR16;NIRRIG;24/02;33.93157599551318;62.54052236337762;-28.60894636786444
B1;EMB48;IRRIG;24/02;60.56782334384858;73.03708216615664;-12.469258822308056
B2;EMB48;IRRIG;24/02;62.2754491017964;68.8171304053451;-6.5416813035487
B3;EMB48;IRRIG;24/02;71.65948275862068;80.42891311876522;-8.76943036014454
B4;EMB48;IRRIG;24/02;57.11183496199783;79.1939399915235;-22.082105029525664
B1;EMB48;NIRRIG;24/02;52.17006200177148;55.2196862730595;-3.0496242712880246
B2;EMB48;NIRRIG;24/02;43.6676798378926;64.36159164929728;-20.693911811404682
B3;EMB48;NIRRIG;24/02;45.64198687910027;60.640587118356095;-14.998600239255822
B4;EMB48;NIRRIG;24/02;44.069431051108964;52.346425534098536;-8.276994482989572
B1;CD202;IRRIG;24/02;63.04170073589535;69.88547321644897;-6.843772480553625
B2;CD202;IRRIG;24/02;66.5909090909091;72.56434739179107;-5.9734383008819805
B3;CD202;IRRIG;24/02;49.076773566569486;86.46116493856327;-37.384391371993786
B4;CD202;IRRIG;24/02;65.99378881987577;90.23219653440992;-24.238407714534148
B1;CD202;NIRRIG;24/02;60.01609010458567;66.13179200886916;-6.115701904283483
B2;CD202;NIRRIG;24/02;55.88458618071373;62.265095618997265;-6.380509438283532
B3;CD202;NIRRIG;24/02;45.67669172932331;53.42030908198737;-7.74361735266406
B4;CD202;NIRRIG;24/02;57.68551236749118;59.96578316742309;-2.2802707999319125
B2;BR16;IRRIG;02/03;91.75757575757578;72.02651930072375;19.73105645685203
B3;BR16;IRRIG;02/03;86.87454677302394;85.31555393620448;1.5589928368194563
B4;BR16;IRRIG;02/03;86.87224669603523;86.89197289595378;-0.0197261999185514
B1;BR16;NIRRIG;02/03;62.64150943396225;56.2217265521761;6.419782881786148
B2;BR16;NIRRIG;02/03;72.58964143426294;73.11051788883177;-0.5208764545688211
B3;BR16;NIRRIG;02/03;65.47987616099073;74.23431017972985;-8.754434018739119
B4;BR16;NIRRIG;02/03;61.275831087151836;68.65488402941185;-7.37905294226001
B1;EMB48;IRRIG;02/03;91.1694510739857;83.95751633992947;7.2119347340562285
B2;EMB48;IRRIG;02/03;93.43675417661098;80.34467088564618;13.092083290964794
B3;EMB48;IRRIG;02/03;93.48268839103869;93.77440267585156;-0.2917142848128691
B4;EMB48;IRRIG;02/03;87.30569948186528;85.28838872368082;2.0173107581844505
B1;EMB48;NIRRIG;02/03;71.91283292978208;71.63791501697439;0.2749179128076946
B2;EMB48;NIRRIG;02/03;66.66666666666669;63.65269804221283;3.0139686244538524
B3;EMB48;NIRRIG;02/03;68.75;75.02159082605763;-6.271590826057633
B4;EMB48;NIRRIG;02/03;70.23661270236614;63.08034874227374;7.156263960092403
B1;CD202;IRRIG;02/03;94.17946645109134;104.48069457073834;-10.301228119646993
B2;CD202;IRRIG;02/03;91.7550058892815;73.92866422157329;17.82634166770822
B3;CD202;IRRIG;02/03;86.68459986550101;95.95779458769917;-9.273194722198156
B4;CD202;IRRIG;02/03;88.1008668242711;85.95636877896072;2.144498045310371
B1;CD202;NIRRIG;02/03;60.93073593073595;59.81701576169959;1.1137201690363625
B2;CD202;NIRRIG;02/03;66.94473409801876;58.62871478065931;8.316019317359448
B3;CD202;NIRRIG;02/03;72.02007528230865;55.64876654049497;16.371308741813685
B4;CD202;NIRRIG;02/03;58.94632206759442;67.41809268299538;-8.471770615400956
