genotipo_avaliado;fold;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_nirrig;acerto
BR16;1;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.042;True
BR16;1;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.046;True
BR16;1;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.508;True
BR16;1;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.168;True
BR16;1;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.574;True
BR16;1;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.682;True
BR16;1;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.024;True
BR16;1;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.042;True
BR16;1;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.98;True
BR16;1;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.124;True
BR16;1;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.338;True
BR16;1;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.832;True
BR16;1;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
BR16;1;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D03M;manha;D03;IRRIG;NIRRIG;0.59;False
BR16;1;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.188;True
BR16;1;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
BR16;1;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D03M;manha;D03;IRRIG;NIRRIG;0.572;False
BR16;1;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.832;True
BR16;1;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.882;True
BR16;1;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.138;True
BR16;1;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.002;True
BR16;1;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.968;True
BR16;1;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.246;True
BR16;1;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.104;True
BR16;1;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
BR16;1;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.998;True
BR16;1;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.768;True
BR16;1;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
BR16;1;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.562;True
BR16;1;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D04M;manha;D04;NIRRIG;IRRIG;0.198;False
BR16;1;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D04M;manha;D04;IRRIG;NIRRIG;0.886;False
BR16;1;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.454;True
BR16;1;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.858;True
BR16;1;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
BR16;1;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.008;True
BR16;1;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D04M;manha;D04;NIRRIG;IRRIG;0.292;False
BR16;1;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.944;True
BR16;1;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;0.91;True
BR16;1;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.0;True
BR16;1;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
BR16;1;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
BR16;1;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.284;True
BR16;1;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.168;True
BR16;1;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;0.988;True
BR16;1;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.002;True
BR16;1;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.078;True
BR16;1;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
BR16;1;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
BR16;1;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
BR16;1;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
BR16;1;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
BR16;1;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;0.992;True
BR16;1;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;0.938;True
BR16;1;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.01;True
BR16;1;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.002;True
BR16;1;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
BR16;1;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
BR16;1;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.002;True
