posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1956;0.020833333333333332;0.036084391824351615;0.05322112815599965;1.535428098057167e-05;0.0001693227138468;0.2853714330024814;0.62890625;True;0.62890625
2;1966;0.020833333333333332;0.036084391824351615;0.017800605800605798;2.0773766351563425e-05;0.0001836508395993;0.2760807614764268;0.619140625;True;0.619140625
3;1906;0.020833333333333332;0.036084391824351615;0.013257790591123924;0.0002106459968163;0.0014072799331278;0.2053815136476427;0.5390625;True;0.5390625
4;1976;0.020833333333333332;0.036084391824351615;0.007648718746757963;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;0.625
5;475;0.020833333333333332;0.036084391824351615;0.0;0.0026324803420657;0.0147519595125053;0.1297766749379652;-0.4375;True;0.4375
6;714;0.015625;0.017274087449767706;0.04698439543966882;5.194701821703936e-09;5.958922853194248e-07;0.534114260235732;0.849609375;True;0.849609375
7;555;0.015625;0.027063293868263706;0.005252713636774358;0.0059130127486484;0.0251088802225215;0.1060745580024814;0.400390625;True;0.400390625
8;1380;0.010416666666666666;0.018042195912175808;0.040271748557010406;5.630269350745034e-09;5.958922853194248e-07;0.5315873138957816;-0.84765625;True;0.84765625
9;405;0.010416666666666666;0.018042195912175808;0.02141827711886635;3.980697881772413e-08;1.7748720338076563e-06;0.4703037763647643;-0.798828125;True;0.798828125
10;425;0.010416666666666666;0.018042195912175808;0.015395840754392185;1.8910981941499538e-07;3.3727325184361342e-06;0.4216346153846154;-0.7578125;True;0.7578125
11;435;0.010416666666666666;0.018042195912175808;0.012436954205522125;2.709622176407572e-07;4.592921556869364e-06;0.4104247441066998;-0.748046875;True;0.748046875
12;800;0.010416666666666666;0.018042195912175808;0.004025549288707184;0.0808926541268658;0.1493346837211537;0.0330141129032258;-0.25390625;False;0.25390625
13;485;0.010416666666666666;0.018042195912175808;0.0039628482972136215;0.0054455921827615;0.024019160358804;0.1084706498138957;-0.404296875;True;0.404296875
14;465;0.010416666666666666;0.018042195912175808;0.0035016835016835014;0.00055897201678;0.003412058352428;0.1759334289702233;-0.501953125;True;0.501953125
15;704;0.005208333333333333;0.009021097956087902;0.03069943182919275;6.101286197809811e-09;5.958922853194248e-07;0.5290661833126551;0.845703125;True;0.845703125
16;1370;0.005208333333333333;0.009021097956087902;0.02669063167667819;7.836135331371368e-08;2.3987930693496526e-06;0.4491315136476427;-0.78125;True;0.78125
17;790;0.005208333333333333;0.022702598664274338;0.003916426261036805;0.051542250463872;0.1072141538553768;0.0450091113523573;-0.283203125;False;0.283203125
18;1936;0.0;0.0;0.03631469325406371;8.279927681518953e-06;9.989489220467868e-05;0.3043889578163771;0.6484375;True;0.6484375
19;1946;0.0;0.0;0.03229192747136711;4.989414742836833e-06;6.31684545528293e-05;0.3200217121588089;0.6640625;True;0.6640625
20;724;0.0;0.0;0.03020283540933385;4.294830837146e-08;1.7976934789768255e-06;0.4679280397022333;0.796875;True;0.796875
21;415;0.0;0.0;0.02904738730302643;1.054034701684782e-07;2.736487560956313e-06;0.4398728287841191;-0.7734375;True;0.7734375
22;1916;0.0;0.0;0.027925920278528693;1.956176847224488e-05;0.0001767453177822;0.2779272642679901;0.62109375;True;0.62109375
23;1860;0.0;0.0;0.02680628503605472;2.637510085515891e-05;0.000215519250414;0.2687529078784119;-0.611328125;True;0.611328125
