fold;bloco_teste;n_teste;accuracy;balanced_accuracy;precision;recall;f1;auc_roc
1;B4;16;0.75;0.75;1.0;0.5;0.6666666666666666;1.0
2;B3;16;0.625;0.625;0.5714285714285714;1.0;0.7272727272727273;0.90625
3;B2;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.75
4;B1;16;0.5;0.5;0.0;0.0;0.0;0.75
