genotipo;dia;posicao;banda_nm;vip
BR16;D02;1;1935;2.2905522609181577
BR16;D02;2;1925;2.234320206900232
BR16;D02;3;1945;2.1135690377427054
BR16;D02;4;1915;1.9702239000494681
BR16;D02;5;1835;1.8815919859241903
BR16;D03;1;1375;2.4157986677492334
BR16;D03;2;1365;2.2597753278430637
BR16;D03;3;1355;1.912659793104145
BR16;D03;4;715;1.7481136945687101
BR16;D03;5;1385;1.6029961982368908
BR16;D04;1;715;2.0334130300973325
BR16;D04;2;1375;2.0160149150886792
BR16;D04;3;1385;2.0016501638456234
BR16;D04;4;405;1.9914518462759239
BR16;D04;5;1365;1.9572076139181331
BR16;D05;1;1835;1.2863081490220956
BR16;D05;2;745;1.2194275649262778
BR16;D05;3;1535;1.2106115159003261
BR16;D05;4;1545;1.209209998267471
BR16;D05;5;1525;1.203494729338854
BR16;D06;1;1924;1.2840704359761297
BR16;D06;2;1934;1.263361449534923
BR16;D06;3;1644;1.2517783263871372
BR16;D06;4;1914;1.2479160896923003
BR16;D06;5;1654;1.247415439381205
BR16;D09;1;1945;1.7097324473197912
BR16;D09;2;1935;1.7000719659334824
BR16;D09;3;1955;1.6816430975782442
BR16;D09;4;1965;1.620112162314308
BR16;D09;5;2255;1.6198935803685104
BR16;D10;1;1945;1.934565998645225
BR16;D10;2;1935;1.9187481701869664
BR16;D10;3;1955;1.91855205939953
BR16;D10;4;1925;1.8764940942029877
BR16;D10;5;1965;1.871975265438635
CD202;D02;1;1355;2.1431202808012415
CD202;D02;2;1365;2.11417136524873
CD202;D02;3;1345;2.011275154220251
CD202;D02;4;1375;2.0086244466798937
CD202;D02;5;1935;1.7962962457543488
CD202;D03;1;1924;2.1673959005527976
CD202;D03;2;1934;2.1300826160752457
CD202;D03;3;1914;2.054498949854899
CD202;D03;4;1944;1.9970015945333945
CD202;D03;5;1834;1.8491648084667378
CD202;D04;1;1375;1.955484755699516
CD202;D04;2;1385;1.9384417280045672
CD202;D04;3;1935;1.930733344004849
CD202;D04;4;1925;1.9242672381563357
CD202;D04;5;1945;1.8588148830435542
CD202;D05;1;1925;2.0166070587976677
CD202;D05;2;1935;1.9902429091487832
CD202;D05;3;1355;1.9369389018024474
CD202;D05;4;1915;1.9125155789661836
CD202;D05;5;1365;1.8880318073415157
CD202;D06;1;1925;1.6828462423819652
CD202;D06;2;1935;1.6689618234564545
CD202;D06;3;1915;1.6614461626750927
CD202;D06;4;1945;1.6222743322834674
CD202;D06;5;1905;1.568738114786117
CD202;D09;1;1993;1.1894475064110615
CD202;D09;2;2003;1.1874738806522058
CD202;D09;3;1473;1.1865264786498362
CD202;D09;4;1463;1.1860884466853383
CD202;D09;5;1483;1.1845156530421288
CD202;D10;1;1365;1.9244339958306442
CD202;D10;2;705;1.9108983656331504
CD202;D10;3;1375;1.9041681555139072
CD202;D10;4;715;1.8900987553272965
CD202;D10;5;1355;1.8177488909945463
EMB48;D02;1;715;2.1501485472863653
EMB48;D02;2;725;1.9788587685862802
EMB48;D02;3;705;1.8963035160002308
EMB48;D02;4;405;1.6520087122898603
EMB48;D02;5;1375;1.6488268892090565
EMB48;D03;1;1935;1.9225313305074372
EMB48;D03;2;1925;1.9224951817673046
EMB48;D03;3;1945;1.8491978157397
EMB48;D03;4;1915;1.7944719259813433
EMB48;D03;5;1955;1.7463617591598017
EMB48;D04;1;405;2.058907448271441
EMB48;D04;2;1945;2.0306627543035103
EMB48;D04;3;1955;2.020820129564205
EMB48;D04;4;1935;2.0066404336805026
EMB48;D04;5;1925;1.976198895876061
EMB48;D05;1;1375;2.002841994505777
EMB48;D05;2;1715;1.7568766456937894
EMB48;D05;3;1705;1.7377625157406316
EMB48;D05;4;1725;1.7272533963743082
EMB48;D05;5;1695;1.6360996290582535
EMB48;D06;1;745;1.5575169036326593
EMB48;D06;2;1925;1.4937616532496605
EMB48;D06;3;1935;1.4913163384598715
EMB48;D06;4;1945;1.4616961921961
EMB48;D06;5;755;1.4571003560763185
EMB48;D09;1;715;2.6556083467085854
EMB48;D09;2;725;2.572281402605315
EMB48;D09;3;705;2.378128828421097
EMB48;D09;4;1385;1.9880003758705374
EMB48;D09;5;1375;1.9857670292308327
EMB48;D10;1;1345;1.989278429481562
EMB48;D10;2;715;1.8452069209980029
EMB48;D10;3;405;1.8298519505606279
EMB48;D10;4;1355;1.8006918230257252
EMB48;D10;5;415;1.7996611643228286
