dia;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D02;1;1360;0.0038913442582605;0.0047563450975521;0.1182876473325062;-0.419921875;True;96;1.810833299405502;True;0.419921875
D02;2;719;0.012990724604256;0.0135800082381902;0.0833931063895781;-0.361328125;True;31;1.807852219514899;True;0.361328125
D02;3;1929;0.0032763360815549;0.0041225554007786;0.1233357242555831;0.427734375;True;152;1.7965172430498009;True;0.427734375
D02;4;1919;0.0140036728836619;0.0146239985154738;0.0812529078784119;0.357421875;True;151;1.7766154625437334;True;0.357421875
D02;5;1350;3.3876888488163136e-06;6.811911596982607e-05;0.3319905397022332;-0.67578125;True;95;1.7142594808542795;True;0.67578125
D03;1;1925;9.926307224638545e-12;2.4236733473492437e-10;0.7313382056451614;0.990234375;True;154;2.140178465367931;True;0.990234375
D03;2;1915;3.002643730468926e-11;5.649928707515381e-10;0.6963738756203475;0.966796875;True;153;2.0768336236320994;True;0.966796875
D03;3;1935;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;155;2.06910200594985;True;1.0
D03;4;1945;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;156;1.9145120157963975;True;1.0
D03;5;1831;0.0267271087754137;0.0292514941826967;0.0630379575062034;0.322265625;True;145;1.7728692931529806;True;0.322265625
D04;1;1373;0.0027511562101905;0.0033036424983026;0.1284768532878412;-0.435546875;True;98;1.9791849641457642;True;0.435546875
D04;2;1363;8.348951637883459e-05;0.0001404733372378;0.2335094215260546;-0.572265625;True;97;1.9584317630624544;True;0.572265625
D04;3;1928;3.301660969487133e-10;1.1101158440029689e-08;0.6207661290322581;0.9140625;True;153;1.781548056026844;True;0.9140625
D04;4;1918;1.088044726430531e-09;3.143070047759182e-08;0.5832312344913152;0.88671875;True;152;1.7457694468334939;True;0.88671875
D04;5;1938;1.0577309909764451e-10;5.2676337222818356e-09;0.6566406250000001;0.939453125;True;154;1.7371446032084503;True;0.939453125
D05;1;1355;8.814243583499944e-06;1.0609162904787785e-05;0.3024610344292804;-0.646484375;True;96;1.9858323059393301;True;0.646484375
D05;2;1929;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;153;1.969215631248452;True;1.0
D05;3;1919;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;152;1.9323520120833617;True;1.0
D05;4;1365;0.0426112802218647;0.0447265791888662;0.0501735034119106;-0.294921875;True;97;1.9287580203979773;True;0.294921875
D05;5;1940;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;154;1.8804188058798843;True;1.0
D06;1;1922;1.089606366552202e-11;4.2730069938787115e-11;0.7283925248138958;0.98828125;True;152;1.647854431043388;True;0.98828125
D06;2;1932;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;153;1.6475485376692278;True;1.0
D06;3;1941;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;154;1.6163234993615765;True;1.0
D06;4;1912;9.041260826253434e-12;3.8155608960176526e-11;0.7342897022332507;0.9921875;True;151;1.6081383656254136;True;0.9921875
D06;5;1951;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;155;1.5630581900611313;True;1.0
D09;1;1837;6.655911630240959e-09;8.154883365366909e-09;0.4944371248719075;0.8194444444444444;True;145;1.2678761494689972;True;0.8194444444444444
D09;2;1847;3.686519414632797e-09;4.552107958706723e-09;0.5118577075098815;0.8333333333333333;True;146;1.2139184544004322;True;0.8333333333333333
D09;3;1499;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;111;1.163700470476662;True;1.0
D09;4;1488;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;110;1.1636696266873132;True;1.0
D09;5;1478;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;109;1.1601786512882266;True;1.0
D10;1;709;7.75604315257066e-09;5.002403932680008e-08;0.5215376861042184;0.83984375;True;32;1.897751050163398;True;0.83984375
D10;2;1372;5.886588158308331e-07;1.5782212173451483e-06;0.3862748138957816;-0.7265625;True;99;1.8971125265127091;True;0.7265625
D10;3;1363;1.8446041281200964e-08;1.1094671750071312e-07;0.4943810096153846;-0.818359375;True;98;1.8860844022957883;True;0.818359375
D10;4;704;4.467771099432264e-05;6.673997468998961e-05;0.252605459057072;0.59375;True;31;1.8512286906687112;True;0.59375
D10;5;721;2.299723891442753e-09;1.6726006033152792e-08;0.559703590260546;0.869140625;True;33;1.814863824431576;True;0.869140625
