modelo;modo;genotipo;fold;banda_nm;importancia;desvio
gradient_boosting;por_genotipo;BR16;1;425;0.30112359550561785;0.030893768730039375
gradient_boosting;por_genotipo;BR16;1;1942;0.1780898876404494;0.026654328459048218
gradient_boosting;por_genotipo;BR16;1;1360;0.0589887640449438;0.020679957662141518
gradient_boosting;por_genotipo;BR16;1;1844;0.055617977528089856;0.02693701594322887
gradient_boosting;por_genotipo;BR16;1;1387;0.023033707865168496;0.013518212826422446
gradient_boosting;por_genotipo;BR16;2;425;0.3324175824175824;0.03541719202084245
gradient_boosting;por_genotipo;BR16;2;1942;0.1296703296703297;0.0247191689652791
gradient_boosting;por_genotipo;BR16;2;1844;0.09120879120879123;0.02459673547868066
gradient_boosting;por_genotipo;BR16;2;1387;0.05824175824175826;0.02508288397915018
gradient_boosting;por_genotipo;BR16;2;1360;0.053846153846153835;0.018023318095446973
gradient_boosting;por_genotipo;BR16;3;425;0.346629213483146;0.03593310425381434
gradient_boosting;por_genotipo;BR16;3;1942;0.17977528089887634;0.023835060039995987
gradient_boosting;por_genotipo;BR16;3;1387;0.11011235955056176;0.017977528089887642
gradient_boosting;por_genotipo;BR16;3;1844;0.09438202247191006;0.022017885328388127
gradient_boosting;por_genotipo;BR16;3;1360;0.03988764044943817;0.01684456668602804
gradient_boosting;por_genotipo;BR16;4;425;0.3837078651685394;0.03992718407018295
gradient_boosting;por_genotipo;BR16;4;1942;0.08988764044943821;0.018462558118151666
gradient_boosting;por_genotipo;BR16;4;1387;0.06011235955056181;0.025442678369043265
gradient_boosting;por_genotipo;BR16;4;1844;0.050000000000000024;0.020862297334412524
gradient_boosting;por_genotipo;BR16;4;1360;0.02528089887640451;0.016993801642982212
gradient_boosting;por_genotipo;BR16;5;425;0.35722222222222216;0.05320296566504123
gradient_boosting;por_genotipo;BR16;5;1942;0.1611111111111111;0.036430214023900016
gradient_boosting;por_genotipo;BR16;5;1844;0.0888888888888889;0.017568209223157664
gradient_boosting;por_genotipo;BR16;5;1387;0.08222222222222224;0.02030629653610786
gradient_boosting;por_genotipo;BR16;5;1360;0.04555555555555555;0.01567415108851765
