dia;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D05;1;1355;8.814243583499944e-06;1.0609162904787785e-05;0.3024610344292804;-0.646484375;True;96;1.9858323059393301;True;0.646484375
D05;2;1929;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;153;1.969215631248452;True;1.0
D05;3;1919;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;152;1.9323520120833617;True;1.0
D05;4;1365;0.0426112802218647;0.0447265791888662;0.0501735034119106;-0.294921875;True;97;1.9287580203979773;True;0.294921875
D05;5;1940;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;154;1.8804188058798843;True;1.0
