metrica;media;desvio
accuracy;0.6875;0.125
balanced_accuracy;0.6875;0.125
precision;0.5833333333333333;0.4194352464039305
recall;0.625;0.47871355387816905
f1;0.5666666666666667;0.38297084310253526
auc_roc;0.798828125;0.3521912779855039
