genotipo;dia;posicao;banda_nm;vip
BR16;D02;1;1931;2.289812232721485
BR16;D02;2;1941;2.2095386966847688
BR16;D02;3;1921;2.153988475091242
BR16;D02;4;1951;1.9187418459690841
BR16;D02;5;1835;1.8765523663840882
BR16;D03;1;1370;2.388613263146303
BR16;D03;2;1379;2.157426359749175
BR16;D03;3;1361;2.0996378754090483
BR16;D03;4;1351;1.7400727666918328
BR16;D03;5;711;1.699495834425329
BR16;D04;1;714;2.028317051166343
BR16;D04;2;1380;2.018755887499589
BR16;D04;3;405;1.9857010705327627
BR16;D04;4;1370;1.9791923375998448
BR16;D04;5;1390;1.948702251061188
BR16;D05;1;1838;1.251132176973112
BR16;D05;2;741;1.2244176428547349
BR16;D05;3;1538;1.2152550418655688
BR16;D05;4;1548;1.2112037551268697
BR16;D05;5;1528;1.210620000574115
BR16;D06;1;1921;1.2855880656538832
BR16;D06;2;1931;1.2775106438945865
BR16;D06;3;1651;1.2486175101690884
BR16;D06;4;1641;1.245426895799074
BR16;D06;5;1941;1.238269753366431
BR16;D09;1;1943;1.7163310773784826
BR16;D09;2;1953;1.6932007281627883
BR16;D09;3;1933;1.69248259044113
BR16;D09;4;1963;1.6376151067062485
BR16;D09;5;2263;1.6199087873397064
BR16;D10;1;1943;1.9396615004527806
BR16;D10;2;1953;1.9319615658747809
BR16;D10;3;1933;1.916877338503959
BR16;D10;4;1963;1.8849767288176318
BR16;D10;5;1923;1.8729226765897036
CD202;D02;1;1355;2.1431202808012415
CD202;D02;2;1365;2.11417136524873
CD202;D02;3;1345;2.011275154220251
CD202;D02;4;1375;2.0086244466798937
CD202;D02;5;1935;1.7962962457543488
CD202;D03;1;1926;2.155756106524362
CD202;D03;2;1936;2.0986214323792924
CD202;D03;3;1916;2.081867358182782
CD202;D03;4;1946;1.9557474834612987
CD202;D03;5;1836;1.825895474400642
CD202;D04;1;1378;1.9872530188391166
CD202;D04;2;1928;1.9498389504167748
CD202;D04;3;1938;1.9322069900268681
CD202;D04;4;1388;1.9045815522137886
CD202;D04;5;1368;1.8704056933773818
CD202;D05;1;1930;2.014674270904804
CD202;D05;2;1920;1.9818799603096118
CD202;D05;3;1360;1.956897542126614
CD202;D05;4;1940;1.943789297790282
CD202;D05;5;1950;1.8195507716427388
CD202;D06;1;1922;1.6822640976499552
CD202;D06;2;1932;1.6785606962329684
CD202;D06;3;1912;1.6440973031590143
CD202;D06;4;1942;1.6393466029318056
CD202;D06;5;1952;1.581812988289821
CD202;D09;1;1997;1.1908207601211993
CD202;D09;2;2007;1.18924665861281
CD202;D09;3;1470;1.189101757536781
CD202;D09;4;1987;1.1888398189516112
CD202;D09;5;1480;1.188392251043089
CD202;D10;1;1367;1.9063947608234058
CD202;D10;2;710;1.901098595378633
CD202;D10;3;1377;1.8489777597286674
CD202;D10;4;720;1.8336624223364946
CD202;D10;5;1357;1.8319037395733966
EMB48;D02;1;712;2.122345834031683
EMB48;D02;2;722;2.0807570324268614
EMB48;D02;3;702;1.7224048307056736
EMB48;D02;4;1372;1.6909142293451669
EMB48;D02;5;405;1.6492098563287343
EMB48;D03;1;1928;1.9399292705330544
EMB48;D03;2;1938;1.9106230112388642
EMB48;D03;3;1918;1.853249988915046
EMB48;D03;4;1948;1.8265233525189475
EMB48;D03;5;1958;1.7206951125127499
EMB48;D04;1;405;2.0612615523653677
EMB48;D04;2;1943;2.0297987337453995
EMB48;D04;3;1953;2.028577219428358
EMB48;D04;4;1933;2.002490055102404
EMB48;D04;5;1963;1.978823017012445
EMB48;D05;1;1376;1.9731499301153033
EMB48;D05;2;1719;1.7220630283707385
EMB48;D05;3;1709;1.7166087602600588
EMB48;D05;4;1369;1.715802121377254
EMB48;D05;5;1381;1.7094061217188554
EMB48;D06;1;749;1.5286552984774755
EMB48;D06;2;739;1.5229802180294039
EMB48;D06;3;1929;1.5049601743420686
EMB48;D06;4;1939;1.489057058906347
EMB48;D06;5;1919;1.4844172258189279
EMB48;D09;1;721;2.629070568311983
EMB48;D09;2;711;2.6006922774625676
EMB48;D09;3;731;2.250675544239837
EMB48;D09;4;702;2.0740001477578653
EMB48;D09;5;1381;2.0203894156838778
EMB48;D10;1;1345;1.9903473879135989
EMB48;D10;2;715;1.8460119567100375
EMB48;D10;3;405;1.830753792218774
EMB48;D10;4;1355;1.8015398398046942
EMB48;D10;5;415;1.8005556962743445
