modelo;modo;genotipo;fold;accuracy;precision;recall;f1_score;kappa;auc_roc;dia;bloco_teste;n_teste
gradient_boosting;por_dia;BR16;2;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D04;B3;16
gradient_boosting;por_dia;BR16;3;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D04;B2;16
gradient_boosting;por_dia;BR16;4;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D04;B1;16
random_forest;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
random_forest;por_dia;BR16;2;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D05;B3;16
random_forest;por_dia;BR16;3;1.0;1.0;1.0;1.0;1.0;1.0;D05;B2;16
random_forest;por_dia;BR16;4;0.5625;1.0;0.125;0.2222222222222222;0.125;0.59375;D05;B1;16
gradient_boosting;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
gradient_boosting;por_dia;BR16;2;0.75;0.6666666666666666;1.0;0.8;0.5;0.75;D05;B3;16
gradient_boosting;por_dia;BR16;3;1.0;1.0;1.0;1.0;1.0;1.0;D05;B2;16
gradient_boosting;por_dia;BR16;4;0.5625;1.0;0.125;0.2222222222222222;0.125;0.5625;D05;B1;16
random_forest;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D06;B4;16
random_forest;por_dia;BR16;2;1.0;1.0;1.0;1.0;1.0;1.0;D06;B3;16
random_forest;por_dia;BR16;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
random_forest;por_dia;BR16;4;1.0;1.0;1.0;1.0;1.0;1.0;D06;B1;16
gradient_boosting;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D06;B4;16
gradient_boosting;por_dia;BR16;2;1.0;1.0;1.0;1.0;1.0;1.0;D06;B3;16
gradient_boosting;por_dia;BR16;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
gradient_boosting;por_dia;BR16;4;1.0;1.0;1.0;1.0;1.0;1.0;D06;B1;16
random_forest;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B4;16
random_forest;por_dia;BR16;2;1.0;1.0;1.0;1.0;1.0;1.0;D09;B3;16
random_forest;por_dia;BR16;3;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D09;B2;16
random_forest;por_dia;BR16;4;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D09;B1;16
gradient_boosting;por_dia;BR16;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B4;16
gradient_boosting;por_dia;BR16;2;1.0;1.0;1.0;1.0;1.0;1.0;D09;B3;16
gradient_boosting;por_dia;BR16;3;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D09;B2;16
gradient_boosting;por_dia;BR16;4;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D09;B1;16
random_forest;por_dia;BR16;1;0.5625;0.5555555555555556;0.625;0.5882352941176471;0.125;0.484375;D10;B4;16
random_forest;por_dia;BR16;2;0.6875;1.0;0.375;0.5454545454545454;0.375;0.9375;D10;B3;16
random_forest;por_dia;BR16;3;0.25;0.0;0.0;0.0;-0.5;0.5;D10;B2;16
random_forest;por_dia;BR16;4;0.5;0.5;1.0;0.6666666666666666;0.0;0.15625;D10;B1;16
gradient_boosting;por_dia;BR16;1;0.1875;0.2727272727272727;0.375;0.3157894736842105;-0.625;0.1875;D10;B4;16
gradient_boosting;por_dia;BR16;2;0.5;0.0;0.0;0.0;0.0;0.5625;D10;B3;16
gradient_boosting;por_dia;BR16;3;0.6875;1.0;0.375;0.5454545454545454;0.375;0.5;D10;B2;16
gradient_boosting;por_dia;BR16;4;0.5;0.5;1.0;0.6666666666666666;0.0;0.4375;D10;B1;16
random_forest;por_dia;CD202;1;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D02;B4;16
random_forest;por_dia;CD202;2;0.75;0.6666666666666666;1.0;0.8;0.5;0.75;D02;B3;16
random_forest;por_dia;CD202;3;0.5;0.5;0.5;0.5;0.0;0.3671875;D02;B2;16
random_forest;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;0.75;D02;B1;16
gradient_boosting;por_dia;CD202;1;0.75;0.6666666666666666;1.0;0.8;0.5;0.5;D02;B4;16
gradient_boosting;por_dia;CD202;2;0.5;0.5;0.5;0.5;0.0;0.5;D02;B3;16
gradient_boosting;por_dia;CD202;3;0.5;0.5;0.5;0.5;0.0;0.40625;D02;B2;16
gradient_boosting;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;0.625;D02;B1;16
random_forest;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D03;B4;16
random_forest;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D03;B3;16
random_forest;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D03;B2;16
random_forest;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D03;B1;16
gradient_boosting;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D03;B4;16
gradient_boosting;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D03;B3;16
gradient_boosting;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D03;B2;16
gradient_boosting;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D03;B1;16
random_forest;por_dia;CD202;1;0.8125;0.7272727272727273;1.0;0.8421052631578947;0.625;1.0;D04;B4;16
random_forest;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D04;B3;16
random_forest;por_dia;CD202;3;0.625;0.6666666666666666;0.5;0.5714285714285714;0.25;0.75;D04;B2;16
random_forest;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D04;B1;16
gradient_boosting;por_dia;CD202;1;0.8125;0.7272727272727273;1.0;0.8421052631578947;0.625;1.0;D04;B4;16
gradient_boosting;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D04;B3;16
gradient_boosting;por_dia;CD202;3;0.6875;0.8;0.5;0.6153846153846154;0.375;0.6875;D04;B2;16
gradient_boosting;por_dia;CD202;4;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D04;B1;16
random_forest;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
random_forest;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D05;B3;16
random_forest;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D05;B2;16
random_forest;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D05;B1;16
gradient_boosting;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D05;B4;16
gradient_boosting;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D05;B3;16
gradient_boosting;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D05;B2;16
gradient_boosting;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D05;B1;16
random_forest;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D06;B4;16
random_forest;por_dia;CD202;2;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D06;B3;16
random_forest;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
random_forest;por_dia;CD202;4;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D06;B1;16
gradient_boosting;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D06;B4;16
gradient_boosting;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D06;B3;16
gradient_boosting;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
gradient_boosting;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D06;B1;16
random_forest;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B1;20
random_forest;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D09;B4;16
random_forest;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D09;B3;16
random_forest;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D09;B2;16
gradient_boosting;por_dia;CD202;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B1;20
gradient_boosting;por_dia;CD202;2;0.8125;1.0;0.625;0.7692307692307693;0.625;0.8125;D09;B4;16
gradient_boosting;por_dia;CD202;3;1.0;1.0;1.0;1.0;1.0;1.0;D09;B3;16
gradient_boosting;por_dia;CD202;4;1.0;1.0;1.0;1.0;1.0;1.0;D09;B2;16
random_forest;por_dia;CD202;1;0.375;0.42857142857142855;0.75;0.5454545454545454;-0.25;0.5;D10;B4;16
random_forest;por_dia;CD202;2;1.0;1.0;1.0;1.0;1.0;1.0;D10;B3;16
random_forest;por_dia;CD202;3;0.5;0.5;1.0;0.6666666666666666;0.0;1.0;D10;B2;16
