modelo;genotipo;dia;accuracy_media;accuracy_desvio;precision_media;precision_desvio;recall_media;recall_desvio;f1_score_media;f1_score_desvio;kappa_media;kappa_desvio;auc_roc_media;auc_roc_desvio;dobras;amostras
gradient_boosting;BR16;D02;0.875;0.14433756729740643;0.9166666666666666;0.16666666666666674;0.875;0.25;0.8666666666666667;0.1632993161855452;0.75;0.28867513459481287;0.890625;0.1795175827043134;4;64
gradient_boosting;BR16;D03;0.734375;0.19348099605215324;0.8;0.23726840560069584;0.75;0.28867513459481287;0.7334368530020704;0.18546206655536804;0.46875;0.3869619921043065;0.796875;0.23593232610221093;4;64
gradient_boosting;BR16;D04;0.75;0.0;0.8333333333333333;0.19245008972987526;0.75;0.28867513459481287;0.7333333333333334;0.07698003589195014;0.5;0.0;0.875;0.25;4;64
gradient_boosting;BR16;D05;0.828125;0.21271435267356392;0.9166666666666666;0.16666666666666669;0.78125;0.4375;0.7555555555555555;0.3678432301610411;0.65625;0.42542870534712784;0.828125;0.21271435267356392;4;64
gradient_boosting;BR16;D06;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
gradient_boosting;BR16;D09;0.875;0.14433756729740643;0.8333333333333333;0.19245008972987526;1.0;0.0;0.9;0.11547005383792512;0.75;0.28867513459481287;0.75;0.28867513459481287;4;64
gradient_boosting;BR16;D10;0.46875;0.20728904939721252;0.4431818181818182;0.4237686748771817;0.4375;0.414578098794425;0.38197767145135564;0.29329185199593744;-0.0625;0.41457809879442503;0.421875;0.16437222747978644;4;64
gradient_boosting;CD202;D02;0.625;0.14433756729740643;0.6666666666666666;0.23570226039551584;0.625;0.25;0.6166666666666667;0.1452966314513558;0.25;0.28867513459481287;0.5078125;0.0897587913521567;4;64
gradient_boosting;CD202;D03;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
gradient_boosting;CD202;D04;0.8125;0.13501543121683043;0.7984848484848485;0.14498028744128105;0.875;0.25;0.8143724696356276;0.15814489336109233;0.625;0.27003086243366087;0.921875;0.15625;4;64
gradient_boosting;CD202;D05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
gradient_boosting;CD202;D06;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
gradient_boosting;CD202;D09;0.953125;0.09375;1.0;0.0;0.90625;0.1875;0.9423076923076923;0.11538461538461538;0.90625;0.1875;0.953125;0.09375;4;68
gradient_boosting;CD202;D10;0.625;0.3227486121839514;0.7083333333333333;0.3435921354681384;0.75;0.28867513459481287;0.6833333333333333;0.24570382652773315;0.25;0.6454972243679028;0.625;0.3227486121839514;4;64
gradient_boosting;EMB48;D02;0.53125;0.15728821740147395;0.6;0.27080128015453203;0.5;0.0;0.5277777777777778;0.09622504486493762;0.0625;0.3145764348029479;0.5625;0.3145764348029479;4;64
gradient_boosting;EMB48;D03;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
gradient_boosting;EMB48;D04;0.75;0.2041241452319315;0.6666666666666666;0.4714045207910317;0.625;0.47871355387816905;0.6166666666666667;0.43333333333333335;0.5;0.408248290463863;0.8046875;0.2315805632855803;4;64
gradient_boosting;EMB48;D05;0.859375;0.16437222747978647;0.9166666666666666;0.16666666666666669;0.84375;0.3125;0.8363636363636364;0.21564178029887512;0.71875;0.3287444549595729;0.859375;0.16437222747978647;4;64
gradient_boosting;EMB48;D06;0.8125;0.23935677693908453;0.875;0.25;0.875;0.25;0.8333333333333333;0.1924500897298753;0.625;0.4787135538781691;0.8125;0.23935677693908453;4;64
gradient_boosting;EMB48;D09;0.921875;0.11831059053750569;0.9722222222222222;0.05555555555555558;0.875;0.25;0.9019607843137255;0.1592948706791365;0.84375;0.23662118107501143;1.0;0.0;4;64
gradient_boosting;EMB48;D10;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
random_forest;BR16;D02;0.875;0.14433756729740643;0.9166666666666666;0.16666666666666674;0.875;0.25;0.8666666666666667;0.1632993161855452;0.75;0.28867513459481287;0.8828125;0.1359165453197905;4;64
random_forest;BR16;D03;0.78125;0.15728821740147395;0.8928571428571428;0.21428571428571433;0.75;0.28867513459481287;0.7651515151515151;0.15915102279382556;0.5625;0.3145764348029479;0.9453125;0.109375;4;64
random_forest;BR16;D04;0.765625;0.1795175827043134;0.8055555555555556;0.2290614236454256;0.78125;0.2576941016011038;0.7637254901960784;0.18014689209009227;0.53125;0.3590351654086268;0.8125;0.23935677693908453;4;64
random_forest;BR16;D05;0.828125;0.21271435267356392;0.9166666666666666;0.16666666666666669;0.78125;0.4375;0.7555555555555555;0.3678432301610411;0.65625;0.42542870534712784;0.8984375;0.203125;4;64
random_forest;BR16;D06;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
random_forest;BR16;D09;0.875;0.14433756729740643;0.8333333333333333;0.19245008972987526;1.0;0.0;0.9;0.11547005383792512;0.75;0.28867513459481287;0.75;0.28867513459481287;4;64
random_forest;BR16;D10;0.5;0.1839950180484968;0.5138888888888888;0.40919221840711767;0.5;0.4208127057650866;0.4500891265597148;0.30422852126759153;0.0;0.3679900360969936;0.51953125;0.32056646436100683;4;64
random_forest;CD202;D02;0.6875;0.12499999999999999;0.7083333333333333;0.2097176232019653;0.75;0.28867513459481287;0.6916666666666667;0.14240006242195888;0.375;0.25;0.716796875;0.2611740289010296;4;64
random_forest;CD202;D03;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
random_forest;CD202;D04;0.859375;0.1795175827043134;0.8484848484848485;0.1766955119650091;0.875;0.25;0.8533834586466165;0.20217037082328954;0.71875;0.3590351654086268;0.9375;0.12499999999999999;4;64
random_forest;CD202;D05;0.9375;0.125;1.0;0.0;0.875;0.25;0.9166666666666666;0.16666666666666669;0.875;0.25;1.0;0.0;4;64
random_forest;CD202;D06;0.875;0.14433756729740643;0.9166666666666666;0.16666666666666669;0.875;0.25;0.8666666666666667;0.16329931618554522;0.75;0.28867513459481287;1.0;0.0;4;64
random_forest;CD202;D09;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;68
random_forest;CD202;D10;0.65625;0.27716947282604315;0.7321428571428572;0.31066638930237833;0.8125;0.23935677693908453;0.7196969696969697;0.1954095163853849;0.3125;0.5543389456520863;0.875;0.25;4;64
random_forest;EMB48;D02;0.75;0.2041241452319315;0.7916666666666666;0.25;0.75;0.28867513459481287;0.7416666666666667;0.21147629234082535;0.5;0.408248290463863;0.64453125;0.24783404172870066;4;64
random_forest;EMB48;D03;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
random_forest;EMB48;D04;0.84375;0.11967838846954228;0.95;0.09999999999999998;0.75;0.28867513459481287;0.8055555555555556;0.16666666666666666;0.6875;0.23935677693908453;1.0;0.0;4;64
random_forest;EMB48;D05;0.859375;0.16437222747978647;0.9166666666666666;0.16666666666666669;0.84375;0.3125;0.8363636363636364;0.21564178029887512;0.71875;0.3287444549595729;0.96875;0.0625;4;64
random_forest;EMB48;D06;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;64
random_forest;EMB48;D09;0.875;0.14433756729740643;0.9166666666666666;0.16666666666666669;0.875;0.25;0.8666666666666667;0.16329931618554522;0.75;0.28867513459481287;1.0;0.0;4;64
random_forest;EMB48;D10;0.859375;0.28125;0.8611111111111112;0.27777777777777785;0.875;0.25;0.8676470588235294;0.2647058823529412;0.71875;0.5625;0.921875;0.15625;4;64
