fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.8125;0.8421052631578947;0.625;0.921875
2;48;16;0.625;0.6666666666666666;0.25;0.796875
3;48;16;0.8125;0.8;0.625;0.96875
4;48;16;0.8125;0.7692307692307693;0.625;1.0
