banda_nm;importancia_gini_media;importancia_gini_dp
2007;0.2773143762757849;0.02860293422832862
1987;0.2411334600797504;0.03471718768426392
1997;0.22794965169847856;0.016463723781539874
1480;0.1579821958964725;0.022951941966714722
1470;0.09562031604951363;0.011667964368759115
