metrica;media;desvio
accuracy;0.796875;0.24672331838181275
balanced_accuracy;0.796875;0.24672331838181275
precision;0.7840909090909091;0.25545023181950555
recall;0.84375;0.2366211810750114
f1;0.8092105263157895;0.2405892658228505
auc_roc;0.8125;0.23935677693908453
