modelo;modo;genotipo;fold;banda_nm;componente_1;componente_2
pls_da;por_genotipo;EMB48;1;721;-0.5232251654740403;-0.31633304046814037
pls_da;por_genotipo;EMB48;1;1529;-0.38555607220252613;0.39435827525379874
pls_da;por_genotipo;EMB48;1;400;0.7166337708747836;0.0577300490344211
pls_da;por_genotipo;EMB48;1;2330;-0.19164701476079174;0.7081148569519163
pls_da;por_genotipo;EMB48;1;552;-0.1651950410196621;-0.4895462685482144
pls_da;por_genotipo;EMB48;2;721;-0.5445812795821916;-0.33792771414703315
pls_da;por_genotipo;EMB48;2;1529;-0.37155565246428884;0.4164199974678247
pls_da;por_genotipo;EMB48;2;400;0.7039558963706678;0.03463875834004045
pls_da;por_genotipo;EMB48;2;2330;-0.2018765521998259;0.6833445100055805
pls_da;por_genotipo;EMB48;2;552;-0.1704980371949765;-0.49420611366731454
pls_da;por_genotipo;EMB48;3;721;-0.5516745561062635;-0.31644605401018694
pls_da;por_genotipo;EMB48;3;1529;-0.3685285317078864;0.4084078283961158
pls_da;por_genotipo;EMB48;3;400;0.7056589465942977;0.02568765069252224
pls_da;por_genotipo;EMB48;3;2330;-0.18247338251500825;0.6945503465254381
pls_da;por_genotipo;EMB48;3;552;-0.169088205464318;-0.5000049013254199
pls_da;por_genotipo;EMB48;4;721;-0.5807465181782198;-0.2482078784008339
pls_da;por_genotipo;EMB48;4;1529;-0.34125515686989377;0.42891621007536557
pls_da;por_genotipo;EMB48;4;400;0.685299025177634;0.03653362650652243
pls_da;por_genotipo;EMB48;4;2330;-0.16496486473354785;0.7428693882649021
pls_da;por_genotipo;EMB48;4;552;-0.22232912321062517;-0.4485912392675018
pls_da;por_genotipo;EMB48;5;721;-0.5012918658049579;-0.3918996262267889
pls_da;por_genotipo;EMB48;5;1529;-0.41228949653539276;0.36256821195768263
pls_da;por_genotipo;EMB48;5;400;0.713552326960444;0.05822187804805099
pls_da;por_genotipo;EMB48;5;2330;-0.23497538274383406;0.6505192126445477
pls_da;por_genotipo;EMB48;5;552;-0.11980602037502161;-0.537023222531379
