modelo;modo;genotipo;fold;banda_nm;coeficiente
pls_da;por_genotipo;EMB48;1;1933;3.0303267012488817
pls_da;por_genotipo;EMB48;1;1369;-3.0067611639194274
pls_da;por_genotipo;EMB48;1;1381;-1.229631542143976
pls_da;por_genotipo;EMB48;1;404;-1.1114284433212798
pls_da;por_genotipo;EMB48;1;713;1.071678075790028
pls_da;por_genotipo;EMB48;2;1369;-3.2898217112580714
pls_da;por_genotipo;EMB48;2;1933;2.8758980059921524
pls_da;por_genotipo;EMB48;2;713;1.164217791519409
pls_da;por_genotipo;EMB48;2;404;-1.06108763689199
pls_da;por_genotipo;EMB48;2;1381;-1.0541537421274438
pls_da;por_genotipo;EMB48;3;1369;-3.064152596612708
pls_da;por_genotipo;EMB48;3;1933;3.0588184802524565
pls_da;por_genotipo;EMB48;3;1381;-1.2627406009896713
pls_da;por_genotipo;EMB48;3;713;1.245528530982206
pls_da;por_genotipo;EMB48;3;404;-1.1268819481218684
pls_da;por_genotipo;EMB48;4;1933;2.9735814541930337
pls_da;por_genotipo;EMB48;4;1369;-2.855281157445018
pls_da;por_genotipo;EMB48;4;713;1.4437709287718397
pls_da;por_genotipo;EMB48;4;1381;-1.2721317969915769
pls_da;por_genotipo;EMB48;4;404;-1.067883635131838
pls_da;por_genotipo;EMB48;5;1933;3.0017485782964566
pls_da;por_genotipo;EMB48;5;1369;-2.8211070632815014
pls_da;por_genotipo;EMB48;5;713;1.141674514904282
pls_da;por_genotipo;EMB48;5;404;-1.115007598671548
pls_da;por_genotipo;EMB48;5;1381;-1.051745199587385
