modelo;modo;genotipo;fold;real;predito;n
pls_da;por_genotipo;EMB48;1;IRRIG;IRRIG;64
pls_da;por_genotipo;EMB48;1;NIRRIG;IRRIG;10
pls_da;por_genotipo;EMB48;1;IRRIG;NIRRIG;2
pls_da;por_genotipo;EMB48;1;NIRRIG;NIRRIG;54
pls_da;por_genotipo;EMB48;2;IRRIG;IRRIG;56
pls_da;por_genotipo;EMB48;2;NIRRIG;IRRIG;11
pls_da;por_genotipo;EMB48;2;IRRIG;NIRRIG;8
pls_da;por_genotipo;EMB48;2;NIRRIG;NIRRIG;53
pls_da;por_genotipo;EMB48;3;IRRIG;IRRIG;57
pls_da;por_genotipo;EMB48;3;NIRRIG;IRRIG;14
pls_da;por_genotipo;EMB48;3;IRRIG;NIRRIG;6
pls_da;por_genotipo;EMB48;3;NIRRIG;NIRRIG;50
pls_da;por_genotipo;EMB48;4;IRRIG;IRRIG;56
pls_da;por_genotipo;EMB48;4;NIRRIG;IRRIG;16
pls_da;por_genotipo;EMB48;4;IRRIG;NIRRIG;8
pls_da;por_genotipo;EMB48;4;NIRRIG;NIRRIG;48
pls_da;por_genotipo;EMB48;5;IRRIG;IRRIG;60
pls_da;por_genotipo;EMB48;5;NIRRIG;IRRIG;10
pls_da;por_genotipo;EMB48;5;IRRIG;NIRRIG;3
pls_da;por_genotipo;EMB48;5;NIRRIG;NIRRIG;54
