fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;51;17;1.0;1.0;1.0;1.0
2;51;17;1.0;1.0;1.0;1.0
3;51;17;1.0;1.0;1.0;1.0
4;51;17;0.9411764705882353;0.9333333333333333;0.8811188811188811;1.0
