genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.982742,0.001702,32,0.982128,0.983356
BR16,IRRIG,3,0.982653,0.000874,32,0.982337,0.982968
BR16,IRRIG,4,0.981938,0.000977,32,0.981586,0.982290
BR16,IRRIG,5,0.981583,0.000863,32,0.981272,0.981894
BR16,IRRIG,6,0.979950,0.000991,32,0.979593,0.980307
BR16,IRRIG,9,0.983275,0.001088,32,0.982883,0.983667
BR16,IRRIG,10,0.983079,0.001595,32,0.982504,0.983654
BR16,NIRRIG,2,0.982349,0.003065,32,0.981244,0.983454
BR16,NIRRIG,3,0.984261,0.001182,32,0.983835,0.984687
BR16,NIRRIG,4,0.980953,0.001595,32,0.980378,0.981528
BR16,NIRRIG,5,0.984400,0.001669,32,0.983798,0.985002
BR16,NIRRIG,6,0.983897,0.001451,32,0.983374,0.984421
BR16,NIRRIG,9,0.983768,0.001759,32,0.983134,0.984403
BR16,NIRRIG,10,0.982411,0.001609,32,0.981830,0.982991
CD202,IRRIG,2,0.981068,0.001430,32,0.980552,0.981583
CD202,IRRIG,3,0.980168,0.001121,32,0.979764,0.980572
CD202,IRRIG,4,0.980572,0.001103,32,0.980174,0.980969
CD202,IRRIG,5,0.981660,0.002341,32,0.980816,0.982504
CD202,IRRIG,6,0.979854,0.001404,32,0.979348,0.980360
CD202,IRRIG,9,0.981999,0.001088,36,0.981631,0.982367
CD202,IRRIG,10,0.981440,0.001144,32,0.981027,0.981852
CD202,NIRRIG,2,0.982747,0.002191,32,0.981957,0.983537
CD202,NIRRIG,3,0.981824,0.002163,32,0.981044,0.982604
CD202,NIRRIG,4,0.981349,0.001859,32,0.980679,0.982019
CD202,NIRRIG,5,0.984312,0.001257,32,0.983859,0.984765
CD202,NIRRIG,6,0.983495,0.001371,32,0.983001,0.983990
CD202,NIRRIG,9,0.985310,0.001417,32,0.984799,0.985821
CD202,NIRRIG,10,0.982453,0.001678,32,0.981848,0.983058
EMB48,IRRIG,2,0.983091,0.001304,32,0.982621,0.983562
EMB48,IRRIG,3,0.983804,0.002517,32,0.982897,0.984712
EMB48,IRRIG,4,0.983447,0.001666,32,0.982847,0.984048
EMB48,IRRIG,5,0.983710,0.002157,32,0.982932,0.984488
EMB48,IRRIG,6,0.982079,0.001015,32,0.981713,0.982445
EMB48,IRRIG,9,0.983818,0.000976,32,0.983466,0.984170
EMB48,IRRIG,10,0.984390,0.001355,32,0.983902,0.984879
EMB48,NIRRIG,2,0.982585,0.002796,32,0.981577,0.983593
EMB48,NIRRIG,3,0.985862,0.002813,32,0.984848,0.986876
EMB48,NIRRIG,4,0.981505,0.001433,32,0.980988,0.982021
EMB48,NIRRIG,5,0.986419,0.001878,32,0.985742,0.987096
EMB48,NIRRIG,6,0.984202,0.000531,32,0.984011,0.984394
EMB48,NIRRIG,9,0.983603,0.001265,32,0.983146,0.984059
EMB48,NIRRIG,10,0.982526,0.001720,32,0.981906,0.983146
