genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.104827,0.010178,32,0.101158,0.108497
BR16,IRRIG,3,0.101766,0.011605,32,0.097582,0.105950
BR16,IRRIG,4,0.094179,0.010151,32,0.090519,0.097839
BR16,IRRIG,5,0.087827,0.013355,32,0.083011,0.092642
BR16,IRRIG,6,0.097052,0.010037,32,0.093433,0.100670
BR16,IRRIG,9,0.092345,0.019243,32,0.085407,0.099283
BR16,IRRIG,10,0.093357,0.021458,32,0.085621,0.101094
BR16,NIRRIG,2,0.101382,0.022250,32,0.093361,0.109404
BR16,NIRRIG,3,0.091269,0.020721,32,0.083799,0.098740
BR16,NIRRIG,4,0.083137,0.016054,32,0.077349,0.088925
BR16,NIRRIG,5,0.072670,0.019523,32,0.065631,0.079709
BR16,NIRRIG,6,0.085925,0.016718,32,0.079897,0.091952
BR16,NIRRIG,9,0.107677,0.021030,32,0.100095,0.115259
BR16,NIRRIG,10,0.101315,0.014232,32,0.096184,0.106446
CD202,IRRIG,2,0.065311,0.020389,32,0.057960,0.072662
CD202,IRRIG,3,0.061115,0.020716,32,0.053646,0.068584
CD202,IRRIG,4,0.055544,0.021205,32,0.047899,0.063189
CD202,IRRIG,5,0.059538,0.022293,32,0.051501,0.067575
CD202,IRRIG,6,0.080020,0.026015,32,0.070641,0.089399
CD202,IRRIG,9,0.092536,0.019827,36,0.085828,0.099245
CD202,IRRIG,10,0.093594,0.014229,32,0.088464,0.098724
CD202,NIRRIG,2,0.067808,0.009219,32,0.064485,0.071132
CD202,NIRRIG,3,0.052342,0.020052,32,0.045112,0.059572
CD202,NIRRIG,4,0.045912,0.019576,32,0.038854,0.052970
CD202,NIRRIG,5,0.041193,0.017077,32,0.035037,0.047350
CD202,NIRRIG,6,0.076733,0.014491,32,0.071508,0.081957
CD202,NIRRIG,9,0.057489,0.018917,32,0.050669,0.064310
CD202,NIRRIG,10,0.056293,0.011159,32,0.052270,0.060316
EMB48,IRRIG,2,0.063435,0.015499,32,0.057847,0.069023
EMB48,IRRIG,3,0.054161,0.009799,32,0.050628,0.057694
EMB48,IRRIG,4,0.052052,0.007259,32,0.049435,0.054669
EMB48,IRRIG,5,0.051895,0.009925,32,0.048317,0.055473
EMB48,IRRIG,6,0.066375,0.011869,32,0.062095,0.070654
EMB48,IRRIG,9,0.080392,0.004149,32,0.078896,0.081888
EMB48,IRRIG,10,0.077897,0.007283,32,0.075271,0.080523
EMB48,NIRRIG,2,0.043986,0.026064,32,0.034589,0.053383
EMB48,NIRRIG,3,0.026928,0.029817,32,0.016178,0.037678
EMB48,NIRRIG,4,0.027102,0.021410,32,0.019383,0.034821
EMB48,NIRRIG,5,0.018425,0.028021,32,0.008322,0.028527
EMB48,NIRRIG,6,0.045051,0.023473,32,0.036589,0.053514
EMB48,NIRRIG,9,0.057828,0.012019,32,0.053495,0.062161
EMB48,NIRRIG,10,0.054132,0.012478,32,0.049634,0.058631
