genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.820580,0.017985,32,0.814096,0.827065
BR16,IRRIG,3,0.795097,0.026643,32,0.785492,0.804703
BR16,IRRIG,4,0.772324,0.049263,32,0.754563,0.790085
BR16,IRRIG,5,0.760275,0.063370,32,0.737428,0.783123
BR16,IRRIG,6,0.742173,0.015921,32,0.736433,0.747913
BR16,IRRIG,9,0.780317,0.033281,32,0.768318,0.792316
BR16,IRRIG,10,0.794426,0.047996,32,0.777122,0.811731
BR16,NIRRIG,2,0.827593,0.015018,32,0.822179,0.833007
BR16,NIRRIG,3,0.838087,0.004153,32,0.836590,0.839584
BR16,NIRRIG,4,0.831687,0.012275,32,0.827261,0.836113
BR16,NIRRIG,5,0.838053,0.005815,32,0.835957,0.840150
BR16,NIRRIG,6,0.843430,0.005469,32,0.841458,0.845402
BR16,NIRRIG,9,0.833501,0.009160,32,0.830198,0.836804
BR16,NIRRIG,10,0.819864,0.029417,32,0.809258,0.830470
CD202,IRRIG,2,0.811606,0.007139,32,0.809032,0.814180
CD202,IRRIG,3,0.765269,0.010184,32,0.761597,0.768941
CD202,IRRIG,4,0.743414,0.029638,32,0.732728,0.754099
CD202,IRRIG,5,0.733000,0.018572,32,0.726304,0.739696
CD202,IRRIG,6,0.739214,0.021567,32,0.731439,0.746990
CD202,IRRIG,9,0.762907,0.033439,36,0.751592,0.774221
CD202,IRRIG,10,0.767128,0.038469,32,0.753258,0.780997
CD202,NIRRIG,2,0.814236,0.018546,32,0.807549,0.820922
CD202,NIRRIG,3,0.833973,0.008094,32,0.831055,0.836892
CD202,NIRRIG,4,0.827375,0.014219,32,0.822249,0.832502
CD202,NIRRIG,5,0.826158,0.009811,32,0.822621,0.829695
CD202,NIRRIG,6,0.838939,0.009225,32,0.835613,0.842265
CD202,NIRRIG,9,0.827394,0.008642,32,0.824279,0.830510
CD202,NIRRIG,10,0.827851,0.010934,32,0.823908,0.831793
EMB48,IRRIG,2,0.799709,0.004300,32,0.798158,0.801259
EMB48,IRRIG,3,0.758931,0.013273,32,0.754146,0.763717
EMB48,IRRIG,4,0.730953,0.023458,32,0.722495,0.739410
EMB48,IRRIG,5,0.739660,0.042601,32,0.724301,0.755020
EMB48,IRRIG,6,0.731098,0.020127,32,0.723842,0.738355
EMB48,IRRIG,9,0.767845,0.027468,32,0.757942,0.777749
EMB48,IRRIG,10,0.770372,0.035429,32,0.757598,0.783145
EMB48,NIRRIG,2,0.817471,0.013523,32,0.812596,0.822347
EMB48,NIRRIG,3,0.825934,0.008444,32,0.822889,0.828978
EMB48,NIRRIG,4,0.824927,0.025462,32,0.815747,0.834107
EMB48,NIRRIG,5,0.829374,0.010261,32,0.825675,0.833074
EMB48,NIRRIG,6,0.837743,0.009076,32,0.834471,0.841015
EMB48,NIRRIG,9,0.834860,0.008055,32,0.831955,0.837764
EMB48,NIRRIG,10,0.834694,0.010341,32,0.830966,0.838422
