banda_nm,dia,genotipo,condicao,n,media_reflectancia,desvio_padrao,ic95_inferior,ic95_superior
680,D02,BR16,IRRIG,32,0.0504588828125,0.004859961196391583,0.04870669150212108,0.052211074122878925
680,D02,BR16,NIRRIG,32,0.0499963900625,0.003593885988882121,0.04870066453183376,0.05129211559316624
680,D02,CD202,IRRIG,32,0.05149269928125,0.002885494386749608,0.050452374474878346,0.05253302408762165
680,D02,CD202,NIRRIG,32,0.052434332,0.005096533041620301,0.050596848006256065,0.054271815993743935
680,D02,EMB48,IRRIG,32,0.0549529495625,0.0023554721379687813,0.05410371689474682,0.055802182230253176
680,D02,EMB48,NIRRIG,32,0.0523363041875,0.0032421288733378963,0.05116739978488684,0.053505208590113165
680,D06,BR16,IRRIG,32,0.0672734839375,0.00406972066435402,0.06580620284294204,0.06874076503205796
680,D06,BR16,NIRRIG,32,0.04573253915625,0.0015353859400346456,0.045178977143408384,0.04628610116909162
680,D06,CD202,IRRIG,32,0.06989822678125,0.006236725512717177,0.06764966227486766,0.07214679128763235
680,D06,CD202,NIRRIG,32,0.046774228531249996,0.0031263208208781746,0.04564707710875167,0.047901379953748324
680,D06,EMB48,IRRIG,32,0.07101584896875,0.004266188839650327,0.06947773401037935,0.07255396392712066
680,D06,EMB48,NIRRIG,32,0.0488018465625,0.003901496766098017,0.04739521625110901,0.05020847687389099
680,D09,BR16,IRRIG,32,0.05979769715625,0.008735884777773345,0.05664809558999655,0.06294729872250346
680,D09,BR16,NIRRIG,32,0.0484194248125,0.002744747430902681,0.04742984436046195,0.04940900526453805
680,D09,CD202,IRRIG,36,0.06462221983333333,0.007776253528169786,0.06199112445207708,0.06725331521458958
680,D09,CD202,NIRRIG,32,0.05007978359375,0.004291486689732404,0.048532547847929854,0.05162701933957015
680,D09,EMB48,IRRIG,32,0.06070351475,0.007681919959044008,0.057933905517470075,0.06347312398252992
680,D09,EMB48,NIRRIG,32,0.0467572405,0.0027974985199086047,0.0457486413776405,0.047765839622359495
770,D02,BR16,IRRIG,32,0.47910303659375,0.018182749703240013,0.4725474994729048,0.48565857371459514
770,D02,BR16,NIRRIG,32,0.49214382725,0.01931092064421606,0.4851815438117423,0.4991061106882577
770,D02,CD202,IRRIG,32,0.46216308903125003,0.01619385857926136,0.45632461890001635,0.4680015591624837
770,D02,CD202,NIRRIG,32,0.47565676509375,0.013825762374346068,0.4706720790617545,0.48064145112574547
770,D02,EMB48,IRRIG,32,0.4638983515625,0.01782655378970665,0.4574712359164907,0.47032546720850926
770,D02,EMB48,NIRRIG,32,0.4784261591875,0.01343909521271991,0.47358088061437753,0.4832714377606224
770,D06,BR16,IRRIG,32,0.441600748,0.009216111704505882,0.4382780073048466,0.44492348869515336
770,D06,BR16,NIRRIG,32,0.5041944866875,0.010038590612313119,0.5005752126792206,0.5078137606957794
770,D06,CD202,IRRIG,32,0.44874640278125,0.0037887237556443465,0.44738043120785653,0.45011237435464346
770,D06,CD202,NIRRIG,32,0.50095805675,0.009041287262913082,0.49769834657196854,0.5042177669280316
770,D06,EMB48,IRRIG,32,0.4399161275625,0.023804272295362958,0.4313338287785514,0.44849842634644854
770,D06,EMB48,NIRRIG,32,0.51580532309375,0.020191170908283727,0.5085256776846183,0.5230849685028818
770,D09,BR16,IRRIG,32,0.4611874001875,0.017301479532652132,0.45494959275061747,0.4674252076243825
770,D09,BR16,NIRRIG,32,0.5030264228125,0.007396624917261042,0.5003596727331414,0.5056931728918586
770,D09,CD202,IRRIG,36,0.45995052738888886,0.018991612045804396,0.45352471545319095,0.4663763393245868
770,D09,CD202,NIRRIG,32,0.49652214684375,0.019899217100791632,0.4893477613130098,0.5036965323744902
770,D09,EMB48,IRRIG,32,0.44268305553125,0.008113408779763139,0.4397578790150242,0.44560823204747574
770,D09,EMB48,NIRRIG,32,0.4874443720625,0.01255656905361925,0.4829172760025026,0.4919714681224974
