genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,719.013125,0.275650,32,718.913744,719.112507
BR16,IRRIG,3,719.071733,0.342396,32,718.948287,719.195179
BR16,IRRIG,4,718.807854,0.324538,32,718.690847,718.924862
BR16,IRRIG,5,718.743740,0.486487,32,718.568344,718.919136
BR16,IRRIG,6,719.324099,0.394521,32,719.181860,719.466338
BR16,IRRIG,9,718.868747,0.657336,32,718.631753,719.105740
BR16,IRRIG,10,718.863098,0.624403,32,718.637978,719.088218
BR16,NIRRIG,2,718.799216,0.679537,32,718.554218,719.044214
BR16,NIRRIG,3,718.511692,0.539121,32,718.317320,718.706065
BR16,NIRRIG,4,718.330958,0.531968,32,718.139164,718.522751
BR16,NIRRIG,5,718.011088,0.600510,32,717.794582,718.227594
BR16,NIRRIG,6,718.479942,0.580061,32,718.270809,718.689074
BR16,NIRRIG,9,719.297673,0.806440,32,719.006922,719.588424
BR16,NIRRIG,10,719.182822,0.414475,32,719.033389,719.332255
CD202,IRRIG,2,717.593713,0.804820,32,717.303546,717.883879
CD202,IRRIG,3,717.504054,0.807466,32,717.212933,717.795175
CD202,IRRIG,4,717.409498,0.942348,32,717.069747,717.749248
CD202,IRRIG,5,717.553354,0.977342,32,717.200986,717.905721
CD202,IRRIG,6,718.459483,1.099512,32,718.063069,718.855897
CD202,IRRIG,9,718.939545,0.903178,36,718.633955,719.245136
CD202,IRRIG,10,718.914686,0.564758,32,718.711070,719.118301
CD202,NIRRIG,2,717.673766,0.381147,32,717.536348,717.811183
CD202,NIRRIG,3,717.180033,0.832213,32,716.879990,717.480076
CD202,NIRRIG,4,716.965365,0.805888,32,716.674813,717.255917
CD202,NIRRIG,5,716.819994,0.654880,32,716.583886,717.056102
CD202,NIRRIG,6,718.154271,0.578753,32,717.945610,718.362933
CD202,NIRRIG,9,717.468081,0.814539,32,717.174410,717.761751
CD202,NIRRIG,10,717.569527,0.436203,32,717.412260,717.726794
EMB48,IRRIG,2,717.572570,0.653840,32,717.336837,717.808303
EMB48,IRRIG,3,717.356815,0.453929,32,717.193157,717.520473
EMB48,IRRIG,4,717.391499,0.355563,32,717.263306,717.519692
EMB48,IRRIG,5,717.350205,0.481100,32,717.176751,717.523659
EMB48,IRRIG,6,718.001314,0.542215,32,717.805826,718.196803
EMB48,IRRIG,9,718.663644,0.191147,32,718.594728,718.732559
EMB48,IRRIG,10,718.522845,0.368446,32,718.390007,718.655683
EMB48,NIRRIG,2,716.648497,1.122855,32,716.243668,717.053327
EMB48,NIRRIG,3,716.142790,1.293155,32,715.676561,716.609019
EMB48,NIRRIG,4,716.178413,0.939106,32,715.839832,716.516995
EMB48,NIRRIG,5,715.870176,1.259541,32,715.416066,716.324286
EMB48,NIRRIG,6,716.963582,0.926229,32,716.629643,717.297521
EMB48,NIRRIG,9,717.619808,0.501132,32,717.439132,717.800484
EMB48,NIRRIG,10,717.488143,0.517939,32,717.301407,717.674879
