metrica;media;desvio
accuracy;0.90625;0.11967838846954226
balanced_accuracy;0.90625;0.11967838846954226
precision;0.9166666666666666;0.16666666666666669
recall;0.9375;0.125
f1;0.9142857142857143;0.10168645954315533
auc_roc;1.0;0.0
