banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
404;1.4591873744344157;True;100;100;1.0;0.037228862140100925;confirmada;True;6.328882578377402e-11;2.712768916235086e-06;True;3
414;1.3236111579019163;True;100;100;1.0;0.025549048701002205;confirmada;True;6.328882578377402e-11;2.9789665699335497e-06;True;3
425;1.2180310860669423;True;100;100;1.0;0.018670976565704156;confirmada;True;6.328882578377402e-11;4.491283686022568e-06;True;3
435;1.1251580676449742;True;100;100;1.0;0.01434358298682611;confirmada;True;6.328882578377402e-11;6.064492081298684e-06;True;3
444;1.0506330692919974;True;100;100;1.0;0.011294901485366436;confirmada;True;6.328882578377402e-11;8.626944675590998e-06;True;3
454;0.9682501245327014;False;100;100;1.0;0.007584406742303285;confirmada;True;6.328882578377402e-11;1.2196768065604076e-05;True;2
465;0.8956066224594075;False;100;100;1.0;0.00628175777139296;confirmada;True;6.328882578377402e-11;1.2196768065604076e-05;True;2
474;0.8457833659010423;False;100;99;0.99;0.004840598258571621;confirmada;True;6.328882578377402e-11;1.386153413083008e-05;True;2
482;0.8044124729443881;False;100;98;0.98;0.003711261607875079;confirmada;True;6.496461214530716e-11;1.6191830465466243e-05;True;2
490;0.762130549712383;False;100;94;0.94;0.003065364505792512;confirmada;True;8.184712331529104e-11;1.772265604588778e-05;True;2
500;0.7013150689287888;False;100;80;0.8;0.002052223018974034;confirmada;True;2.553619504446834e-10;1.8749713961539523e-05;True;2
510;0.6629915189338166;False;100;48;0.48;0.001279333532429758;tentativa;False;1.6760914329460252e-09;1.4891515368815036e-05;True;1
520;0.8937760781622023;False;100;90;0.9;0.0026511586937528146;confirmada;True;8.218145279715259e-08;4.106090803509302e-06;True;2
530;1.1766061567985975;True;100;100;1.0;0.006020399416336896;confirmada;True;9.270000799960424e-06;1.2139994355313104e-06;True;3
549;1.375056015067858;True;100;100;1.0;0.008758812574263548;confirmada;True;1.376826120503598e-05;1.5360847165551471e-06;True;3
555;1.396141776501763;True;100;100;1.0;0.008844933654175845;confirmada;True;9.45284162771918e-06;1.6973121618127364e-06;True;3
560;1.3856695292680714;True;100;100;1.0;0.009061235047463456;confirmada;True;1.994993729894382e-05;1.8866862676349072e-06;True;3
579;1.1578044313618665;True;100;100;1.0;0.0066673619359850665;confirmada;True;1.0343657042911488e-05;5.4078384919299305e-06;True;3
585;1.1048535222986662;True;100;100;1.0;0.005791823758232648;confirmada;True;7.845361927107181e-06;7.455642501594047e-06;True;3
598;1.0278193750715081;True;100;98;0.98;0.0039900735603463425;confirmada;True;5.90126814686006e-06;1.1793713907169668e-05;True;3
609;0.9362993974625227;False;100;99;0.99;0.00309793419690874;confirmada;True;9.635588437901346e-07;1.2369344228409211e-05;True;2
619;0.8481070447311665;False;100;60;0.6;0.001519664553160081;confirmada;True;2.874747738036917e-07;1.5844657393475088e-05;True;2
621;0.8384493845568529;False;100;55;0.55;0.0013744072408482502;tentativa;False;2.534730069371564e-07;1.6191830465466243e-05;True;1
639;0.7807967649316837;False;100;36;0.36;0.0009957890818584362;tentativa;False;2.216474038445883e-07;1.942240265003821e-08;True;1
649;0.6959251010926129;False;100;39;0.39;0.0010785171831315915;tentativa;False;2.7432176423301787e-08;1.4223988492252865e-08;True;1
659;0.6660754126698718;False;100;51;0.51;0.0011938691361729216;tentativa;False;5.915630487979928e-09;2.8596418724752506e-08;True;1
669;0.6550511147114488;False;100;70;0.7;0.001743193024098474;confirmada;True;2.9700860135754674e-09;5.8682970001107086e-08;True;2
679;0.6573987492947488;False;100;79;0.79;0.0022077147911209226;confirmada;True;2.356237978131445e-10;7.913252828681575e-08;True;2
685;0.6575119124940632;False;100;76;0.76;0.0020658136190340112;confirmada;True;8.792465728991556e-11;2.3720887675260923e-07;True;2
691;0.7013103582983363;False;100;68;0.68;0.0016601051236966003;confirmada;True;1.3279036157836955e-10;1.3681364476306828e-06;True;2
707;1.9307319372753153;True;100;100;1.0;0.026957991292043005;confirmada;True;6.066978398619239e-10;1.1232173550594643e-06;True;3
713;2.0116005830424712;True;100;100;1.0;0.03146073753935651;confirmada;True;6.066978398619239e-10;1.1232173550594643e-06;True;3
724;1.7670439718308988;True;100;100;1.0;0.021319318007910093;confirmada;True;6.066978398619239e-10;1.1232173550594643e-06;True;3
738;0.6961188111978527;False;100;98;0.98;0.003830202487486086;confirmada;True;2.1658046116727527e-10;8.124368944257546e-06;True;2
743;0.585566597058417;False;100;72;0.72;0.001650730086447236;confirmada;True;6.328882578377402e-11;2.648250732008608e-05;True;2
753;0.6726423731529376;False;100;44;0.44;0.0011884336183391375;tentativa;False;6.328882578377402e-11;7.709393255029373e-05;True;1
763;0.6989104442728447;False;100;62;0.62;0.0013815449756224626;tentativa;False;6.328882578377402e-11;7.709393255029373e-05;True;1
773;0.6939384210914442;False;100;24;0.24;0.0008728094150605874;rejeitada;False;6.328882578377402e-11;8.091780797904607e-05;True;1
783;0.6913786415070858;False;100;22;0.22;0.000745942030647597;rejeitada;False;6.328882578377402e-11;8.607128721349428e-05;True;1
794;0.6918628332212141;False;100;18;0.18;0.0006790187391161596;rejeitada;False;6.328882578377402e-11;0.0001096790943132;True;1
801;0.6925249080373471;False;100;8;0.08;0.0006264805215923583;rejeitada;False;6.328882578377402e-11;0.0001130978970698;True;1
809;0.6939738997052629;False;100;16;0.16;0.0006910801854038266;rejeitada;False;7.184201608176076e-11;0.0001130978970698;True;1
819;0.6959436708738174;False;100;15;0.15;0.0005883596833461333;rejeitada;False;1.0469395140055768e-10;0.0001248553644702;True;1
829;0.7014069830597026;False;100;10;0.1;0.0005499857790703586;rejeitada;False;2.553619504446834e-10;0.0001280173650581;True;1
839;0.7133310187644561;False;100;7;0.07;0.0005279919109588486;rejeitada;False;1.115602413248453e-09;8.382380691739134e-05;True;1
850;0.7352080633482978;False;100;11;0.11;0.0006088052498344058;rejeitada;False;1.6356490705917938e-08;5.670740206167954e-05;True;1
859;0.7544863388676545;False;100;10;0.1;0.0006073969737101689;rejeitada;False;7.676040844537079e-08;3.804708488917909e-05;True;1
873;0.7806135933832512;False;100;10;0.1;0.0005521014231413363;rejeitada;False;1.51478921438668e-07;2.345932116202685e-05;True;1
883;0.794014440182504;False;100;9;0.09;0.0006090575359609934;rejeitada;False;1.51478921438668e-07;2.201710446387967e-05;True;1
893;0.8034667279401446;False;100;12;0.12;0.000611663845445928;rejeitada;False;1.51478921438668e-07;1.9687572775002507e-05;True;1
904;0.8104632334119444;False;100;19;0.19;0.0006959013680583742;rejeitada;False;1.51478921438668e-07;1.6682179511575452e-05;True;1
913;0.8160307152589392;False;100;23;0.23;0.000757580529008443;rejeitada;False;1.51478921438668e-07;1.5243715244244124e-05;True;1
923;0.8209981852016901;False;100;23;0.23;0.0007984864823749105;rejeitada;False;1.51478921438668e-07;1.2468325033628196e-05;True;1
933;0.8225821606609052;False;100;29;0.29;0.0008887005503553544;rejeitada;False;1.51478921438668e-07;9.846173211053927e-06;True;1
944;0.8261593515009883;False;100;36;0.36;0.0009254867774629881;tentativa;False;1.51478921438668e-07;1.2920083923270648e-08;True;1
953;0.8232995747536751;False;100;27;0.27;0.0008329058861868746;rejeitada;False;1.51478921438668e-07;5.326277252899098e-06;True;1
964;0.8216692395941572;False;100;23;0.23;0.0007835935512809059;rejeitada;False;1.57104366345196e-07;3.063059633994192e-09;True;1
974;0.8288448965584573;False;100;26;0.26;0.0007978008032608376;rejeitada;False;1.57104366345196e-07;1.9340857667501507e-09;True;1
983;0.8480092898485686;False;100;42;0.42;0.001192341711214999;tentativa;False;1.57104366345196e-07;1.4316940842540886e-09;True;1
998;0.870560841819705;False;100;50;0.5;0.0012451765553336297;tentativa;False;1.51478921438668e-07;1.3043934952227379e-09;True;1
1003;0.8759520720748246;False;100;55;0.55;0.0013931594273396484;tentativa;False;1.51478921438668e-07;1.3297028200281612e-09;True;1
1013;0.895059438589821;False;100;68;0.68;0.0015166431335139404;confirmada;True;1.51478921438668e-07;1.4316940842540886e-09;True;2
1024;0.8946826063597431;False;100;54;0.54;0.0014591095633181741;tentativa;False;1.51478921438668e-07;1.4316940842540886e-09;True;1
1034;0.8933324419444147;False;100;52;0.52;0.001319158417623833;tentativa;False;1.51478921438668e-07;1.4316940842540886e-09;True;1
1043;0.8897601225867435;False;100;50;0.5;0.0013367318625173142;tentativa;False;1.51478921438668e-07;1.4316940842540886e-09;True;1
1057;0.8907765815198226;False;100;44;0.44;0.0011411701215904618;tentativa;False;1.4480414120502198e-07;1.3297028200281612e-09;True;1
1059;0.8903871757464003;False;100;38;0.38;0.0011004047561175524;tentativa;False;1.4480414120502198e-07;1.4316940842540886e-09;True;1
1071;0.8837357006543599;False;100;37;0.37;0.0010008212337446623;tentativa;False;1.51478921438668e-07;3.38262118091469e-06;True;1
1080;0.8826002069547452;False;100;46;0.46;0.0010619755448519096;tentativa;False;2.216474038445883e-07;3.38262118091469e-06;True;1
1091;0.8787088560394432;False;100;22;0.22;0.0008283332334285023;rejeitada;False;6.487860085812918e-07;3.4711737139137505e-06;True;1
1106;0.8567177661905261;False;100;22;0.22;0.0008421861826372921;rejeitada;False;4.619646786211081e-07;3.38262118091469e-06;True;1
1117;0.8316785455239696;False;100;25;0.25;0.0008449586152883597;rejeitada;False;2.874747738036917e-07;3.38262118091469e-06;True;1
1128;0.8023379006375094;False;100;22;0.22;0.0008508923726470031;rejeitada;False;8.84903284765026e-08;9.51990049406762e-09;True;1
1135;0.7769128147181418;False;100;37;0.37;0.0010312889748054738;tentativa;False;5.793728439603302e-08;1.2665278502076896e-08;True;1
1144;0.7285103488077185;False;100;32;0.32;0.0009568500775615943;rejeitada;False;4.1235746083556834e-08;3.0829475055508035e-08;True;1
1156;0.6859677137490977;False;100;32;0.32;0.0009635520043722728;rejeitada;False;3.5943684969183694e-08;9.35742807722137e-08;True;1
1164;0.6962345630698448;False;100;18;0.18;0.0007493076470820678;rejeitada;False;2.7432176423301787e-08;1.914524221558956e-08;True;1
1169;0.7107686606719527;False;100;17;0.17;0.0007277771648836933;rejeitada;False;2.5549403349031376e-08;1.2368917865801242e-08;True;1
1182;0.7526026670106777;False;100;13;0.13;0.0005929221140369441;rejeitada;False;2.9292567703787937e-08;5.615825320852825e-09;True;1
1190;0.772502357709961;False;100;9;0.09;0.0006386253899046192;rejeitada;False;4.385724911509996e-08;1.1076595035213891e-08;True;1
1200;0.7859912929046543;False;100;16;0.16;0.0007549878489509039;rejeitada;False;1.0972474343864277e-07;1.1406578575249962e-08;True;1
1209;0.7975009121812033;False;100;20;0.2;0.0007778647101790829;rejeitada;False;1.6768387714314921e-07;9.51990049406762e-09;True;1
1219;0.810374335014647;False;100;11;0.11;0.0006522330007920713;rejeitada;False;3.778335896285431e-07;8.424071007420276e-09;True;1
1229;0.8206890695400563;False;100;20;0.2;0.0007712813607187894;rejeitada;False;9.008778905218892e-07;8.042134450211824e-09;True;1
1239;0.8264313687635721;False;100;16;0.16;0.0007201826027292804;rejeitada;False;2.1006713279938385e-06;7.080540396878743e-09;True;1
1249;0.8272827633906411;False;100;16;0.16;0.0006867929561877621;rejeitada;False;4.406372867010968e-06;2.658324994341104e-09;True;1
1259;0.8242121309530448;False;100;17;0.17;0.0007166142382105247;rejeitada;False;7.004305022284973e-06;3.629714285173286e-09;True;1
1270;0.8161522955561707;False;100;21;0.21;0.0008019658712898164;rejeitada;False;7.842763429377218e-06;1.4674115910999201e-09;True;1
1279;0.8107805327087346;False;100;19;0.19;0.0007848280774403417;rejeitada;False;8.608043495971232e-06;1.3297028200281612e-09;True;1
1298;0.7760849544263976;False;100;40;0.4;0.0011216201391523433;tentativa;False;1.3885200296658132e-05;6.501165589481302e-10;True;1
