n_componentes;acuracia_cv;desvio_cv
1;0.6450892857142857;0.13293905285114374
2;0.9174107142857143;0.04158021430847581
3;0.9441964285714286;0.052963439811181595
4;0.9419642857142858;0.07072758713283421
5;0.9285714285714286;0.050507627227610555
6;0.9397321428571428;0.03859735818256825
7;0.9419642857142858;0.038661848383233846
8;0.9397321428571429;0.029189055425495568
9;0.9151785714285714;0.024040914317564752
10;0.9040178571428572;0.03180314028744423
11;0.8973214285714286;0.026411070460266167
12;0.9040178571428571;0.017145414615778155
13;0.9151785714285714;0.01480636067122946
14;0.9174107142857143;0.03180314028744422
15;0.9040178571428572;0.04525253333194933
16;0.9107142857142857;0.03992978531249626
17;0.9040178571428572;0.06035047247587398
18;0.8839285714285715;0.08540681459691513
19;0.8660714285714286;0.08035714285714288
20;0.8660714285714286;0.08423197439336257
