posicao;banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos;rank_vip;rank_boruta;score
1;713;2.0116005830424712;True;100;100;1.0;0.03146073753935651;confirmada;True;6.066978398619239e-10;1.1232173550594643e-06;True;3;1.0;5.0;3.0
2;1933;1.7313570315573652;True;100;100;1.0;0.036098506006692836;confirmada;True;6.402156011865929e-11;1.6903439759001257e-08;True;3;5.0;3.0;4.0
3;404;1.4591873744344157;True;100;100;1.0;0.037228862140100925;confirmada;True;6.328882578377402e-11;2.712768916235086e-06;True;3;11.0;2.0;6.5
4;1369;1.7400825626541658;True;100;100;1.0;0.01323805986255574;confirmada;True;1.5777350735352042e-08;0.0002159090411627;True;3;4.0;20.0;12.0
5;1381;1.727125146695547;True;100;100;1.0;0.011253983661088242;confirmada;True;1.6911640375102816e-07;2.9073969781516724e-06;True;3;6.0;22.0;14.0
