dia;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D02;1;1924;6.667066501749201e-05;0.0027906435500178;0.2403720145781637;0.580078125;True;152;2.0913379230014177;True;0.580078125
D02;2;1935;3.857036162393276e-06;0.0002472119115333;0.3279776674937965;0.671875;True;153;2.0739575920299176;True;0.671875
D02;3;1914;9.33325531828378e-05;0.0032444926538644;0.2301130195409429;0.568359375;True;151;2.073247515556793;True;0.568359375
D02;4;1945;1.5782574683370118e-08;5.833014132308294e-06;0.4992662453473945;0.822265625;True;154;1.9077894081443334;True;0.822265625
D02;5;1950;1.7063912624987695e-08;5.833014132308294e-06;0.4968207196029777;0.8203125;True;155;1.7786373958124515;True;0.8203125
D03;1;1375;0.0038913442582605;0.0045580508701841;0.1182876473325062;-0.419921875;True;98;2.2766645782410504;True;0.419921875
D03;2;1366;6.262373147189395e-08;1.891624053738652e-07;0.4561365927419355;-0.787109375;True;97;2.134280156214947;True;0.787109375
D03;3;1361;5.074855094390451e-10;3.898325018200306e-09;0.6072299550248139;-0.904296875;True;96;1.9699011833162634;True;0.904296875
D03;4;1351;7.407299726217156e-11;3.412504748200997e-09;0.6678766671836229;-0.947265625;True;95;1.6219824237478708;True;0.947265625
D03;5;1841;0.023256834475639;0.0259097053283735;0.0669228830645161;0.330078125;True;144;1.4515237006816388;True;0.330078125
D04;1;713;3.757708175153691e-09;5.958922853194248e-07;0.5442802031637718;0.857421875;True;31;1.94985264467984;True;0.857421875
D04;2;1379;5.630269350745034e-09;5.958922853194248e-07;0.5315873138957816;-0.84765625;True;98;1.9384989143927525;True;0.84765625
D04;3;1374;1.993662014812841e-08;1.168285940680325e-06;0.4919471153846154;-0.81640625;True;97;1.9226755655070735;True;0.81640625
D04;4;404;4.294830837146e-08;1.7976934789768255e-06;0.4679280397022333;-0.796875;True;0;1.9148816791012528;True;0.796875
D04;5;1388;8.398993224157852e-09;6.625513501056829e-07;0.5190398185483871;-0.837890625;True;99;1.8888971555514504;True;0.837890625
D05;1;1833;2.637510085515891e-05;2.8697788781926223e-05;0.2687529078784119;0.611328125;True;145;1.4031926375560504;True;0.611328125
D05;2;1852;1.956176847224488e-05;2.1363784417771168e-05;0.2779272642679901;0.62109375;True;146;1.220957497779774;True;0.62109375
D05;3;1547;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;116;1.1985177270837437;True;1.0
D05;4;1537;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;115;1.1956439335210363;True;1.0
D05;5;1557;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;117;1.1952345665476423;True;1.0
D06;1;1919;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;True;153;1.2793529293405697;True;1.0
D06;2;1931;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;1.0;True;154;1.2770805814472563;True;1.0
D06;3;1651;1.520087063501115e-09;1.6916432811941327e-09;0.5727163461538463;0.87890625;True;126;1.2494844800152285;True;0.87890625
D06;4;1640;1.9596401375206222e-10;2.23290106780822e-10;0.6372014578163773;0.92578125;True;125;1.244822342394931;True;0.92578125
D06;5;1661;5.194701821703936e-09;5.697504511398274e-09;0.534114260235732;0.849609375;True;127;1.238105132525541;True;0.849609375
D09;1;1934;1.1529554898372289e-08;1.7647102310866837e-07;0.5091065058933003;0.830078125;True;153;1.6376586804923405;True;0.830078125
D09;2;1926;4.632941385561415e-08;5.081370471543563e-07;0.4655581187965261;0.794921875;True;152;1.6292292768927399;True;0.794921875
D09;3;1943;1.2865021608031123e-09;5.937376722162505e-08;0.5779621588089331;0.8828125;True;154;1.613625106541653;True;0.8828125
D09;4;1952;1.9596401375206222e-10;4.350852572595002e-08;0.6372014578163773;0.92578125;True;155;1.5680812698551978;True;0.92578125
D09;5;1917;1.2211680465352746e-07;1.1033549178166729e-06;0.4352783808933002;0.76953125;True;151;1.5545759157467054;True;0.76953125
D10;1;1360;0.0099370102292331;0.0211638712151164;0.0910669975186104;-0.375;True;96;1.6978521606140646;True;0.375
D10;2;1356;0.0075399834195881;0.0176939427844111;0.0990258607320099;-0.388671875;True;95;1.6973755759026516;True;0.388671875
D10;3;1878;0.0072436377838;0.0174784718759694;0.1001861042183622;-0.390625;True;148;1.4382275374562945;True;0.390625
D10;4;1840;0.0007885341469502;0.0067429513718762;0.1656133684863523;-0.48828125;True;144;1.4118884814201542;True;0.48828125
D10;5;1377;0.0005874329623308;0.0061753934637368;0.1744416873449131;-0.5;True;97;1.357594547038045;True;0.5
