dia;amostras;bandas_originais;grupos_spearman;reducao;limiar_spearman_abs_rho;janela_nm;n_componentes_pls_da;balanced_accuracy_cv;bandas_significativas_representativas;top5_encontradas
D02;64;2051;206;0.8995611896635788;0.8;10;4;0.6875;13;5
D03;64;2051;206;0.8995611896635788;0.8;10;3;0.796875;193;5
D04;64;2051;206;0.8995611896635788;0.8;10;2;0.75;72;5
D05;64;2051;207;0.8990736226231106;0.8;10;9;0.78125;206;5
D06;64;2051;207;0.8990736226231106;0.8;10;2;0.703125;206;5
D09;64;2051;206;0.8995611896635788;0.8;10;7;0.84375;117;5
D10;64;2051;206;0.8995611896635788;0.8;10;9;0.625;136;5
