n_componentes;r2_cv_bloco;rmse_cv_bloco
1;0.4855069435199365;22.379479246074627
2;0.3393769040550425;25.35929022855868
3;0.1392513294282689;28.946655859499785
4;0.018554573577756805;30.90959362789632
5;0.17331553991652648;28.368090553087946
6;0.36999995156115084;24.764553893046205
