bloco;genotipo;condicao;ETR  (23/02);predito_ajuste;predito_cv_bloco;residuo_cv_bloco
B1;BR16;IRRIG;213.38333333333333;155.95970835921133;143.50844593068547;69.87488740264786
B2;BR16;IRRIG;206.78333333333333;179.7088103333467;173.4399808580398;33.34335247529353
B3;BR16;IRRIG;199.28333333333333;203.57977341571853;204.73646843694505;-5.453135103611714
B4;BR16;IRRIG;185.08333333333337;185.01400513035497;193.25313790555705;-8.169804572223683
B1;BR16;NIRRIG;171.71666666666667;192.3553721676325;195.00495487449726;-23.28828820783059
B2;BR16;NIRRIG;181.1833333333333;171.383756990538;164.97932687869252;16.20400645464079
B3;BR16;NIRRIG;190.10000000000002;178.1960392677695;177.59660580497905;12.503394195020974
B4;BR16;NIRRIG;150.51666666666668;161.08814427024592;182.0858683381136;-31.569201671446933
B1;EMB48;IRRIG;212.1833333333333;202.15536979730118;208.87104805092662;3.312285282406691
B2;EMB48;IRRIG;214.23333333333332;192.23965742126413;186.17493364612758;28.058399687205736
B3;EMB48;IRRIG;202.30000000000004;191.46670237125534;191.78537612397508;10.514623876024956
B4;EMB48;IRRIG;154.48333333333335;177.31453941468766;189.65945282668488;-35.176119493351536
B1;EMB48;NIRRIG;187.0666666666667;176.51281930866463;172.58920311656715;14.477463550099543
B2;EMB48;NIRRIG;201.9333333333333;184.29049369292107;178.09629186916112;23.837041464172188
B3;EMB48;NIRRIG;136.66666666666666;171.5518421438388;170.49274172445516;-33.8260750577885
B4;EMB48;NIRRIG;143.1;160.57685644418925;181.84722743764567;-38.74722743764568
B1;CD202;IRRIG;189.98333333333335;189.74795920709028;191.3157059147982;-1.3323725814648526
B2;CD202;IRRIG;195.48333333333335;163.77295486901;157.24455803049605;38.2387753028373
B3;CD202;IRRIG;190.71999999999997;161.1099699277652;159.3284671574023;31.391532842597684
B4;CD202;IRRIG;100.78;173.7804087059904;188.0099159284576;-87.22991592845759
B1;CD202;NIRRIG;200.0;173.81669045967467;168.77442935350268;31.225570646497317
B2;CD202;NIRRIG;162.26666666666665;156.88354279788177;150.242929421677;12.023737244989661
B3;CD202;NIRRIG;168.14999999999998;167.4264948513623;166.0819896194103;2.0680103805896692
B4;CD202;NIRRIG;78.66;166.12808865228496;184.43823583904606;-105.77823583904606
