data_etr;ordem_vip;banda_nm;vip_modelo_final;rho_spearman_etr;r2_ajuste;rmse_ajuste;r2_cv_bloco;rmse_cv_bloco
02/03;1;1556;1.0215047691787296;-0.7031963636553615;0.5229961038921132;21.54870524989867;0.4781209416165726;22.53954540846379
02/03;2;1563;1.0213695128876747;-0.7075451352302247;0.5228576144162345;21.55183316179263;0.4778623638882573;22.545128601159607
02/03;3;1570;1.021011688190688;-0.7040661179703341;0.522491324660247;21.560103964684803;0.47793209438911965;22.54362312109906
02/03;4;980;1.0208314123414575;-0.7153729240649782;0.5223068326455906;21.564268583140674;0.48870191888250447;22.30988332472567
02/03;5;990;1.0207887066832093;-0.7153729240649782;0.5222631329900733;21.56525491665164;0.4884595344074243;22.31517077722762
