agrupamento;grupo;n_amostras;bandas_testadas;normais_p;normais_q;W_mediano;prop_normais_p;prop_normais_q
dia_genotipo_condicao;D04 | BR16 | IRRIG;4;2051;2039;2051;0.9077572210587015;0.9941491955143832;1.0
dia_genotipo_condicao;D04 | BR16 | NIRRIG;4;2051;2010;2051;0.9091114819852734;0.9800097513408094;1.0
dia_genotipo_condicao;D04 | CD202 | IRRIG;4;2051;2020;2051;0.9221733027187842;0.98488542174549;1.0
dia_genotipo_condicao;D04 | CD202 | NIRRIG;4;2051;1717;2051;0.8886793146066725;0.8371526084836665;1.0
dia_genotipo_condicao;D04 | EMB48 | IRRIG;4;2051;2015;2051;0.922413463467029;0.9824475865431497;1.0
dia_genotipo_condicao;D04 | EMB48 | NIRRIG;4;2051;2046;2051;0.9505010290379519;0.9975621647976597;1.0
dia_genotipo_condicao;D05 | BR16 | IRRIG;4;2051;1958;2051;0.9203854319003709;0.9546562652364701;1.0
dia_genotipo_condicao;D05 | BR16 | NIRRIG;4;2051;1926;2051;0.8956970094108366;0.9390541199414919;1.0
dia_genotipo_condicao;D05 | CD202 | IRRIG;4;2051;2023;2051;0.9284497909775464;0.9863481228668942;1.0
dia_genotipo_condicao;D05 | CD202 | NIRRIG;4;2051;2050;2051;0.943029600258986;0.999512432959532;1.0
dia_genotipo_condicao;D05 | EMB48 | IRRIG;4;2051;1953;2051;0.9262437916410787;0.9522184300341296;1.0
dia_genotipo_condicao;D05 | EMB48 | NIRRIG;4;2051;1850;2051;0.8663836890106132;0.9019990248659191;1.0
dia_genotipo_condicao;D06 | BR16 | IRRIG;4;2051;1937;2051;0.9104075326872055;0.9444173573866407;1.0
dia_genotipo_condicao;D06 | BR16 | NIRRIG;4;2051;1983;2051;0.9528578277280977;0.9668454412481716;1.0
dia_genotipo_condicao;D06 | CD202 | IRRIG;4;2051;2038;2051;0.914567742681118;0.9936616284739151;1.0
dia_genotipo_condicao;D06 | CD202 | NIRRIG;4;2051;1451;2051;0.8224798737703433;0.7074597757191614;1.0
dia_genotipo_condicao;D06 | EMB48 | IRRIG;4;2051;2049;2051;0.9191531557853203;0.9990248659190639;1.0
dia_genotipo_condicao;D06 | EMB48 | NIRRIG;4;2051;1935;2051;0.920560185068946;0.9434422233057045;1.0
dia_genotipo_condicao;D09 | BR16 | IRRIG;4;2051;1877;2051;0.8983503045276692;0.9151633349585568;1.0
dia_genotipo_condicao;D09 | BR16 | NIRRIG;4;2051;2019;2051;0.893083542909625;0.984397854705022;1.0
dia_genotipo_condicao;D09 | CD202 | IRRIG;4;2051;1908;2051;0.9326224026883452;0.9302779132130667;1.0
dia_genotipo_condicao;D09 | CD202 | NIRRIG;4;2051;1615;2051;0.8453753909569001;0.787420770355924;1.0
dia_genotipo_condicao;D09 | EMB48 | IRRIG;4;2051;1904;2051;0.9277856451957831;0.9283276450511946;1.0
dia_genotipo_condicao;D09 | EMB48 | NIRRIG;4;2051;2034;2051;0.933734157392098;0.9917113603120429;1.0
dia_genotipo_condicao;D10 | BR16 | IRRIG;4;2051;1862;2051;0.8897994419343471;0.9078498293515358;1.0
dia_genotipo_condicao;D10 | BR16 | NIRRIG;4;2051;1731;2051;0.8532283960801667;0.8439785470502194;1.0
dia_genotipo_condicao;D10 | CD202 | IRRIG;4;2051;2043;2051;0.8740201697452307;0.9960994636762555;1.0
dia_genotipo_condicao;D10 | CD202 | NIRRIG;4;2051;1659;2051;0.9154954075691577;0.8088737201365188;1.0
dia_genotipo_condicao;D10 | EMB48 | IRRIG;4;2051;2044;2051;0.969399497537222;0.9965870307167235;1.0
dia_genotipo_condicao;D10 | EMB48 | NIRRIG;4;2051;1597;2051;0.847229698271473;0.7786445636274988;1.0
