dia;genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D02;BR16;400;8;0.9143251784271894;0.38552889484384395;0.9740772597981658;True;True
D02;BR16;401;8;0.9132109385879571;0.37722990143334134;0.9740772597981658;True;True
D02;BR16;402;8;0.9119521578025784;0.3680155115011443;0.9740772597981658;True;True
D02;BR16;403;8;0.9108140482818027;0.3598316015668791;0.9740772597981658;True;True
D02;BR16;404;8;0.9100122893990722;0.3541501293692193;0.9740772597981658;True;True
D02;BR16;405;8;0.9096890731781647;0.3518793039101876;0.9740772597981658;True;True
D02;BR16;406;8;0.9082860418610647;0.34215209265840413;0.9740772597981658;True;True
D02;BR16;407;8;0.908969804708349;0.3468662267599285;0.9740772597981658;True;True
D02;BR16;408;8;0.9120377737596701;0.36863680853352637;0.9740772597981658;True;True
D02;BR16;409;8;0.9166361160026693;0.4031673375392545;0.9740772597981658;True;True
D02;BR16;410;8;0.9210916356033815;0.4387839116424146;0.9740772597981658;True;True
D02;BR16;411;8;0.9231622129326156;0.4560441048738239;0.9740772597981658;True;True
D02;BR16;412;8;0.9234089925566146;0.4581306132634375;0.9740772597981658;True;True
D02;BR16;413;8;0.9229334836708203;0.45411575819177;0.9740772597981658;True;True
D02;BR16;414;8;0.9228773299355084;0.45364316076668143;0.9740772597981658;True;True
D02;BR16;415;8;0.9210235302240377;0.43822373372286105;0.9740772597981658;True;True
D02;BR16;416;8;0.919901964938082;0.4290684864780163;0.9740772597981658;True;True
D02;BR16;417;8;0.9219268468448882;0.44569289871633494;0.9740772597981658;True;True
D02;BR16;418;8;0.9252593997338906;0.4739716283166958;0.9740772597981658;True;True
D02;BR16;419;8;0.9276800075333006;0.49520421312934737;0.9740772597981658;True;True
D02;BR16;420;8;0.9294367822924854;0.5109629616475192;0.9740772597981658;True;True
D02;BR16;421;8;0.9295547472409916;0.5120313325495763;0.9740772597981658;True;True
D02;BR16;422;8;0.927434652832552;0.4930263297574139;0.9740772597981658;True;True
D02;BR16;423;8;0.925378234863456;0.4750006473727801;0.9740772597981658;True;True
D02;BR16;424;8;0.9249660539166586;0.47143747785763507;0.9740772597981658;True;True
D02;BR16;425;8;0.9255680744240021;0.4766474049514614;0.9740772597981658;True;True
D02;BR16;426;8;0.9266154383626657;0.48579628512347517;0.9740772597981658;True;True
D02;BR16;427;8;0.9282178007904138;0.49999782987903174;0.9740772597981658;True;True
D02;BR16;428;8;0.9293173529323611;0.5098826174362545;0.9740772597981658;True;True
D02;BR16;429;8;0.9283552287933402;0.5012271514691407;0.9740772597981658;True;True
D02;BR16;430;8;0.9280655259001322;0.49863776576026214;0.9740772597981658;True;True
D02;BR16;431;8;0.9279701712904637;0.4977872019069266;0.9740772597981658;True;True
D02;BR16;432;8;0.9260871410965752;0.4811681349731011;0.9740772597981658;True;True
D02;BR16;433;8;0.925535872174505;0.4763678170196956;0.9740772597981658;True;True
D02;BR16;434;8;0.9263673805630901;0.48361979423942547;0.9740772597981658;True;True
D02;BR16;435;8;0.9285523069045879;0.5029931314546546;0.9740772597981658;True;True
D02;BR16;436;8;0.9311365296929603;0.5264773387248876;0.9740772597981658;True;True
D02;BR16;437;8;0.9329519123211346;0.5433233199172937;0.9740772597981658;True;True
D02;BR16;438;8;0.9337830739170798;0.5511268386681716;0.9740772597981658;True;True
D02;BR16;439;8;0.9332228968485917;0.545861411122181;0.9740772597981658;True;True
D02;BR16;440;8;0.9315658251021361;0.530435839093157;0.9740772597981658;True;True
D02;BR16;441;8;0.9303684063616963;0.5194345420158757;0.9740772597981658;True;True
D02;BR16;442;8;0.9294481291163653;0.5110656712537942;0.9740772597981658;True;True
D02;BR16;443;8;0.9287559638085068;0.5048218550847462;0.9740772597981658;True;True
D02;BR16;444;8;0.9282718744816235;0.5004813193508123;0.9740772597981658;True;True
D02;BR16;445;8;0.9293980605167296;0.5106125466153155;0.9740772597981658;True;True
D02;BR16;446;8;0.9315120901770721;0.5299394858569304;0.9740772597981658;True;True
D02;BR16;447;8;0.9323103950939734;0.5373387136815431;0.9740772597981658;True;True
D02;BR16;448;8;0.9327738248080292;0.5416585743032459;0.9740772597981658;True;True
D02;BR16;449;8;0.9324923423061335;0.5390326149401049;0.9740772597981658;True;True
D02;BR16;450;8;0.9316789531523832;0.5314816175877914;0.9740772597981658;True;True
D02;BR16;451;8;0.9322726848049637;0.53698798145916;0.9740772597981658;True;True
D02;BR16;452;8;0.9330213603416267;0.5439732150453584;0.9740772597981658;True;True
D02;BR16;453;8;0.93362379318001;0.5496271243693882;0.9740772597981658;True;True
D02;BR16;454;8;0.9344133274330951;0.5570805100850716;0.9740772597981658;True;True
D02;BR16;455;8;0.9352808879922764;0.5653255902144725;0.9740772597981658;True;True
D02;BR16;456;8;0.9355719819608775;0.5681046226143602;0.9740772597981658;True;True
D02;BR16;457;8;0.9353848840749305;0.5663177133403159;0.9740772597981658;True;True
D02;BR16;458;8;0.9350545658577422;0.5631692371361247;0.9740772597981658;True;True
D02;BR16;459;8;0.9342254973794629;0.5553029511304763;0.9740772597981658;True;True
D02;BR16;460;8;0.9331679600377965;0.5453463821268042;0.9740772597981658;True;True
D02;BR16;461;8;0.9324813072006085;0.5389298014225569;0.9740772597981658;True;True
D02;BR16;462;8;0.9324002729605706;0.5381751190927174;0.9740772597981658;True;True
D02;BR16;463;8;0.9323982205442639;0.5381560117585152;0.9740772597981658;True;True
D02;BR16;464;8;0.9323398309011859;0.5376125698485242;0.9740772597981658;True;True
D02;BR16;465;8;0.9321592747698059;0.5359339047539959;0.9740772597981658;True;True
D02;BR16;466;8;0.932145785453178;0.5358086015231805;0.9740772597981658;True;True
D02;BR16;467;8;0.9320159692270054;0.5346035107158149;0.9740772597981658;True;True
D02;BR16;468;8;0.9321141619594626;0.535514908477596;0.9740772597981658;True;True
D02;BR16;469;8;0.9321652628086038;0.5359895329671324;0.9740772597981658;True;True
D02;BR16;470;8;0.9321697125188896;0.536030872226882;0.9740772597981658;True;True
D02;BR16;471;8;0.9324645939679281;0.538774104310916;0.9740772597981658;True;True
D02;BR16;472;8;0.9330908755206339;0.5446241312418186;0.9740772597981658;True;True
D02;BR16;473;8;0.933088082841592;0.5445979739971749;0.9740772597981658;True;True
D02;BR16;474;8;0.9329232933884312;0.543055618021967;0.9740772597981658;True;True
D02;BR16;475;8;0.9329506570587331;0.5433115767751234;0.9740772597981658;True;True
D02;BR16;476;8;0.9331900990613542;0.5455539047034641;0.9740772597981658;True;True
D02;BR16;477;8;0.9331813607263301;0.5454719902269737;0.9740772597981658;True;True
D02;BR16;478;8;0.9329259180878856;0.5430801667151947;0.9740772597981658;True;True
D02;BR16;479;8;0.9325773082455266;0.5398245760157123;0.9740772597981658;True;True
D02;BR16;480;8;0.9323109556525984;0.537343928166382;0.9740772597981658;True;True
D02;BR16;481;8;0.9319189814968996;0.5337040950798245;0.9740772597981658;True;True
D02;BR16;482;8;0.9314004716677072;0.5289092491619465;0.9740772597981658;True;True
D02;BR16;483;8;0.9309727324506633;0.5249711768111994;0.9740772597981658;True;True
D02;BR16;484;8;0.9310374217121946;0.5255657341490381;0.9740772597981658;True;True
D02;BR16;485;8;0.9314366481789758;0.5292430405017223;0.9740772597981658;True;True
D02;BR16;486;8;0.9319647983867361;0.5341288790174815;0.9740772597981658;True;True
D02;BR16;487;8;0.932395378780306;0.5381295564304509;0.9740772597981658;True;True
D02;BR16;488;8;0.9325935434676679;0.5399759712279597;0.9740772597981658;True;True
D02;BR16;489;8;0.9327183317260317;0.5411403610001699;0.9740772597981658;True;True
D02;BR16;490;8;0.9326822449343579;0.540803506055174;0.9740772597981658;True;True
D02;BR16;491;8;0.9322816144223848;0.5370710224566474;0.9740772597981658;True;True
D02;BR16;492;8;0.9321945755829999;0.536261888741595;0.9740772597981658;True;True
D02;BR16;493;8;0.9327162617492772;0.5411210357465943;0.9740772597981658;True;True
D02;BR16;494;8;0.9335082694642086;0.5485406654147349;0.9740772597981658;True;True
D02;BR16;495;8;0.933771022814528;0.5510133008878391;0.9740772597981658;True;True
D02;BR16;496;8;0.9339896855932585;0.5530751784873688;0.9740772597981658;True;True
D02;BR16;497;8;0.9343494526104104;0.5564757157216814;0.9740772597981658;True;True
D02;BR16;498;8;0.9349127263066864;0.5618197610560671;0.9740772597981658;True;True
D02;BR16;499;8;0.9354544375649564;0.5669816968942588;0.9740772597981658;True;True
D02;BR16;500;8;0.9356072875720038;0.5684421006837787;0.9740772597981658;True;True
D02;BR16;501;8;0.9355658829804637;0.5680463330584996;0.9740772597981658;True;True
D02;BR16;502;8;0.9360986876658821;0.573148592040598;0.9740772597981658;True;True
D02;BR16;503;8;0.9367273811546785;0.579194864795299;0.9740772597981658;True;True
D02;BR16;504;8;0.9370798103418656;0.5825961070945097;0.9740772597981658;True;True
D02;BR16;505;8;0.9371396707684323;0.5831746406797695;0.9740772597981658;True;True
D02;BR16;506;8;0.9377103660283405;0.5887020966401202;0.9740772597981658;True;True
D02;BR16;507;8;0.9386898545744271;0.5982372040025628;0.9740772597981658;True;True
D02;BR16;508;8;0.939809790693137;0.6092097187186558;0.9740772597981658;True;True
D02;BR16;509;8;0.9406453542780634;0.6174411742571713;0.9740772597981658;True;True
D02;BR16;510;8;0.9414009864360938;0.6249156983750755;0.9740772597981658;True;True
D02;BR16;511;8;0.9421426393336004;0.6322778960422631;0.9740772597981658;True;True
D02;BR16;512;8;0.9422777596252588;0.6336217977467928;0.9740772597981658;True;True
D02;BR16;513;8;0.9419425981633381;0.6302897306697771;0.9740772597981658;True;True
D02;BR16;514;8;0.9475559394896442;0.6865735309385448;0.9740772597981658;True;True
D02;BR16;515;8;0.9532922761626612;0.7443305101782578;0.9740772597981658;True;True
D02;BR16;516;8;0.9585167255096637;0.7958574602755246;0.9740772597981658;True;True
D02;BR16;517;8;0.9627619280958086;0.8359620567111764;0.9740772597981658;True;True
D02;BR16;518;8;0.965479759730899;0.8603717125968611;0.9740772597981658;True;True
D02;BR16;519;8;0.9662772674424248;0.8673026835067654;0.9740772597981658;True;True
D02;BR16;520;8;0.965029901896797;0.8564130650521664;0.9740772597981658;True;True
D02;BR16;521;8;0.9609911504963632;0.8194876125838213;0.9740772597981658;True;True
D02;BR16;522;8;0.9542991171151889;0.7543843014578187;0.9740772597981658;True;True
D02;BR16;523;8;0.9499184636702481;0.7104099666446809;0.9740772597981658;True;True
D02;BR16;524;8;0.9486475682967783;0.6975873907200085;0.9740772597981658;True;True
D02;BR16;525;8;0.9501342882598187;0.7125864496073604;0.9740772597981658;True;True
D02;BR16;526;8;0.9558778580657171;0.7700476993818666;0.9740772597981658;True;True
D02;BR16;527;8;0.9615300728467814;0.8245438638013061;0.9740772597981658;True;True
D02;BR16;528;8;0.9649437729622585;0.855651245757866;0.9740772597981658;True;True
D02;BR16;529;8;0.9664667448825753;0.8689324848977027;0.9740772597981658;True;True
D02;BR16;530;8;0.9666826750857928;0.8707816839438122;0.9740772597981658;True;True
D02;BR16;531;8;0.9658903410110699;0.8639541563021766;0.9740772597981658;True;True
D02;BR16;532;8;0.9643127244996677;0.8500323863967378;0.9740772597981658;True;True
D02;BR16;533;8;0.9633437285307241;0.8412825198484524;0.9740772597981658;True;True
D02;BR16;534;8;0.962448125506166;0.8330726115789545;0.9740772597981658;True;True
D02;BR16;535;8;0.9611403919459942;0.8208913458243281;0.9740772597981658;True;True
D02;BR16;536;8;0.9596309352730332;0.8065767184469728;0.9740772597981658;True;True
D02;BR16;537;8;0.9580689353828982;0.7915169097371919;0.9740772597981658;True;True
D02;BR16;538;8;0.9568426266056728;0.7795446514983795;0.9740772597981658;True;True
D02;BR16;539;8;0.9586841911777318;0.797476128528189;0.9740772597981658;True;True
D02;BR16;540;8;0.9603810384570463;0.8137219619980061;0.9740772597981658;True;True
D02;BR16;541;8;0.9621173612205911;0.8300125100166065;0.9740772597981658;True;True
D02;BR16;542;8;0.9637307432804726;0.8447943443980714;0.9740772597981658;True;True
D02;BR16;543;8;0.9652740761969877;0.8585660259478343;0.9740772597981658;True;True
D02;BR16;544;8;0.9667580461344919;0.8714250887536664;0.9740772597981658;True;True
D02;BR16;545;8;0.9679751748157399;0.8816622055216998;0.9740772597981658;True;True
D02;BR16;546;8;0.9690701137762338;0.890612618957063;0.9740772597981658;True;True
D02;BR16;547;8;0.969965025991072;0.8977335398534417;0.9740772597981658;True;True
D02;BR16;548;8;0.9706863712275451;0.9033393289703298;0.9740772597981658;True;True
D02;BR16;549;8;0.9712424135460982;0.9075755571068553;0.9740772597981658;True;True
D02;BR16;550;8;0.9717990089850735;0.9117395390831882;0.9740772597981658;True;True
D02;BR16;551;8;0.9723181573852805;0.9155525137142091;0.9740772597981658;True;True
D02;BR16;552;8;0.9727308968356142;0.9185339593912873;0.9740772597981658;True;True
D02;BR16;553;8;0.97286670372599;0.9195051218618123;0.9740772597981658;True;True
D02;BR16;554;8;0.9729236112154303;0.9199106073983607;0.9740772597981658;True;True
D02;BR16;555;8;0.9729542623151021;0.9201286478372624;0.9740772597981658;True;True
D02;BR16;556;8;0.9727029432247442;0.9183334529755887;0.9740772597981658;True;True
D02;BR16;557;8;0.9719092107424678;0.9125547155815652;0.9740772597981658;True;True
D02;BR16;558;8;0.9705955411801693;0.9026402319094189;0.9740772597981658;True;True
D02;BR16;559;8;0.9687354534355269;0.8879040950009509;0.9740772597981658;True;True
D02;BR16;560;8;0.9682855960322322;0.8842254069817397;0.9740772597981658;True;True
D02;BR16;561;8;0.9712052812540469;0.9072950183039384;0.9740772597981658;True;True
D02;BR16;562;8;0.9735865184261007;0.9245695674331629;0.9740772597981658;True;True
D02;BR16;563;8;0.9754348614855585;0.9369089881798683;0.9740772597981658;True;True
D02;BR16;564;8;0.9766543760948989;0.94449918127475;0.9740772597981658;True;True
D02;BR16;565;8;0.9771514414543575;0.9474616951516217;0.9740772597981658;True;True
D02;BR16;566;8;0.9771293430198525;0.9473316323915939;0.9740772597981658;True;True
D02;BR16;567;8;0.9772049680882005;0.9477760942895737;0.9740772597981658;True;True
D02;BR16;568;8;0.9758987385081483;0.939849265406872;0.9740772597981658;True;True
D02;BR16;569;8;0.9732929617171759;0.9225211749757156;0.9740772597981658;True;True
D02;BR16;570;8;0.9694766575019631;0.8938698481679174;0.9740772597981658;True;True
D02;BR16;571;8;0.9646105391765495;0.8526921943356243;0.9740772597981658;True;True
D02;BR16;572;8;0.9589498778543368;0.8000388223617111;0.9740772597981658;True;True
D02;BR16;573;8;0.95776281344514;0.7885396184286646;0.9740772597981658;True;True
D02;BR16;574;8;0.9562303421388842;0.7735247563010927;0.9740772597981658;True;True
D02;BR16;575;8;0.9559456345018399;0.770716898048071;0.9740772597981658;True;True
D02;BR16;576;8;0.9563133544746618;0.7743424380179359;0.9740772597981658;True;True
D02;BR16;577;8;0.9556947731305109;0.7682385486836074;0.9740772597981658;True;True
D02;BR16;578;8;0.9544460644184115;0.7558478289649203;0.9740772597981658;True;True
D02;BR16;579;8;0.9526487232094062;0.7378833975351715;0.9740772597981658;True;True
D02;BR16;580;8;0.9510860175951351;0.722176886862268;0.9740772597981658;True;True
D02;BR16;581;8;0.9518528204111318;0.7298917026721414;0.9740772597981658;True;True
D02;BR16;582;8;0.9521389575716861;0.7327669048988028;0.9740772597981658;True;True
D02;BR16;583;8;0.9521236292218648;0.7326129366866552;0.9740772597981658;True;True
D02;BR16;584;8;0.9519423086457172;0.7307911440725692;0.9740772597981658;True;True
D02;BR16;585;8;0.9516178290253988;0.7275288622649125;0.9740772597981658;True;True
D02;BR16;586;8;0.9512316586945092;0.7236431568114494;0.9740772597981658;True;True
D02;BR16;587;8;0.9508111533912488;0.7194085653312583;0.9740772597981658;True;True
D02;BR16;588;8;0.950556289576235;0.7168405529634003;0.9740772597981658;True;True
D02;BR16;589;8;0.9501208250736295;0.7124506943940438;0.9740772597981658;True;True
D02;BR16;590;8;0.9499392845441511;0.7106199550334623;0.9740772597981658;True;True
D02;BR16;591;8;0.9498364292367915;0.7095825716453324;0.9740772597981658;True;True
D02;BR16;592;8;0.9494964856938393;0.7061533428755873;0.9740772597981658;True;True
D02;BR16;593;8;0.9489473753567434;0.7006127752657489;0.9740772597981658;True;True
D02;BR16;594;8;0.9484221345102773;0.6953125336534554;0.9740772597981658;True;True
D02;BR16;595;8;0.947967087847243;0.6907210774728842;0.9740772597981658;True;True
D02;BR16;596;8;0.947558895935715;0.6866033501556488;0.9740772597981658;True;True
D02;BR16;597;8;0.9472051808007433;0.6830363015665322;0.9740772597981658;True;True
D02;BR16;598;8;0.9467512254980502;0.6784604483676125;0.9740772597981658;True;True
D02;BR16;599;8;0.9461241080049604;0.6721440844694346;0.9740772597981658;True;True
D02;BR16;600;8;0.94550524480992;0.6659179845862799;0.9740772597981658;True;True
D02;BR16;601;8;0.9446816646579416;0.6576460053228055;0.9740772597981658;True;True
D02;BR16;602;8;0.9435057936597174;0.6458692327795661;0.9740772597981658;True;True
D02;BR16;603;8;0.9421367395327345;0.6322192345151263;0.9740772597981658;True;True
D02;BR16;604;8;0.9421527099525184;0.6323780313142762;0.9740772597981658;True;True
D02;BR16;605;8;0.9429580026152453;0.6403988402898603;0.9740772597981658;True;True
D02;BR16;606;8;0.9436537812983035;0.6473489205663329;0.9740772597981658;True;True
D02;BR16;607;8;0.9445230834686897;0.6560552884742492;0.9740772597981658;True;True
D02;BR16;608;8;0.9452012383284978;0.6628625886808801;0.9740772597981658;True;True
D02;BR16;609;8;0.9457742208683817;0.6686230575444878;0.9740772597981658;True;True
D02;BR16;610;8;0.9461184762190173;0.672087391279643;0.9740772597981658;True;True
D02;BR16;611;8;0.9462885307117966;0.6737995233199309;0.9740772597981658;True;True
D02;BR16;612;8;0.9463487779475495;0.6744062232344947;0.9740772597981658;True;True
D02;BR16;613;8;0.9462068868071585;0.672977456393809;0.9740772597981658;True;True
D02;BR16;614;8;0.9459794043517348;0.6706875938191275;0.9740772597981658;True;True
D02;BR16;615;8;0.9456817570624888;0.6676929791073344;0.9740772597981658;True;True
D02;BR16;616;8;0.946767453227003;0.6786239766105977;0.9740772597981658;True;True
D02;BR16;617;8;0.9479901908415842;0.6909541665306218;0.9740772597981658;True;True
D02;BR16;618;8;0.9489533974008902;0.7006735434036463;0.9740772597981658;True;True
D02;BR16;619;8;0.9498451809645742;0.7096708439845192;0.9740772597981658;True;True
D02;BR16;620;8;0.950636757670826;0.7176514593386523;0.9740772597981658;True;True
D02;BR16;621;8;0.9512821540004998;0.7241514296080407;0.9740772597981658;True;True
D02;BR16;622;8;0.9518432519550183;0.7297955184626583;0.9740772597981658;True;True
D02;BR16;623;8;0.9522890822357781;0.7342745055583562;0.9740772597981658;True;True
D02;BR16;624;8;0.9527388307122034;0.7387869584878793;0.9740772597981658;True;True
D02;BR16;625;8;0.9531197386129464;0.7426034839923459;0.9740772597981658;True;True
D02;BR16;626;8;0.9534706936132314;0.7461151927079284;0.9740772597981658;True;True
D02;BR16;627;8;0.9537679030260626;0.7490852860817625;0.9740772597981658;True;True
D02;BR16;628;8;0.9539977857989778;0.7513799938538916;0.9740772597981658;True;True
D02;BR16;629;8;0.9542137718536905;0.7535338275200314;0.9740772597981658;True;True
D02;BR16;630;8;0.9544272726615861;0.7556607301611359;0.9740772597981658;True;True
D02;BR16;631;8;0.9544994778464562;0.7563795411747625;0.9740772597981658;True;True
D02;BR16;632;8;0.9544400344510228;0.7557877939039344;0.9740772597981658;True;True
D02;BR16;633;8;0.9544057147873328;0.7554460694465543;0.9740772597981658;True;True
D02;BR16;634;8;0.9543716005461541;0.7551063335794055;0.9740772597981658;True;True
D02;BR16;635;8;0.9543216253432906;0.7546085405544183;0.9740772597981658;True;True
D02;BR16;636;8;0.9543235476216791;0.7546276902048132;0.9740772597981658;True;True
D02;BR16;637;8;0.954436660626154;0.7557542029311741;0.9740772597981658;True;True
D02;BR16;638;8;0.9546232043504002;0.7576106500246953;0.9740772597981658;True;True
D02;BR16;639;8;0.9547414097837409;0.7587860973015019;0.9740772597981658;True;True
D02;BR16;640;8;0.9549357416470777;0.760716970274935;0.9740772597981658;True;True
D02;BR16;641;8;0.9551774255766098;0.7631154894916155;0.9740772597981658;True;True
D02;BR16;642;8;0.9553988411567025;0.7653099866978657;0.9740772597981658;True;True
D02;BR16;643;8;0.9557794669248681;0.7690757079224138;0.9740772597981658;True;True
D02;BR16;644;8;0.9561379007006399;0.7726136565523278;0.9740772597981658;True;True
D02;BR16;645;8;0.956537694521363;0.7765498717296064;0.9740772597981658;True;True
D02;BR16;646;8;0.9570273374636804;0.781355443005954;0.9740772597981658;True;True
D02;BR16;647;8;0.9575466591210414;0.7864326567539832;0.9740772597981658;True;True
D02;BR16;648;8;0.9580833182163807;0.7916565992666833;0.9740772597981658;True;True
D02;BR16;649;8;0.9587900628655374;0.798498113585896;0.9740772597981658;True;True
D02;BR16;650;8;0.9596155811291621;0.8064298378616246;0.9740772597981658;True;True
D02;BR16;651;8;0.9604029682241366;0.8139299368503152;0.9740772597981658;True;True
D02;BR16;652;8;0.9611277538810737;0.8207725782383539;0.9740772597981658;True;True
D02;BR16;653;8;0.9619943664239569;0.828870906552829;0.9740772597981658;True;True
D02;BR16;654;8;0.9628501249044504;0.8367716996744141;0.9740772597981658;True;True
D02;BR16;655;8;0.9637463516726005;0.8449355059312491;0.9740772597981658;True;True
D02;BR16;656;8;0.964586602516813;0.8524789418515835;0.9740772597981658;True;True
D02;BR16;657;8;0.9652943865612156;0.8587446528381633;0.9740772597981658;True;True
D02;BR16;658;8;0.9660024900063886;0.8649274952173832;0.9740772597981658;True;True
D02;BR16;659;8;0.9666638300133483;0.8706206454163818;0.9740772597981658;True;True
D02;BR16;660;8;0.9673360072909046;0.8763226677392089;0.9740772597981658;True;True
D02;BR16;661;8;0.9679981660971619;0.8818527309706744;0.9740772597981658;True;True
D02;BR16;662;8;0.9687334866432544;0.8878881054475651;0.9740772597981658;True;True
D02;BR16;663;8;0.9696114170301825;0.8949413989187036;0.9740772597981658;True;True
D02;BR16;664;8;0.9704101844238253;0.9012074850702333;0.9740772597981658;True;True
