genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
BR16;400;56;0.9856842954681847;0.7443225885632753;0.7950522194428615;True;True
BR16;401;56;0.9859100418366632;0.7551711190353672;0.8039106243409994;True;True
BR16;402;56;0.9865668377082035;0.7862086513221571;0.8320350120766891;True;True
BR16;403;56;0.987240432945169;0.816943889523231;0.8588169745833659;True;True
BR16;404;56;0.9877593501034627;0.8396242135123382;0.877711142667587;True;True
BR16;405;56;0.9882080515665759;0.8583845154187455;0.8905100487283977;True;True
BR16;406;56;0.9887771210382628;0.8808562344841981;0.9024156528107344;True;True
BR16;407;56;0.9892791092257969;0.8992903003885262;0.9094893521187708;True;True
BR16;408;56;0.9895657593404047;0.9091764581758013;0.9163247743088788;True;True
BR16;409;56;0.9896013544626765;0.9103700091962131;0.9170770573975604;True;True
BR16;410;56;0.9895480559048649;0.9085799957537974;0.9161738305265676;True;True
BR16;411;56;0.9890876809100043;0.8924240583839678;0.908134720813522;True;True
BR16;412;56;0.9886080036148065;0.8743439908253923;0.8986141421586972;True;True
BR16;413;56;0.9882201028044488;0.8588763486709501;0.8905100487283977;True;True
BR16;414;56;0.9882552205257341;0.8603058077314698;0.8911551574026488;True;True
BR16;415;56;0.9883242076136881;0.8630974386848689;0.8928969394671675;True;True
BR16;416;56;0.9884573940316007;0.8684238930610557;0.8959164196990881;True;True
BR16;417;56;0.9886608147985736;0.8763932236447964;0.8991908462708742;True;True
BR16;418;56;0.9887939395712205;0.8814958364057537;0.9026200501588622;True;True
BR16;419;56;0.9888207890912135;0.8825138528545684;0.9027610534686882;True;True
BR16;420;56;0.9886757464380939;0.8769700637435704;0.8993328003690315;True;True
BR16;421;56;0.9883290691834394;0.8632933354282756;0.8928969394671675;True;True
BR16;422;56;0.9881494423384976;0.8559832547487438;0.8898234442421051;True;True
BR16;423;56;0.9880711145661487;0.8527503300954;0.8878119245396435;True;True
BR16;424;56;0.9880815475913252;0.8531824979364395;0.8878119245396435;True;True
BR16;425;56;0.9880040827187023;0.8499624464490052;0.886259775122984;True;True
BR16;426;56;0.9879455486933935;0.8475123196313148;0.8850548714683435;True;True
BR16;427;56;0.9877250851796784;0.8381574494388104;0.8770719024484696;True;True
BR16;428;56;0.9873142821809765;0.8202298082337405;0.861829578221005;True;True
BR16;429;56;0.9868889493228541;0.8010676969347802;0.8447248567677296;True;True
BR16;430;56;0.9863560938969119;0.7763475966975728;0.8228883311766004;True;True
BR16;431;56;0.9856912695011479;0.7446588559481897;0.7950522194428615;True;True
BR16;432;56;0.9851535905348986;0.7185645109943134;0.7712065997118455;True;True
BR16;433;56;0.9846688407070087;0.694836168172752;0.7505867900008248;True;True
BR16;434;56;0.9843545884072735;0.6794085225089779;0.735726969200588;True;True
BR16;435;56;0.9842374400859999;0.6736557331813181;0.7310412215634304;True;True
BR16;436;56;0.984181571294945;0.6709126105120085;0.7290460536572007;True;True
BR16;437;56;0.9840099679213302;0.6624906972578407;0.7208320530906267;True;True
BR16;438;56;0.9836707455793654;0.6458730349477295;0.7049949945065425;True;True
BR16;439;56;0.983280566868358;0.6268445993525464;0.6863338003945412;True;True
BR16;440;56;0.9830067587607219;0.6135693823743763;0.6736781601979903;True;True
BR16;441;56;0.9827545490512476;0.6014127166127187;0.6621027814131433;True;True
BR16;442;56;0.9824595802689837;0.5872964732512287;0.6479532364918075;True;True
BR16;443;56;0.9821267333144477;0.5715175661758461;0.632245160855804;True;True
BR16;444;56;0.9818810450758987;0.5599842358559817;0.6225868626843799;True;True
BR16;445;56;0.9815650865880102;0.5453078463358366;0.6135087179565556;True;True
BR16;446;56;0.9811621933503072;0.5268689231004802;0.595704609304898;True;True
BR16;447;56;0.9807733203399212;0.5093881582055796;0.5797753121418666;True;True
BR16;448;56;0.9802611253249075;0.48687386856826925;0.5638224883255573;True;True
BR16;449;56;0.9798048957810053;0.4673376221153357;0.5502350533631192;True;True
BR16;450;56;0.9796191832718824;0.4595306886752905;0.5447962095219774;True;True
BR16;451;56;0.9795411983595261;0.4562779991911043;0.5434263828318429;True;True
BR16;452;56;0.9792508153332528;0.44430144164356916;0.5341513814835641;True;True
BR16;453;56;0.9788706801540534;0.4289501555770846;0.5236906168374983;True;True
BR16;454;56;0.9786160466547317;0.4188778541488758;0.520252339830175;True;True
