dia;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D02;400;192;0.974434125026982;0.0013846169369712308;0.007338266068644564;False;False
D02;401;192;0.9730692958765701;0.0009301511573032405;0.006488911644996416;False;False
D02;402;192;0.9719935730812788;0.0006833226568811675;0.00576746818626862;False;False
D02;403;192;0.9712236555545957;0.0005495006154261063;0.005341354323407318;False;False
D02;404;192;0.9707111777022556;0.0004758910176589785;0.005090985779016443;False;False
D02;405;192;0.9703919319096946;0.0004353276725618914;0.005090985779016443;False;False
D02;406;192;0.9699318371511559;0.0003831308575889508;0.004820867416656062;False;False
D02;407;192;0.9696057123871957;0.00035013615969076086;0.004545121921049054;False;False
D02;408;192;0.9702243072745437;0.00041549668190113073;0.0049835303776562525;False;False
D02;409;192;0.9713381924092601;0.0005675280465870279;0.0054392524464953;False;False
D02;410;192;0.9716831062080871;0.0006256568446150149;0.00567102171148975;False;False
D02;411;192;0.9720423510627687;0.0006928772246487919;0.005776793446157204;False;False
D02;412;192;0.9724758673903169;0.0007842033689190566;0.006010063477750169;False;False
D02;413;192;0.9727912837770399;0.0008585240451439433;0.006178360759965712;False;False
D02;414;192;0.9723794650181377;0.0007628579635855478;0.005958273734020879;False;False
D02;415;192;0.9718079016994556;0.0006481980050847273;0.00567102171148975;False;False
D02;416;192;0.9716814812919841;0.0006253688219932181;0.00567102171148975;False;False
D02;417;192;0.9721962494903988;0.0007239509806219491;0.005892156592284197;False;False
D02;418;192;0.9726697508020488;0.0008290497664211308;0.006092385582690591;False;False
D02;419;192;0.9730506981245355;0.0009251696407083326;0.006476187484958328;False;False
D02;420;192;0.9734529699901263;0.0010394380589540373;0.00692171252894393;False;False
D02;421;192;0.9740010502569385;0.001219429926119257;0.007065115193419763;False;False
D02;422;192;0.9742141118005506;0.001297955134240931;0.007252980364285384;False;False
D02;423;192;0.9739736841134152;0.0012097103720056929;0.007028657147262539;False;False
D02;424;192;0.9736251069165232;0.0010927636475185686;0.00692724548021701;False;False
D02;425;192;0.9737053073150987;0.001118579412240293;0.00692724548021701;False;False
D02;426;192;0.9742751206421385;0.0013214019195181483;0.007305108724883348;False;False
D02;427;192;0.9748444157528777;0.0015627923945258791;0.007532194601241202;False;False
D02;428;192;0.975119459876787;0.0016955410117608079;0.007532194601241202;False;False
D02;429;192;0.9751630649656287;0.0017176467582848958;0.007532194601241202;False;False
D02;430;192;0.9749528202324337;0.00161376614598679;0.007532194601241202;False;False
D02;431;192;0.9746467349227432;0.0014741280500835563;0.007410383898826897;False;False
D02;432;192;0.9745141952145844;0.0014176406775888446;0.00734237633771394;False;False
D02;433;192;0.9744563545349539;0.0013937036497877354;0.00734237633771394;False;False
D02;434;192;0.9743640174983105;0.001356363076433765;0.007331973841609811;False;False
D02;435;192;0.9744098820308688;0.0013747778051284001;0.007338266068644564;False;False
D02;436;192;0.974813173248253;0.0015484163743075647;0.007532194601241202;False;False
D02;437;192;0.9749312638357246;0.0016034931457845703;0.007532194601241202;False;False
D02;438;192;0.974819031621293;0.0015511014883728017;0.007532194601241202;False;False
D02;439;192;0.9745995836332394;0.0014537673861700414;0.00739846675472141;False;False
D02;440;192;0.9743268556864946;0.0013416318616069594;0.007327301417876414;False;False
D02;441;192;0.9742184094138677;0.001299592441351873;0.007252980364285384;False;False
D02;442;192;0.974330342025543;0.0013430067280324515;0.007327301417876414;False;False
D02;443;192;0.974499077534275;0.0014113430830292465;0.00734237633771394;False;False
D02;444;192;0.974507451216755;0.001414827695624321;0.00734237633771394;False;False
D02;445;192;0.9744752926957857;0.0014014941850662487;0.00734237633771394;False;False
D02;446;192;0.9745786260392292;0.0014448122242670311;0.00739846675472141;False;False
D02;447;192;0.974693302466775;0.001494529630850827;0.007476293348475722;False;False
D02;448;192;0.9748148236387634;0.0015491723184291105;0.007532194601241202;False;False
D02;449;192;0.9749275730667647;0.0016017411280717373;0.007532194601241202;False;False
D02;450;192;0.9750382040986285;0.0016551382410784157;0.007532194601241202;False;False
D02;451;192;0.9751643094575871;0.001718282063756642;0.007532194601241202;False;False
D02;452;192;0.9753523436352923;0.0018171536933604675;0.007748403794349936;False;False
D02;453;192;0.9755758596116484;0.001942471052396907;0.008130628833604197;False;False
D02;454;192;0.9756936569815913;0.0020121203468862568;0.00828686512342111;False;False
D02;455;192;0.9756482047039476;0.001984941739734953;0.008237866868841674;False;False
D02;456;192;0.9756352392543884;0.001977259480418013;0.008237866868841674;False;False
D02;457;192;0.9756736380649378;0.0020001022284889887;0.008270584013368781;False;False
