banda_nm;estratos;estratos_normais_p;estratos_normais_q;p_minimo;W_mediano;prop_estratos_normais_p;prop_estratos_normais_q
400;6;6;6;0.1835372693796845;0.9557932450036757;1.0;1.0
401;6;6;6;0.18482086515070217;0.9547160971235509;1.0;1.0
402;6;6;6;0.18873542922799535;0.9537922340082039;1.0;1.0
403;6;6;6;0.18433828238212047;0.9535681179961316;1.0;1.0
404;6;6;6;0.179926890793845;0.9535158259943887;1.0;1.0
405;6;6;6;0.17687586167330688;0.9541879483036577;1.0;1.0
406;6;6;6;0.1590856217571603;0.9557058744109179;1.0;1.0
407;6;6;6;0.1596614794549902;0.9586631787636666;1.0;1.0
408;6;6;6;0.16833893798022792;0.9603800121468195;1.0;1.0
409;6;6;6;0.17619238815893928;0.9601354821090904;1.0;1.0
410;6;6;6;0.17645380738216832;0.959241636754733;1.0;1.0
411;6;6;6;0.18635800752376558;0.9577667863349795;1.0;1.0
412;6;6;6;0.19362402861823536;0.957450613209193;1.0;1.0
413;6;6;6;0.19259509778498052;0.9572507913061328;1.0;1.0
414;6;6;6;0.19859105496900348;0.9575662201552502;1.0;1.0
415;6;6;6;0.1821990515840956;0.9571444092915042;1.0;1.0
416;6;6;6;0.17295578083148572;0.9573035412453885;1.0;1.0
417;6;6;6;0.1653992438364062;0.9589773428473891;1.0;1.0
418;6;6;6;0.1652100414247183;0.9599353087820283;1.0;1.0
419;6;6;6;0.16761339217889304;0.9602640623817345;1.0;1.0
420;6;6;6;0.17283140908385847;0.9604332588872613;1.0;1.0
421;6;6;6;0.17888872442868847;0.9609159637186269;1.0;1.0
422;6;6;6;0.175973188083127;0.9612797624033735;1.0;1.0
423;6;6;6;0.17257803630736818;0.9613246909660471;1.0;1.0
424;6;6;6;0.16899096472907899;0.9612477940012121;1.0;1.0
425;6;6;6;0.16602194059161285;0.9616502514799026;1.0;1.0
426;6;6;6;0.16277169359228344;0.9620526028485397;1.0;1.0
427;6;6;6;0.15895492050004217;0.9619836958482454;1.0;1.0
428;6;6;6;0.15245174373874865;0.9615905606113282;1.0;1.0
429;6;6;6;0.15011597380647318;0.9611912922958379;1.0;1.0
430;6;6;6;0.15108540950301302;0.960898744822424;1.0;1.0
431;6;6;6;0.1484235309458598;0.9607030212220389;1.0;1.0
432;6;6;6;0.14273175414136607;0.9606218839173017;1.0;1.0
433;6;6;6;0.14346643964549416;0.960483839670389;1.0;1.0
434;6;6;6;0.14481001945245614;0.960595135559679;1.0;1.0
435;6;6;6;0.14311908247669014;0.9609078758052779;1.0;1.0
436;6;6;6;0.14025104011956285;0.9609334252178765;1.0;1.0
437;6;6;6;0.13594840421925053;0.9610695033499235;1.0;1.0
438;6;6;6;0.13242111177300353;0.9611171654515258;1.0;1.0
439;6;6;6;0.13081737393899745;0.9609703674134276;1.0;1.0
440;6;6;6;0.1277749149042634;0.9611366526290857;1.0;1.0
441;6;6;6;0.12246825426958896;0.9614441227288246;1.0;1.0
442;6;6;6;0.11670954635401154;0.961798701152167;1.0;1.0
443;6;6;6;0.11564167479891457;0.9620245584688952;1.0;1.0
444;6;6;6;0.11706458204399756;0.9620194222883293;1.0;1.0
445;6;6;6;0.11829554350399324;0.9619287411055808;1.0;1.0
446;6;6;6;0.11981032282084458;0.9619007597243006;1.0;1.0
447;6;6;6;0.12202286656508998;0.9618241525337529;1.0;1.0
448;6;6;6;0.12356373841464013;0.961429367836333;1.0;1.0
449;6;6;6;0.12504886500480328;0.9609406206780492;1.0;1.0
450;6;6;6;0.12662834737246892;0.9607023428652521;1.0;1.0
451;6;6;6;0.12795932720980974;0.9605357841572262;1.0;1.0
452;6;6;6;0.12821630399016648;0.9603912862401774;1.0;1.0
453;6;6;6;0.1294448913221259;0.9603341442521043;1.0;1.0
454;6;6;6;0.13242893065078626;0.9603222702161984;1.0;1.0
455;6;6;6;0.13215311280419695;0.9602752151821877;1.0;1.0
456;6;6;6;0.13269000806715348;0.9603258454365666;1.0;1.0
457;6;6;6;0.13432366940489038;0.9604165652608192;1.0;1.0
458;6;6;6;0.13382919823371164;0.9604976059590407;1.0;1.0
459;6;6;6;0.1340916019458876;0.9604791743139147;1.0;1.0
460;6;6;6;0.13459846807233922;0.9604140528165492;1.0;1.0
461;6;6;6;0.13476990012070628;0.9603232091023071;1.0;1.0
462;6;6;6;0.13463796605738731;0.9601878405537347;1.0;1.0
463;6;6;6;0.13507388806179738;0.9603122564257325;1.0;1.0
464;6;6;6;0.13557903865024623;0.9603464514453859;1.0;1.0
465;6;6;6;0.13458424011237674;0.9603309260162246;1.0;1.0
466;6;6;6;0.13518587934957993;0.9603641069976077;1.0;1.0
467;6;6;6;0.13689377133587566;0.9604077821331319;1.0;1.0
468;6;6;6;0.13776181152841938;0.9604233980764778;1.0;1.0
469;6;6;6;0.13682855514529874;0.9605403436583981;1.0;1.0
470;6;6;6;0.13575774918859623;0.9606657225532387;1.0;1.0
471;6;6;6;0.13597820783630032;0.9607478882547804;1.0;1.0
472;6;6;6;0.13697632624783979;0.9608406843604944;1.0;1.0
473;6;6;6;0.13678190650473454;0.9610423031161868;1.0;1.0
474;6;6;6;0.1371314314340707;0.9612805646508262;1.0;1.0
475;6;6;6;0.13830053701021305;0.9614435657163372;1.0;1.0
476;6;6;6;0.13861246755749063;0.961609157777509;1.0;1.0
477;6;6;6;0.13927002001639183;0.9617025981376598;1.0;1.0
478;6;6;6;0.1390499049178594;0.9620302567562148;1.0;1.0
479;6;6;6;0.1369552456200419;0.96233313984023;1.0;1.0
480;6;6;6;0.1357415071172982;0.9624911440091208;1.0;1.0
481;6;6;6;0.1360576449338159;0.9626880679634986;1.0;1.0
482;6;6;6;0.13690006636397195;0.962914089634437;1.0;1.0
483;6;6;6;0.13762117460205825;0.9630167364381816;1.0;1.0
484;6;6;6;0.13930109499336724;0.9631782085376737;1.0;1.0
485;6;6;6;0.14093894696832238;0.963304834442031;1.0;1.0
486;6;6;6;0.14203049468863072;0.9633780644635714;1.0;1.0
487;6;6;6;0.14407730464674734;0.9633286857910561;1.0;1.0
488;6;6;6;0.14589787839070134;0.963403622379978;1.0;1.0
489;6;6;6;0.1466635703315433;0.9634961889559353;1.0;1.0
490;6;6;6;0.14759093096719578;0.9634204182522408;1.0;1.0
491;6;6;6;0.15064939716949266;0.9633146530973697;1.0;1.0
492;6;6;6;0.15451780095131934;0.9632007024238007;1.0;1.0
493;6;6;6;0.15855445769640458;0.9630112215508915;1.0;1.0
494;6;6;6;0.16330188883584312;0.962857094484781;1.0;1.0
495;6;6;6;0.1686562116784156;0.9627600123297784;1.0;1.0
496;6;6;6;0.1746027673032312;0.9627472386658803;1.0;1.0
497;6;6;6;0.1812599600171762;0.9628160385205343;1.0;1.0
498;6;6;6;0.18670838981331472;0.962986206928758;1.0;1.0
499;6;6;6;0.18799965116693967;0.9631216766005973;1.0;1.0
500;6;6;6;0.1907603726826323;0.9631540456374854;1.0;1.0
501;6;6;6;0.19462322428494788;0.9631902811390373;1.0;1.0
502;6;6;6;0.19567485501273713;0.9633102465565841;1.0;1.0
503;6;6;6;0.1958105831716362;0.963412288811838;1.0;1.0
504;6;6;6;0.1959035525094271;0.963582072729541;1.0;1.0
505;6;6;6;0.1973234957541894;0.9638032003085384;1.0;1.0
506;6;6;6;0.20145350151217256;0.9638955153089841;1.0;1.0
507;6;6;6;0.20426971228596202;0.9637870787212619;1.0;1.0
508;6;6;6;0.20998207357229903;0.9634525029015965;1.0;1.0
509;6;6;6;0.21698077715063302;0.9636544323408659;1.0;1.0
510;6;6;6;0.22664397983144452;0.9641640373849721;1.0;1.0
511;6;6;6;0.23797929580588317;0.964742358245946;1.0;1.0
512;6;6;6;0.24915743062502244;0.9647457041798653;1.0;1.0
513;6;6;6;0.24780857498542425;0.9640417092491146;1.0;1.0
514;6;6;6;0.24153521090106378;0.9646830126488242;1.0;1.0
515;6;6;6;0.29624156822189673;0.9653459999762716;1.0;1.0
516;6;6;6;0.30023156882145574;0.9674748373326354;1.0;1.0
517;6;6;6;0.2351568112209627;0.9713363274355853;1.0;1.0
518;6;6;6;0.23100018505423864;0.9741751857192168;1.0;1.0
519;6;6;6;0.23755337248983466;0.97585279395351;1.0;1.0
520;6;6;6;0.23954927423605865;0.9768374890595061;1.0;1.0
521;6;6;6;0.268200820437585;0.9768719380187099;1.0;1.0
522;6;6;6;0.30906981177254056;0.9762813333114896;1.0;1.0
523;6;6;6;0.3366987400025596;0.9729703792179356;1.0;1.0
524;6;6;6;0.3824991464177015;0.9684396851447419;1.0;1.0
525;6;6;6;0.3085380860345305;0.9663985715145285;1.0;1.0
526;6;6;6;0.2060041916935758;0.9663789236475746;1.0;1.0
527;6;6;6;0.1480020233200089;0.9663184872076476;1.0;1.0
528;6;6;6;0.10885119254974468;0.9664590624916022;1.0;1.0
529;6;6;6;0.07672690246132177;0.9668590076549202;1.0;1.0
530;6;6;6;0.05513367192485049;0.9657854009257858;1.0;1.0
531;6;5;6;0.0418617716732629;0.9644095813494453;0.8333333333333334;1.0
532;6;5;6;0.03300651858565481;0.962921899416674;0.8333333333333334;1.0
533;6;5;6;0.02684903892931149;0.9613504675616393;0.8333333333333334;1.0
534;6;5;6;0.02349390968837336;0.9602152479170872;0.8333333333333334;1.0
535;6;5;6;0.020489661401585466;0.9595490885070096;0.8333333333333334;1.0
536;6;5;6;0.018310997458278966;0.9591923018473703;0.8333333333333334;1.0
537;6;5;6;0.016603486223659068;0.9589826447882042;0.8333333333333334;1.0
538;6;5;6;0.015049915005853932;0.9586634452360894;0.8333333333333334;1.0
539;6;5;6;0.013556085807718927;0.9584302988396658;0.8333333333333334;1.0
540;6;5;6;0.012310321269931118;0.9582714779723753;0.8333333333333334;1.0
541;6;5;6;0.01153298868345963;0.9580915138782775;0.8333333333333334;1.0
542;6;5;6;0.011049272701294844;0.9581039832587022;0.8333333333333334;1.0
543;6;5;6;0.010618914389868884;0.9581644696920415;0.8333333333333334;1.0
544;6;5;6;0.010102607876629631;0.9584700699059704;0.8333333333333334;1.0
545;6;5;6;0.009701270402464168;0.9587930160262166;0.8333333333333334;1.0
546;6;5;6;0.00943826677026649;0.9589950119295252;0.8333333333333334;1.0
547;6;5;6;0.009134545449168276;0.9591715384436157;0.8333333333333334;1.0
548;6;5;6;0.008832652626131548;0.9592909487918477;0.8333333333333334;1.0
549;6;5;6;0.008551787461493812;0.9593506473433455;0.8333333333333334;1.0
550;6;5;6;0.00835323740776081;0.9593584960103231;0.8333333333333334;1.0
551;6;5;6;0.0082515552126523;0.9594641151073338;0.8333333333333334;1.0
552;6;5;6;0.008222208360065484;0.9597305375653304;0.8333333333333334;1.0
553;6;5;6;0.008267558577197602;0.9598385948683441;0.8333333333333334;1.0
554;6;5;6;0.00849221407258005;0.9599762554778412;0.8333333333333334;1.0
555;6;5;6;0.008922429133213155;0.9602636291571074;0.8333333333333334;1.0
556;6;5;6;0.009491457725717684;0.960447858864141;0.8333333333333334;1.0
557;6;5;6;0.010182548940322368;0.9605783474382154;0.8333333333333334;1.0
558;6;5;6;0.01100613600695667;0.9606632182452605;0.8333333333333334;1.0
559;6;5;6;0.012593572981527903;0.9606873411715054;0.8333333333333334;1.0
560;6;5;6;0.014693393005433198;0.9608713440624702;0.8333333333333334;1.0
561;6;5;6;0.018046864647533765;0.9610604177063089;0.8333333333333334;1.0
562;6;5;6;0.022920410706557856;0.9617894097289864;0.8333333333333334;1.0
563;6;5;6;0.02922841100909532;0.9624248228204133;0.8333333333333334;1.0
564;6;5;6;0.03659077565723311;0.9629130077972692;0.8333333333333334;1.0
565;6;5;6;0.044835010657879815;0.9638239560949178;0.8333333333333334;1.0
566;6;6;6;0.05828937027160463;0.965351367708033;1.0;1.0
567;6;6;6;0.07595494720783538;0.9666476523260791;1.0;1.0
568;6;6;6;0.09763559037180669;0.9676124492175301;1.0;1.0
569;6;6;6;0.12018242916960609;0.9682644476670941;1.0;1.0
570;6;6;6;0.1425130587997449;0.9678299659968242;1.0;1.0
571;6;6;6;0.1679432369146689;0.9686358997880363;1.0;1.0
572;6;6;6;0.20464491985312683;0.9683626454317575;1.0;1.0
573;6;6;6;0.2441803372052978;0.9683584645380094;1.0;1.0
574;6;6;6;0.288493377566594;0.9685917959062313;1.0;1.0
575;6;6;6;0.3319628177714079;0.9688624012714839;1.0;1.0
576;6;6;6;0.3051271373947825;0.9691464272723007;1.0;1.0
577;6;6;6;0.2792929518997038;0.9692844161475367;1.0;1.0
578;6;6;6;0.25537081717968496;0.9692499124673529;1.0;1.0
579;6;6;6;0.23187715494319033;0.9694576803741344;1.0;1.0
580;6;6;6;0.2123418906483882;0.9703988273690554;1.0;1.0
581;6;6;6;0.2049147704520583;0.9709035840421462;1.0;1.0
582;6;6;6;0.19627967485118542;0.9713157633317111;1.0;1.0
583;6;6;6;0.19000226374657547;0.9715497232423848;1.0;1.0
584;6;6;6;0.18407667244497383;0.9715633729576265;1.0;1.0
585;6;6;6;0.18148175334886985;0.9713087024817588;1.0;1.0
586;6;6;6;0.18153014424659475;0.9712547740483346;1.0;1.0
587;6;6;6;0.18216632873764654;0.9712164921964954;1.0;1.0
588;6;6;6;0.18249414369248368;0.9712015315269491;1.0;1.0
589;6;6;6;0.18215857583875555;0.9712473446175143;1.0;1.0
590;6;6;6;0.18276301564348885;0.9712921615057081;1.0;1.0
591;6;6;6;0.18335181931471878;0.9712562553991244;1.0;1.0
592;6;6;6;0.1830715605189981;0.9712375048046797;1.0;1.0
593;6;6;6;0.184343891132129;0.9711748353765927;1.0;1.0
594;6;6;6;0.18444222640454755;0.9711333615854421;1.0;1.0
595;6;6;6;0.1837636522616693;0.9710371594315867;1.0;1.0
596;6;6;6;0.18201033047767384;0.9709237227270361;1.0;1.0
597;6;6;6;0.182400005653793;0.9706087702659709;1.0;1.0
598;6;6;6;0.183562699160626;0.9702044717191041;1.0;1.0
599;6;6;6;0.19237472162360308;0.9697729651069344;1.0;1.0
600;6;6;6;0.20136670839564563;0.9692550027146046;1.0;1.0
601;6;6;6;0.21058452341580008;0.9686657683047999;1.0;1.0
602;6;6;6;0.22110034267964762;0.9680131567021321;1.0;1.0
603;6;6;6;0.23259299821985946;0.9672608863669434;1.0;1.0
604;6;6;6;0.24435511180579267;0.9663976636981354;1.0;1.0
605;6;6;6;0.2552838045203568;0.9653901637816015;1.0;1.0
606;6;6;6;0.2669259270818253;0.9643816006162882;1.0;1.0
607;6;6;6;0.2800992151510605;0.9633043886638432;1.0;1.0
608;6;6;6;0.2964318133102228;0.9623207759495328;1.0;1.0
609;6;6;6;0.3143287076115354;0.9615060176793566;1.0;1.0
610;6;6;6;0.3279637807567329;0.9604676051455334;1.0;1.0
611;6;6;6;0.32080364225989044;0.9600625577084314;1.0;1.0
612;6;6;6;0.3059361019692655;0.9596876567073492;1.0;1.0
613;6;6;6;0.28665934400878446;0.9590333520908538;1.0;1.0
614;6;6;6;0.27009937305086607;0.9585174292266392;1.0;1.0
615;6;6;6;0.251862374784476;0.958237990649535;1.0;1.0
616;6;6;6;0.2402355156360655;0.9579580418615132;1.0;1.0
617;6;6;6;0.22675565834238137;0.9577295627208873;1.0;1.0
618;6;6;6;0.2138914320400448;0.9574430899609713;1.0;1.0
619;6;6;6;0.20393078799619252;0.9571220038508836;1.0;1.0
620;6;6;6;0.19441692918334552;0.9568038428876183;1.0;1.0
621;6;6;6;0.18653757954049932;0.956560476053517;1.0;1.0
622;6;6;6;0.18185345242586054;0.9563228656105551;1.0;1.0
623;6;6;6;0.1789667561030841;0.9561043189242266;1.0;1.0
624;6;6;6;0.17574146857849587;0.9558834522052315;1.0;1.0
625;6;6;6;0.17343579386305974;0.955774410853134;1.0;1.0
626;6;6;6;0.17200056271457326;0.9557766594758568;1.0;1.0
627;6;6;6;0.17042964108614472;0.9557646976737638;1.0;1.0
628;6;6;6;0.16969525987723177;0.955712196163127;1.0;1.0
629;6;6;6;0.16780679784932606;0.9556288471398011;1.0;1.0
