n_componentes;acuracia_cv;desvio_cv
1;0.7888700738916257;0.10764670802838253
2;0.9183343596059114;0.036976187611254395
3;0.9285714285714286;0.05540032877674489
4;0.9266471674876848;0.0383868045791852
5;0.9358836206896551;0.027661746689213278
6;0.906865763546798;0.046487853905500504
7;0.8984759852216749;0.038294091278175076
8;0.9004772167487685;0.0414620710306091
9;0.8851600985221675;0.04949480806614101
10;0.9113300492610837;0.040218364021694424
11;0.9247229064039408;0.04075306956495132
12;0.9247229064039408;0.04075306956495132
13;0.8957050492610837;0.054103761465397915
14;0.9042487684729064;0.061594440078087315
15;0.895320197044335;0.0525513693858189
16;0.9107912561576356;0.06779566961900949
17;0.9244150246305418;0.040488794440537844
18;0.9155634236453201;0.03236961773212544
19;0.9178725369458127;0.023676263515861908
20;0.9201816502463054;0.011819161835555952
