condicao;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
IRRIG;400;84;0.9658373086869182;0.024962084924313517;0.9463141510250352;False;True
IRRIG;401;84;0.9659610351749052;0.02543104362797455;0.9463141510250352;False;True
IRRIG;402;84;0.9660801819480912;0.02589124730983214;0.9463141510250352;False;True
IRRIG;403;84;0.966350528493694;0.02696762449139323;0.9463141510250352;False;True
IRRIG;404;84;0.9667360887782017;0.028583200314879136;0.9463141510250352;False;True
IRRIG;405;84;0.967087515297157;0.030142659645908967;0.9463141510250352;False;True
IRRIG;406;84;0.9674228651617817;0.03171254073174218;0.9463141510250352;False;True
IRRIG;407;84;0.9681988242538299;0.03567575597388955;0.9463141510250352;False;True
IRRIG;408;84;0.9688147893572717;0.039181845247701116;0.9463141510250352;False;True
IRRIG;409;84;0.9689502216890101;0.03999898303307697;0.9463141510250352;False;True
IRRIG;410;84;0.968902787338905;0.03971081795986154;0.9463141510250352;False;True
IRRIG;411;84;0.9685886934241685;0.03785559009357707;0.9463141510250352;False;True
IRRIG;412;84;0.968512081063573;0.037416701521539676;0.9463141510250352;False;True
IRRIG;413;84;0.9690482363095609;0.040601226778182606;0.9463141510250352;False;True
IRRIG;414;84;0.9697950939907944;0.045505739151535655;0.9463141510250352;False;True
IRRIG;415;84;0.9696452568544026;0.04447541320164518;0.9463141510250352;False;True
IRRIG;416;84;0.9701316846187122;0.04790998305498467;0.9463141510250352;False;True
IRRIG;417;84;0.9711107369066789;0.05566536900703953;0.9463141510250352;True;True
IRRIG;418;84;0.9711863823013657;0.05631526766435246;0.9463141510250352;True;True
IRRIG;419;84;0.9708985692632791;0.0538828792040837;0.9463141510250352;True;True
IRRIG;420;84;0.9705172385735285;0.05082363387482975;0.9463141510250352;True;True
IRRIG;421;84;0.9702479892486341;0.04877052424663397;0.9463141510250352;False;True
IRRIG;422;84;0.9703426061468426;0.04948220443327623;0.9463141510250352;False;True
IRRIG;423;84;0.9704521000493926;0.05031899977326088;0.9463141510250352;True;True
IRRIG;424;84;0.9704341172835343;0.05018058602452871;0.9463141510250352;True;True
IRRIG;425;84;0.970784761871393;0.05295074625705759;0.9463141510250352;True;True
IRRIG;426;84;0.971462886902244;0.058757003765769984;0.9463141510250352;True;True
IRRIG;427;84;0.9718865611879879;0.06270812482890403;0.9463141510250352;True;True
IRRIG;428;84;0.9717147729263989;0.06107462854466817;0.9463141510250352;True;True
IRRIG;429;84;0.9718061733628137;0.06193830564096846;0.9463141510250352;True;True
IRRIG;430;84;0.9722298342358889;0.06610572105379871;0.9463141510250352;True;True
IRRIG;431;84;0.9726099769316576;0.07008546464453767;0.9463141510250352;True;True
IRRIG;432;84;0.9727376114840347;0.07147509995195088;0.9463141510250352;True;True
IRRIG;433;84;0.9726488628646344;0.07050593517195676;0.9463141510250352;True;True
IRRIG;434;84;0.9728284615277151;0.07248109519771383;0.9463141510250352;True;True
IRRIG;435;84;0.9733199813010928;0.07817560028057118;0.9463141510250352;True;True
IRRIG;436;84;0.9738712470131653;0.08509732332626768;0.9463141510250352;True;True
IRRIG;437;84;0.9742833360957629;0.09066826673243;0.9463141510250352;True;True
IRRIG;438;84;0.9745091048723534;0.09387280153534744;0.9463141510250352;True;True
IRRIG;439;84;0.9745840018141139;0.09496054029691242;0.9463141510250352;True;True
IRRIG;440;84;0.9748025693568906;0.09820683198171937;0.9463141510250352;True;True
