dia;condicao;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D02;IRRIG;400;12;0.9604456283248246;0.7901731868362165;0.9999964218042434;True;True
D02;IRRIG;401;12;0.9695750793726939;0.9063020298221706;0.9999964218042434;True;True
D02;IRRIG;402;12;0.9745578432639971;0.9522238970519991;0.9999964218042434;True;True
D02;IRRIG;403;12;0.9767129373789744;0.9670619563436007;0.9999964218042434;True;True
D02;IRRIG;404;12;0.9769966666361368;0.968779524382694;0.9999964218042434;True;True
D02;IRRIG;405;12;0.9759312749595606;0.9620458843873393;0.9999964218042434;True;True
D02;IRRIG;406;12;0.9743573531457752;0.9506833626915611;0.9999964218042434;True;True
D02;IRRIG;407;12;0.9687808810596771;0.8976212011892766;0.9999964218042434;True;True
D02;IRRIG;408;12;0.9636079721121483;0.8338220252750712;0.9999964218042434;True;True
D02;IRRIG;409;12;0.9599797720200679;0.7835410709255939;0.9999964218042434;True;True
D02;IRRIG;410;12;0.9583737522133203;0.7603860902167925;0.9999964218042434;True;True
D02;IRRIG;411;12;0.9574981219650495;0.7476087054356572;0.9999964218042434;True;True
D02;IRRIG;412;12;0.9572965332442703;0.7446550727674098;0.9999964218042434;True;True
D02;IRRIG;413;12;0.9623884992778818;0.8173092495334293;0.9999964218042434;True;True
D02;IRRIG;414;12;0.965346900692149;0.8565122972854655;0.9999964218042434;True;True
D02;IRRIG;415;12;0.9677203132530487;0.8855157967387948;0.9999964218042434;True;True
D02;IRRIG;416;12;0.970676233715207;0.9177581371266132;0.9999964218042434;True;True
D02;IRRIG;417;12;0.973077520766177;0.9402193283269775;0.9999964218042434;True;True
D02;IRRIG;418;12;0.9734626471260609;0.9434817472004775;0.9999964218042434;True;True
D02;IRRIG;419;12;0.9739120312641696;0.9471653388261254;0.9999964218042434;True;True
D02;IRRIG;420;12;0.9719131046107801;0.9297749992067544;0.9999964218042434;True;True
D02;IRRIG;421;12;0.9688828857625447;0.898755046116113;0.9999964218042434;True;True
D02;IRRIG;422;12;0.966257510074952;0.8679314005841032;0.9999964218042434;True;True
D02;IRRIG;423;12;0.9657838981872207;0.8620349397380005;0.9999964218042434;True;True
D02;IRRIG;424;12;0.9637018258131178;0.8350736983213466;0.9999964218042434;True;True
D02;IRRIG;425;12;0.9659147483730192;0.8636734344042835;0.9999964218042434;True;True
D02;IRRIG;426;12;0.9677712398931241;0.886109930747603;0.9999964218042434;True;True
D02;IRRIG;427;12;0.9693405581483785;0.9037741280564542;0.9999964218042434;True;True
D02;IRRIG;428;12;0.9708397505465404;0.9193995626448321;0.9999964218042434;True;True
D02;IRRIG;429;12;0.9714316258832281;0.9252075519971137;0.9999964218042434;True;True
D02;IRRIG;430;12;0.9717049253793975;0.9278176857452437;0.9999964218042434;True;True
D02;IRRIG;431;12;0.9704952491967488;0.9159230502648841;0.9999964218042434;True;True
D02;IRRIG;432;12;0.9679447524409796;0.8881246742823747;0.9999964218042434;True;True
D02;IRRIG;433;12;0.9675559619109162;0.8835898197328271;0.9999964218042434;True;True
D02;IRRIG;434;12;0.9685776987989787;0.8953464667608027;0.9999964218042434;True;True
D02;IRRIG;435;12;0.9696663209034764;0.9072773353452894;0.9999964218042434;True;True
D02;IRRIG;436;12;0.9698448138044627;0.9091718991208315;0.9999964218042434;True;True
D02;IRRIG;437;12;0.9711228322202301;0.9222036768770828;0.9999964218042434;True;True
D02;IRRIG;438;12;0.9726473761845487;0.9364618016340003;0.9999964218042434;True;True
D02;IRRIG;439;12;0.9730947300065462;0.9403671717865069;0.9999964218042434;True;True
D02;IRRIG;440;12;0.9731452850612546;0.9408003740578715;0.9999964218042434;True;True
D02;IRRIG;441;12;0.9718237949358681;0.9289385946274695;0.9999964218042434;True;True
D02;IRRIG;442;12;0.9699769093180344;0.9105624847783378;0.9999964218042434;True;True
D02;IRRIG;443;12;0.9694708972084083;0.9051827762090607;0.9999964218042434;True;True
D02;IRRIG;444;12;0.9692898680895384;0.903223789528861;0.9999964218042434;True;True
D02;IRRIG;445;12;0.969140223701064;0.9015909922434711;0.9999964218042434;True;True
D02;IRRIG;446;12;0.9691845792171013;0.902076223884555;0.9999964218042434;True;True
D02;IRRIG;447;12;0.9699561336046534;0.9103444285601524;0.9999964218042434;True;True
D02;IRRIG;448;12;0.9703327974555481;0.9142596306413988;0.9999964218042434;True;True
D02;IRRIG;449;12;0.9700860115599373;0.9117035772523022;0.9999964218042434;True;True
D02;IRRIG;450;12;0.9693136242754105;0.9034818827327336;0.9999964218042434;True;True
D02;IRRIG;451;12;0.9691572801906307;0.9017777087503214;0.9999964218042434;True;True
D02;IRRIG;452;12;0.9697489779678569;0.9081568876105119;0.9999964218042434;True;True
D02;IRRIG;453;12;0.9704155668158854;0.9151090564792703;0.9999964218042434;True;True
D02;IRRIG;454;12;0.9705833030850352;0.916818263116945;0.9999964218042434;True;True
D02;IRRIG;455;12;0.9710609427780933;0.9215947106014252;0.9999964218042434;True;True
D02;IRRIG;456;12;0.9715906181876025;0.9267315755995106;0.9999964218042434;True;True
D02;IRRIG;457;12;0.9718457379685294;0.9291445549611895;0.9999964218042434;True;True
D02;IRRIG;458;12;0.9715089898941361;0.9259510578130464;0.9999964218042434;True;True
D02;IRRIG;459;12;0.9712234758321215;0.9231890501485913;0.9999964218042434;True;True
D02;IRRIG;460;12;0.9712644616491168;0.9235885799568937;0.9999964218042434;True;True
D02;IRRIG;461;12;0.971569574879781;0.9265307533454502;0.9999964218042434;True;True
D02;IRRIG;462;12;0.9715716125418098;0.9265502112132471;0.9999964218042434;True;True
D02;IRRIG;463;12;0.9713314731831914;0.9242396185904457;0.9999964218042434;True;True
D02;IRRIG;464;12;0.970956352451825;0.9205603730204266;0.9999964218042434;True;True
D02;IRRIG;465;12;0.9707821142143784;0.9188227953306858;0.9999964218042434;True;True
D02;IRRIG;466;12;0.9707928252470421;0.9189301294060754;0.9999964218042434;True;True
D02;IRRIG;467;12;0.970726216607303;0.9182615523752057;0.9999964218042434;True;True
D02;IRRIG;468;12;0.9708185669305814;0.9191878065133253;0.9999964218042434;True;True
D02;IRRIG;469;12;0.9714543747005706;0.9254265584793948;0.9999964218042434;True;True
