condicao;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
IRRIG;400;676;0.9799781353018164;5.468442136264059e-08;2.9515196898625224e-06;False;False
IRRIG;401;676;0.9801715776063694;6.224529104154923e-08;3.1916272981554363e-06;False;False
IRRIG;402;676;0.9804629551156745;7.575554088033139e-08;3.613363124315341e-06;False;False
IRRIG;403;676;0.9807706132170375;9.338399082519345e-08;4.256234781832706e-06;False;False
IRRIG;404;676;0.9810798660057779;1.1545918045374805e-07;5.0384421087369625e-06;False;False
IRRIG;405;676;0.9813794832016819;1.4207569967355412e-07;5.82794520060919e-06;False;False
IRRIG;406;676;0.9815373345230731;1.5860194005703166e-07;6.255626520326383e-06;False;False
IRRIG;407;676;0.9818587362596924;1.9875393451884294e-07;7.069700328560333e-06;False;False
IRRIG;408;676;0.9821905433827263;2.514810067322783e-07;8.45553352144103e-06;False;False
IRRIG;409;676;0.9824299959107854;2.9847032142385566e-07;9.417886603697354e-06;False;False
IRRIG;410;676;0.9827167316358435;3.670440708171516e-07;1.1070696900676147e-05;False;False
IRRIG;411;676;0.9830864960244663;4.805546059896307e-07;1.3881936575841304e-05;False;False
IRRIG;412;676;0.9835955584889106;7.000409841849983e-07;1.4215683748152788e-05;False;False
IRRIG;413;676;0.9842042457256887;1.1067570108144824e-06;1.875998867091325e-05;False;False
IRRIG;414;676;0.9847847216470255;1.727963795148048e-06;2.648407752742727e-05;False;False
IRRIG;415;676;0.985356806309927;2.703823298199677e-06;3.7845502405198086e-05;False;False
IRRIG;416;676;0.9858564658756928;4.026997772436406e-06;5.0535165239986804e-05;False;False
IRRIG;417;676;0.9863282370323937;5.9040434728431636e-06;6.581083240652895e-05;False;False
IRRIG;418;676;0.9867094022725912;8.081139699957993e-06;8.287208762306922e-05;False;False
IRRIG;419;676;0.9868251867907916;8.89728575089317e-06;8.90162589028385e-05;False;False
IRRIG;420;676;0.9869156154464007;9.594340476141724e-06;9.401205022986933e-05;False;False
IRRIG;421;676;0.9872023276978482;1.2206726258811733e-05;0.00010062028320507676;False;False
IRRIG;422;676;0.987513984220385;1.5905620159327508e-05;0.00010062028320507676;False;False
IRRIG;423;676;0.9878522627988267;2.1274100309616407e-05;0.00010062028320507676;False;False
IRRIG;424;676;0.9881665905247545;2.7968594654245574e-05;0.0001122575100506021;False;False
IRRIG;425;676;0.9884678212301833;3.6466219803302756e-05;0.00013773888916496124;False;False
IRRIG;426;676;0.9886648877355753;4.345081892035035e-05;0.00015999574435482684;False;False
IRRIG;427;676;0.9888281502080336;5.029143891513068e-05;0.0001819184148411517;False;False
IRRIG;428;676;0.9889716606499005;5.723272220860695e-05;0.00019895646313534382;False;False
IRRIG;429;676;0.989004706585637;5.896834873733543e-05;0.0002036095677782407;False;False
IRRIG;430;676;0.9891346608439318;6.634467447476583e-05;0.0002267882122462412;False;False
IRRIG;431;676;0.9893659805825259;8.195456682076854e-05;0.0002682860726776212;False;False
IRRIG;432;676;0.9895471838321094;9.683898897064005e-05;0.0003013911477675004;False;False
IRRIG;433;676;0.9896963834474942;0.00011120433491144141;0.0003291199002934579;False;False
IRRIG;434;676;0.989822462700132;0.00012507348903036326;0.0003552987894754502;False;False
IRRIG;435;676;0.9899695531882386;0.00014356328596545166;0.0003859086494300673;False;False
IRRIG;436;676;0.990119948145313;0.00016543799626281643;0.00042680922054721574;False;False
IRRIG;437;676;0.9903075449427194;0.00019769239492593618;0.00048500849520705157;False;False
IRRIG;438;676;0.9904307868884692;0.00022239741364331496;0.000523395788691034;False;False
IRRIG;439;676;0.9904640979649038;0.0002296129380662001;0.0005339411972491796;False;False
IRRIG;440;676;0.9906060751131426;0.00026321430703717504;0.0005798630974578367;False;False
IRRIG;441;676;0.9907953465169574;0.00031616691224791875;0.0006325573565430469;False;False
IRRIG;442;676;0.9909517172042102;0.00036825713314892573;0.0006785472842291883;False;False
IRRIG;443;676;0.9910196751798559;0.0003936123496547433;0.0007127797154844619;False;False
IRRIG;444;676;0.9910104159257093;0.00039005332016666105;0.0007092192904803384;False;False
IRRIG;445;676;0.9910575904643463;0.0004085426702183751;0.0007343742476931529;False;False
IRRIG;446;676;0.9911633335188456;0.00045338118127555174;0.0007968164548381805;False;False
IRRIG;447;676;0.9912010621932356;0.0004705950515372731;0.0008186517817667067;False;False
IRRIG;448;676;0.991202492587235;0.0004712609135179197;0.0008191153674790283;False;False
IRRIG;449;676;0.9912175982450615;0.0004783529271731737;0.0008300354091642803;False;False
IRRIG;450;676;0.9912999698214549;0.0005190305156910213;0.0008805058624336516;False;False
IRRIG;451;676;0.9913918971971349;0.0005687093636134242;0.0009272042168291997;False;False
IRRIG;452;676;0.9914358653062554;0.0005941965688184954;0.0009603602542527454;False;False
IRRIG;453;676;0.9914492215364404;0.0006021721117907873;0.0009711621428011555;False;False
IRRIG;454;676;0.9914717421995153;0.0006158734276211969;0.0009879129327080428;False;False
IRRIG;455;676;0.9915588880874896;0.0006720249054183476;0.0010578074297874374;False;False
IRRIG;456;676;0.9916288394408963;0.0007209416596863938;0.0011227420987219392;False;False
IRRIG;457;676;0.9916572752283904;0.0007418728953608773;0.0011474972159767416;False;False
IRRIG;458;676;0.9917603309812223;0.0008231827959778256;0.0012534134480701711;False;False
IRRIG;459;676;0.991913487286157;0.0009615486199356277;0.0014066592150413497;False;False
IRRIG;460;676;0.99208058026038;0.0011404205094980133;0.0016252273414417405;False;False
IRRIG;461;676;0.992228875583691;0.0013281357526325512;0.0018417893364769185;False;False
IRRIG;462;676;0.9922794970518758;0.001399338467747644;0.0019352954803441792;False;False
IRRIG;463;676;0.9923127558246283;0.0014482680156481095;0.0019948943586932657;False;False
IRRIG;464;676;0.9923599142560771;0.0015207123936194092;0.002077935455905002;False;False
IRRIG;465;676;0.9923842668793685;0.0015595862741375713;0.002122568976945029;False;False
IRRIG;466;676;0.9923631655362571;0.0015258436445787843;0.0020835587982896715;False;False
IRRIG;467;676;0.9923681814368753;0.001533795154970427;0.00209302319550522;False;False
IRRIG;468;676;0.9924244745408535;0.0016260432364035376;0.0022027838030803538;False;False
IRRIG;469;676;0.9924531802846247;0.0016752832331378522;0.0022605302047142995;False;False
IRRIG;470;676;0.9924854123115313;0.0017324213119365465;0.002333024366895507;False;False
IRRIG;471;676;0.9925227511338339;0.0018011492442933988;0.0024144817647357916;False;False
IRRIG;472;676;0.9925443899757955;0.001842268305878159;0.0024647699252159845;False;False
IRRIG;473;676;0.9926008881704068;0.001954285376228015;0.002590975634546644;False;False
IRRIG;474;676;0.9926628852074743;0.002085371894766074;0.0027327200191662594;False;False
IRRIG;475;676;0.9926914086790949;0.002148714020548105;0.002778696378401112;False;False
IRRIG;476;676;0.9927141624798492;0.0022006726986057183;0.0028209873155252054;False;False
IRRIG;477;676;0.9927275707904172;0.0022318993097076244;0.0028467820175437425;False;False
IRRIG;478;676;0.9927222896300367;0.002219545525981522;0.0028363164322667304;False;False
IRRIG;479;676;0.9927106812934393;0.002192639685298333;0.0028195009370199885;False;False
IRRIG;480;676;0.9926865701981373;0.0021378302619954512;0.0027716117998436603;False;False
IRRIG;481;676;0.9926925982707272;0.0021513986982705075;0.0027804150788612544;False;False
IRRIG;482;676;0.9927151108867018;0.0022028664808735536;0.002822035697858625;False;False
IRRIG;483;676;0.9927314248951764;0.0022409598888377797;0.0028547880323020413;False;False
