genotipo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
BR16;400;448;0.9850489650055345;0.00014317508901582092;0.00026089251753048557;False;False
BR16;401;448;0.9857154258455774;0.0002171818967455515;0.00037974430539226443;False;False
BR16;402;448;0.9864751749155638;0.00035260126771215715;0.000586049594876527;False;False
BR16;403;448;0.9871960030223084;0.0005638848938026576;0.0008986230902791382;False;False
BR16;404;448;0.9878408741550779;0.0008653302468547532;0.0012498537579571118;False;False
BR16;405;448;0.9883927575449749;0.0012562484797137472;0.0017333862547831312;False;False
BR16;406;448;0.988721696594138;0.0015731587062016359;0.0021129983670069123;False;False
BR16;407;448;0.988969965921293;0.0018668387648057441;0.00246230630650584;False;False
BR16;408;448;0.9894503232151529;0.0026084683336828067;0.00325621944758578;False;False
BR16;409;448;0.9900423413583054;0.0039632563598957175;0.0047508116856493955;False;False
BR16;410;448;0.990519140568665;0.005577256044999095;0.006566562656884697;False;False
BR16;411;448;0.9909707437073774;0.007737150738961148;0.008950308046028943;False;False
BR16;412;448;0.9914283493875121;0.010818460923460246;0.012320190646317026;False;False
BR16;413;448;0.9917146846373697;0.013365775728285437;0.015078771187411128;False;False
BR16;414;448;0.9917545470831105;0.013766396787780459;0.015488140324595568;False;False
BR16;415;448;0.9918788850975974;0.015096993935303013;0.016901711005079957;False;False
BR16;416;448;0.9920136451917808;0.016688760380537924;0.01855211248806682;False;False
BR16;417;448;0.9921324683964179;0.018234570837534738;0.020183003123466676;False;False
BR16;418;448;0.9923423999708542;0.021332894399347654;0.023236200962858226;False;False
BR16;419;448;0.9925492430047879;0.024912135634620487;0.026906155969777048;False;False
BR16;420;448;0.9926947582307516;0.027791370545487963;0.029827368387648254;False;False
BR16;421;448;0.9928372542531471;0.030938547352221176;0.03302969860297914;False;False
BR16;422;448;0.9928798329698744;0.03194731395254724;0.03398544653354481;False;False
BR16;423;448;0.992853754951031;0.03132559404440921;0.03339334375524079;False;False
BR16;424;448;0.992798800039988;0.030055242484854007;0.032139365138913224;False;False
BR16;425;448;0.9928847776876941;0.032066601289054086;0.03407699442686525;False;False
BR16;426;448;0.9929670212865674;0.03411807575484884;0.035995973957404816;False;False
BR16;427;448;0.9929799676090713;0.03445288849654661;0.03631185730031711;False;False
BR16;428;448;0.9929867425014993;0.034629419493053745;0.03646044116029427;False;False
BR16;429;448;0.9930252585926049;0.03565052603983645;0.03745862136665192;False;False
BR16;430;448;0.9930223113186775;0.03557132712027782;0.03741373944804605;False;False
BR16;431;448;0.9929002228716676;0.03244211498847512;0.03445819670707534;False;False
BR16;432;448;0.9927208175188124;0.028341633149193215;0.03040026362666259;False;False
BR16;433;448;0.9925560730247239;0.025040240091172797;0.027030280224734422;False;False
BR16;434;448;0.9924053772232342;0.022363425297395795;0.02426845782272951;False;False
BR16;435;448;0.9922500093221852;0.019907982191738924;0.021846587199174178;False;False
BR16;436;448;0.9920867348484385;0.017622968708605677;0.019535473490386108;False;False
BR16;437;448;0.9918840465223037;0.015154997825628676;0.016948146423317566;False;False
BR16;438;448;0.9916863656598586;0.013088454815242548;0.014774034576809283;False;False
BR16;439;448;0.9915171945668227;0.011550490955111145;0.013102907604498318;False;False
BR16;440;448;0.9913544535585707;0.010246038018718194;0.011707311407460176;False;False
BR16;441;448;0.9911979755231011;0.009134547131733388;0.010507546924949623;False;False
BR16;442;448;0.9910435517692656;0.00815912947143699;0.009422508190268731;False;False
BR16;443;448;0.9909113373017301;0.007409560157141682;0.008595592693607235;False;False
BR16;444;448;0.9907356206861969;0.0065218800701169165;0.007613190679459189;False;False
BR16;445;448;0.9905472819939296;0.005691589567377837;0.006693492088699509;False;False
BR16;446;448;0.9903670137280847;0.0049990397008156775;0.005923183377454046;False;False
BR16;447;448;0.9901993508434445;0.004433123982767168;0.0052801029550844725;False;False
BR16;448;448;0.9899769324376694;0.0037830348733310934;0.004553406411503564;False;False
BR16;449;448;0.9897610962925575;0.003246324071177011;0.003932788346121706;False;False
BR16;450;448;0.9896039776954108;0.0029057612836080066;0.0035729714584412597;False;False
BR16;451;448;0.9895334213024755;0.0027651047545464583;0.0034246557074726967;False;False
BR16;452;448;0.9894190778856506;0.0025519819602798405;0.0031985142918536627;False;False
BR16;453;448;0.9892421586682112;0.0022552433105622405;0.002903643458859482;False;False
BR16;454;448;0.989042563648447;0.0019630901771452757;0.002576006368090186;False;False
BR16;455;448;0.9888370158395177;0.001703085337059658;0.002268200017083999;False;False
BR16;456;448;0.9886625277495741;0.0015105411470803182;0.002038236771487982;False;False
BR16;457;448;0.9884529586397952;0.0013088453183757367;0.0017932142605134509;False;False
BR16;458;448;0.9881470100375467;0.001063345223650739;0.0014937815436353874;False;False
BR16;459;448;0.9879171992009432;0.0009107965692267873;0.0013049565227644376;False;False
BR16;460;448;0.9877638524288138;0.0008218415703366811;0.0012074477512611268;False;False
BR16;461;448;0.9875940662393181;0.0007338306940315337;0.0011284110698353096;False;False
BR16;462;448;0.987359148771973;0.0006279469839378613;0.000987668147282633;False;False
BR16;463;448;0.9871188953705858;0.0005360169478515464;0.0008595549335758575;False;False
BR16;464;448;0.9869317409308219;0.00047418915430463864;0.00076761006746552;False;False
BR16;465;448;0.9867754294805815;0.0004282651831174802;0.0006987843202656737;False;False
BR16;466;448;0.9865792972848778;0.00037712106532875484;0.0006225111374724233;False;False
BR16;467;448;0.9863368764572152;0.00032257930833311417;0.0005392095854859145;False;False
BR16;468;448;0.9860779500618538;0.0002733284691126505;0.0004645113607634991;False;False
BR16;469;448;0.9858470811835044;0.00023603247043258268;0.00040887043653482015;False;False
BR16;470;448;0.9856499183000764;0.00020839495543599753;0.0003659401143829032;False;False
BR16;471;448;0.9854639421498416;0.00018541498743537499;0.00032896724846881843;False;False
BR16;472;448;0.9852787428177457;0.00016514908120491886;0.0002953101704893536;False;False
BR16;473;448;0.9851461216462316;0.0001520680958325953;0.000275036741228089;False;False
BR16;474;448;0.9850627678407108;0.00014440464414492143;0.00026256553647272505;False;False
BR16;475;448;0.9849409895372487;0.0001339261527235721;0.0002452522671750414;False;False
BR16;476;448;0.9847278099958171;0.0001174518777070507;0.0002178063301782649;False;False
BR16;477;448;0.984522717357892;0.0001035936475505577;0.00019421441602028686;False;False
BR16;478;448;0.9843115555352571;9.109896716239031e-05;0.0001728434480731752;False;False
BR16;479;448;0.9840938139519106;7.985311615491936e-05;0.0001532074286564449;False;False
BR16;480;448;0.983932236148525;7.245181387398423e-05;0.00014045242935306396;False;False
BR16;481;448;0.9838104281222064;6.734828740444701e-05;0.00013180471132301605;False;False
BR16;482;448;0.9836775428172593;6.22068681520568e-05;0.00012279719593827576;False;False
BR16;483;448;0.9835244954081652;5.678984576547312e-05;0.00011341380103698672;False;False
BR16;484;448;0.9834337979640262;5.381452083563219e-05;0.0001084219864772904;False;False
BR16;485;448;0.9833376744502901;5.083844298788273e-05;0.00010364776000809889;False;False
BR16;486;448;0.9832343578855339;4.7830744286000224e-05;9.84948358740828e-05;False;False
BR16;487;448;0.9831758020124032;4.620925035022579e-05;9.563589552806569e-05;False;False
BR16;488;448;0.9830801418282257;4.368276002260708e-05;9.170249826649654e-05;False;False
BR16;489;448;0.982985653553292;4.1328677326516605e-05;8.77485685265896e-05;False;False
