seed;fold;banda_nm;vip
42;1;405;1.1112420749848888
42;1;415;1.0787852062064005
42;1;425;1.0542416883664343
42;1;435;1.0242098641759525
42;1;445;1.0049349910418264
42;1;455;0.9852342584837658
42;1;465;0.9697246571313536
42;1;475;0.957039976949782
42;1;485;0.944456512304755
42;1;495;0.9363488161688682
42;1;505;0.9381049410884468
42;1;515;0.9774766655931642
42;1;525;1.0735221544115172
42;1;535;1.1394789374570178
42;1;545;1.1398903368050566
42;1;555;1.1295407196090574
42;1;565;1.0787655759725951
42;1;575;1.0123476893229402
42;1;585;0.9744277104867316
42;1;595;0.9556493930226097
42;1;605;0.9465075431757618
42;1;615;0.9279767062672828
42;1;625;0.9182351441519769
42;1;635;0.9129826501107353
42;1;645;0.9019782777409435
42;1;655;0.8979120071337889
42;1;665;0.8951748931361327
42;1;675;0.9000837022203153
42;1;685;0.9162817271302164
42;1;695;1.024020413343216
42;1;705;1.204842427613329
42;1;715;0.9851946774738154
42;1;725;1.1500103694721522
42;1;735;1.3387677610667224
42;1;745;1.2266016254663965
42;1;755;1.0960148806355345
42;1;765;1.0253508943509342
42;1;775;0.9865499929719133
42;1;785;0.9681549921343692
42;1;795;0.9600969367657648
42;1;805;0.9554168688575275
42;1;815;0.9470029254522977
42;1;825;0.934841389966074
42;1;835;0.9218668131920078
42;1;845;0.9085178323755343
42;1;855;0.8990595302822323
42;1;865;0.8944326759237438
42;1;875;0.8925184952731384
42;1;885;0.8918199500623247
42;1;895;0.8915673109080056
42;1;905;0.891959280297657
42;1;915;0.8923252611651519
42;1;925;0.8932116408201994
42;1;935;0.8941601633742702
42;1;945;0.8971184403455656
42;1;955;0.8996961958678875
42;1;965;0.8997070844435421
42;1;975;0.9055060150953821
42;1;985;0.9086192174391196
42;1;995;0.9152172146700476
42;1;1005;0.9140963497809294
42;1;1015;0.9154728535458336
42;1;1025;0.9129136504600992
42;1;1035;0.9150333640506979
42;1;1045;0.9147607037968326
42;1;1055;0.9167971493697875
42;1;1065;0.9164634430938478
