fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.99
1;NIRRIG;1;1;0.91
1;IRRIG;0;0;0.11
1;IRRIG;0;0;0.11
1;IRRIG;0;0;0.02
1;NIRRIG;1;1;0.81
1;NIRRIG;1;1;0.78
1;IRRIG;0;0;0.31
1;IRRIG;0;0;0.21
1;IRRIG;0;0;0.21
1;NIRRIG;1;1;0.99
1;NIRRIG;1;1;0.96
1;NIRRIG;1;1;0.96
1;IRRIG;0;0;0.06
1;IRRIG;0;0;0.02
2;IRRIG;0;0;0.1
2;IRRIG;0;0;0.13
2;IRRIG;0;0;0.18
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;0.67
2;IRRIG;0;0;0.04
2;IRRIG;0;0;0.13
2;IRRIG;0;0;0.13
2;NIRRIG;1;1;0.85
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.06
2;IRRIG;0;0;0.2
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.92
3;IRRIG;0;0;0.1
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;0.55
3;NIRRIG;1;1;0.63
3;IRRIG;0;0;0.14
3;IRRIG;0;0;0.12
3;IRRIG;0;0;0.16
3;NIRRIG;1;1;0.99
3;NIRRIG;1;1;0.99
3;NIRRIG;1;1;0.99
3;IRRIG;0;0;0.03
3;IRRIG;0;0;0.05
3;NIRRIG;1;1;0.91
4;IRRIG;0;0;0.18
4;IRRIG;0;0;0.2
4;IRRIG;0;0;0.11
4;IRRIG;0;0;0.15
4;NIRRIG;1;1;0.91
4;NIRRIG;1;0;0.32
4;NIRRIG;1;0;0.25
4;NIRRIG;1;1;0.61
4;IRRIG;0;0;0.1
4;IRRIG;0;0;0.08
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.05
4;IRRIG;0;0;0.02
4;NIRRIG;1;1;0.9
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
