n_componentes;balanced_accuracy_cv;desvio_cv
1;0.5625;0.10825317547305482
2;0.65625;0.2049199538844375
3;0.625;0.21650635094610965
4;0.625;0.21650635094610965
5;0.625;0.21650635094610965
6;0.625;0.21650635094610965
7;0.625;0.21650635094610965
8;0.5625;0.10825317547305482
9;0.5625;0.10825317547305482
10;0.625;0.125
