genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;grupo_spearman;vip_pls_da;significativa;vip_acima_de_1;abs_delta_cliff;rho_abs_max_outro_top;distancia_min_outro_top_nm
BR16;D02;0.8;0.8;1;1924;6.667066501749201e-05;0.0027906435500178;0.2403720145781637;0.580078125;152;2.158130523439698;True;True;0.580078125;0.7946886446886443;26.0
BR16;D02;0.8;0.8;2;1950;1.7063912624987695e-08;5.833014132308294e-06;0.4968207196029777;0.8203125;155;1.8610914030989;True;True;0.8203125;0.7946886446886443;26.0
BR16;D02;0.8;0.8;3;1340;0.0005058622888153;0.0136516257152662;0.1789343594913151;-0.505859375;94;1.3291763776397032;True;True;0.505859375;0.7191391941391939;13.0
BR16;D02;0.8;0.8;4;1976;0.0002600175817972;0.0080802433373673;0.1990074441687345;0.53125;158;1.1648481042740417;True;True;0.53125;0.6965201465201465;26.0
BR16;D02;0.8;0.8;5;1327;0.0011566042580506;0.025784731883282;0.1541679590570719;-0.47265625;92;0.9969665429128597;True;False;0.47265625;0.7191391941391939;13.0
BR16;D02;0.9;0.9;1;1931;2.7985078347434786e-05;0.0014717280946304;0.2669354838709677;0.609375;155;2.20192563042072;True;True;0.609375;0.8668498168498165;15.0
BR16;D02;0.9;0.9;2;1946;1.2474358573816622e-08;5.833014132308294e-06;0.5066377171215881;0.828125;157;2.0032619520189456;True;True;0.828125;0.8668498168498165;15.0
BR16;D02;0.9;0.9;3;1963;7.764614768676971e-07;6.125086496367872e-05;0.3776674937965261;0.71875;159;1.4654393688659373;True;True;0.71875;0.8583791208791212;17.0
BR16;D02;0.9;0.9;4;1339;0.0004349527754903;0.0120552451693338;0.1834793734491315;-0.51171875;95;1.394716014974217;True;True;0.51171875;0.798763736263736;12.0
BR16;D02;0.9;0.9;5;1327;0.0011566042580506;0.025784731883282;0.1541679590570719;-0.47265625;93;1.1077872316157769;True;True;0.47265625;0.798763736263736;12.0
BR16;D02;0.95;0.95;1;1928;5.3093774621496885e-05;0.0024748939033793;0.2473276597394541;0.587890625;161;2.1269477287824574;True;True;0.587890625;0.9206501831501829;17.0
BR16;D02;0.95;0.95;2;1945;1.5782574683370118e-08;5.833014132308294e-06;0.4992662453473945;0.822265625;163;1.9972679997445848;True;True;0.822265625;0.9105769230769231;13.0
BR16;D02;0.95;0.95;3;1958;1.758925589356902e-07;1.898713886195266e-05;0.42389403691067;0.759765625;165;1.6124119507410928;True;True;0.759765625;0.9105769230769231;13.0
BR16;D02;0.95;0.95;4;1910;0.0003929578621138;0.0111938413221602;0.1865384615384615;0.515625;159;1.5654815335167502;True;True;0.515625;0.9206501831501829;18.0
BR16;D02;0.95;0.95;5;1342;0.0011566042580506;0.025784731883282;0.1541679590570719;-0.47265625;99;1.3857792185214548;True;True;0.47265625;0.4239010989010988;568.0
BR16;D03;0.8;0.8;1;1375;0.0038913442582605;0.0045580508701841;0.1182876473325062;-0.419921875;98;2.276664578241046;True;True;0.419921875;0.6380494505494505;14.0
BR16;D03;0.8;0.8;2;1361;5.074855094390451e-10;3.898325018200306e-09;0.6072299550248139;-0.904296875;96;1.9699011833162554;True;True;0.904296875;0.644276556776557;14.0
BR16;D03;0.8;0.8;3;1841;0.023256834475639;0.0259097053283735;0.0669228830645161;0.330078125;144;1.451523700681637;True;True;0.330078125;0.7356684981684979;258.0
BR16;D03;0.8;0.8;4;1518;2.1385881610097023e-10;3.412504748200997e-09;0.6344476969602978;0.923828125;112;1.2011543000546874;True;True;0.923828125;0.7862637362637358;65.0
BR16;D03;0.8;0.8;5;1583;1.4330783539290956e-06;2.993119861414028e-06;0.3586412453473945;0.701171875;119;1.1420646296231758;True;True;0.701171875;0.7862637362637358;65.0
BR16;D03;0.9;0.9;1;1374;0.0008277005331684;0.0010208140670646;0.1641623371588089;-0.486328125;99;2.1997093737739126;True;True;0.486328125;0.756456043956044;11.0
BR16;D03;0.9;0.9;2;1363;3.463959229986913e-09;1.7413187207605782e-08;0.5468362282878412;-0.859375;97;1.970123845384278;True;True;0.859375;0.8981227106227103;10.0
BR16;D03;0.9;0.9;3;1353;6.773130231199793e-11;3.412504748200997e-09;0.6707002171215881;-0.94921875;96;1.6554125017303085;True;True;0.94921875;0.8981227106227103;10.0
BR16;D03;0.9;0.9;4;1838;0.0240855495485999;0.0267892961627866;0.0659429280397022;0.328125;146;1.4124153648864117;True;True;0.328125;0.7327838827838825;318.0
BR16;D03;0.9;0.9;5;1520;2.1385881610097023e-10;3.412504748200997e-09;0.6344476969602978;0.923828125;114;1.1902611771459501;True;True;0.923828125;0.807692307692308;146.0
BR16;D03;0.95;0.95;1;1374;0.0008277005331684;0.0010208140670646;0.1641623371588089;-0.486328125;102;2.156431746755963;True;True;0.486328125;0.786904761904762;10.0
BR16;D03;0.95;0.95;2;1364;9.844018453217998e-09;4.3233579973340724e-08;0.5140615307071961;-0.833984375;100;1.9735881559699155;True;True;0.833984375;0.8458333333333329;10.0
