seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;1;1.2324643933144073
42;1;1;1;1.2578998926817686
42;1;1;1;1.033308322678748
42;1;0;0;0.376041049053835
42;1;0;0;0.3619675565976691
42;1;0;1;0.683255715761877
42;1;0;1;0.6735757559338841
42;1;1;1;0.8439780094512577
42;1;1;1;0.7298220505983017
42;1;1;1;0.7164662887380028
42;1;0;0;0.09340583218070575
42;1;0;0;0.058594043334467605
42;1;0;0;0.4292424385995371
42;1;1;1;0.7583268854862262
42;1;0;0;0.17979949032044584
42;1;0;0;0.10521677127340145
42;1;0;0;0.24978645346854284
42;1;0;0;0.4897512390852166
42;1;1;1;1.026567671780441
42;1;1;1;1.0591615472251097
42;1;0;1;0.5405415298970455
42;1;0;0;0.48887466657160417
42;1;0;0;0.1969884692505997
42;1;1;1;0.7463910474512091
42;1;1;1;0.750925630406682
42;1;1;1;0.8190201844511195
42;1;0;0;-0.11111935535615536
42;1;0;0;-0.14889192184081734
42;1;0;0;0.06359213355363968
42;1;0;0;0.02008656450762425
42;1;1;1;0.6487478331403853
42;1;1;1;0.8119829574142761
42;1;1;1;0.6633189898265753
42;1;1;1;0.8573592804289725
42;1;1;1;0.89718729007479
42;1;1;1;0.6407940304087507
42;1;1;1;0.6234481944491801
42;1;0;0;-0.18900007931892737
42;1;0;0;-0.19800088454217957
42;1;0;0;-0.18892115803044573
42;1;0;0;-0.22966879204930335
42;1;1;0;0.43042294377860646
42;1;1;1;0.748549224043271
42;1;1;1;0.8049110134922368
42;1;0;0;-0.29276680617562345
42;1;0;0;0.06462919802757716
42;1;1;1;1.0591438022840207
42;1;1;0;0.48387473303960765
42;2;0;0;0.3006711659867715
42;2;0;0;0.3989917305759213
42;2;1;1;1.0500190732949872
42;2;0;0;0.3520334664330144
42;2;0;1;0.6365138149289418
42;2;0;1;0.6039342398604063
42;2;1;1;0.9712077679570694
42;2;0;1;0.5485576977355396
42;2;1;1;0.5067975136585839
42;2;0;0;0.1638209008546498
42;2;0;0;0.20932805755038625
42;2;0;0;0.13247243844878254
42;2;1;1;0.9745245345159996
42;2;0;0;0.2565927431966225
42;2;0;1;0.5425517489304473
42;2;0;0;0.4870828372926712
42;2;0;0;0.48145060975398557
42;2;1;1;1.146259075466456
42;2;1;1;1.142595726307074
42;2;0;1;0.5442449709088941
42;2;0;0;0.2668962078658593
42;2;0;0;-0.04102190101711667
42;2;0;0;-0.15155896347435038
42;2;1;1;0.6829441057958243
42;2;1;1;0.69686943281419
42;2;1;1;0.7011098501323234
42;2;1;1;1.1703683587402791
42;2;0;0;0.32282990674532497
42;2;0;0;0.0022472178012907795
42;2;1;1;0.7695980235605836
42;2;1;0;0.4898255744829262
42;2;1;1;0.5129564055647967
42;2;0;0;0.09804904024872113
42;2;0;0;0.14092838361118454
42;2;1;1;0.6327185586755867
42;2;1;1;0.8802910968017829
42;2;0;0;0.2550554174687903
42;2;0;0;-0.06294894369790183
42;2;1;1;0.6463698404924846
42;2;1;1;0.7878446264525784
42;2;1;1;0.8040755338224777
42;2;0;0;-0.17769129321336485
42;2;1;0;0.37950683434111476
42;2;1;0;0.3738234743573886
42;2;1;1;1.0069996062086854
42;2;1;1;1.0280064065169583
42;2;1;1;1.0622271998267037
42;2;1;0;0.44825805022754106
42;3;0;0;0.32483249217439125
42;3;1;1;1.2005349662620775
42;3;1;1;1.2804028538421979
42;3;1;1;1.0596248646102482
42;3;0;0;0.3555805645622641
42;3;1;1;0.6553040687073544
42;3;1;1;0.9637819112543826
42;3;1;1;0.9749006698390441
42;3;1;1;0.9819165971316014
42;3;0;0;-0.037128094526444055
42;3;0;0;0.4147169066993121
42;3;0;0;0.35977165164333014
42;3;1;0;0.49803228737082283
42;3;0;0;0.16186918195765
42;3;1;1;0.9831331309440261
42;3;1;1;0.9993051972120182
42;3;1;1;0.9546093959970647
42;3;0;0;0.3189211430388655
42;3;0;0;0.2419306002876755
42;3;1;1;1.0555917548789813
42;3;1;1;0.8078066566724869
42;3;1;1;0.7951587918154726
42;3;1;1;0.7460475216107751
