dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D09;1934;1.1529554898372289e-08;1.7647102310866837e-07;0.5091065058933003;0.830078125;True;153;1.6376586804923405;True;0.830078125
D09;1926;4.632941385561415e-08;5.081370471543563e-07;0.4655581187965261;0.794921875;True;152;1.6292292768927399;True;0.794921875
D09;1943;1.2865021608031123e-09;5.937376722162505e-08;0.5779621588089331;0.8828125;True;154;1.613625106541653;True;0.8828125
D09;1952;1.9596401375206222e-10;4.350852572595002e-08;0.6372014578163773;0.92578125;True;155;1.5680812698551978;True;0.92578125
D09;1917;1.2211680465352746e-07;1.1033549178166729e-06;0.4352783808933002;0.76953125;True;151;1.5545759157467054;True;0.76953125
D09;2258;0.1882206735379792;0.2468290290450097;0.0117982320099255;-0.19140625;False;186;1.512934158381039;True;0.19140625
D09;2256;0.1837528942640673;0.2428332384894344;0.0123710840570719;-0.193359375;False;185;1.5057459224618086;True;0.193359375
D09;1962;7.76607345152988e-10;5.937376722162505e-08;0.5938391749379653;0.89453125;True;156;1.498352306154715;True;0.89453125
D09;2268;0.2708850721445035;0.320962035221477;0.0034235421836228;-0.16015625;False;187;1.4821749383560592;True;0.16015625
D09;2247;0.2217564122446281;0.2761520349202989;0.0079511088709677;-0.177734375;False;184;1.4611967640993437;True;0.177734375
D09;1972;1.7948189018726243e-09;5.937376722162505e-08;0.5674937965260546;0.875;True;157;1.4180876786780612;True;0.875
D09;2237;0.3075085987104025;0.3583523499744521;0.0006668734491315;-0.1484375;False;183;1.3880800820283796;True;0.1484375
D09;739;1.0213278480687963e-06;6.505414336612116e-06;0.3691532258064516;-0.7109375;True;33;1.376243682012556;True;0.7109375
D09;2279;0.3612181047605188;0.4109031241618548;0.0;-0.1328125;False;188;1.3710773231574953;True;0.1328125
D09;1907;1.0213278480687963e-06;6.505414336612116e-06;0.3691532258064516;0.7109375;True;150;1.3697526664671584;True;0.7109375
D09;2298;0.3472684612275226;0.3985716922090928;0.0;-0.13671875;False;190;1.3625728246512374;True;0.13671875
D09;2296;0.3336664850829682;0.3857666070491363;0.0;-0.140625;False;189;1.3612077325209415;True;0.140625
D09;1377;0.5727946511124926;0.5984726589056151;0.0;0.08203125;False;97;1.360851077404422;True;0.08203125
D09;1379;0.527990680581799;0.5564793863685867;0.0;0.091796875;False;98;1.3564072138784058;True;0.091796875
D09;1983;9.195536902098595e-10;5.937376722162505e-08;0.5885235732009926;0.890625;True;158;1.345774153366733;True;0.890625
D09;2223;0.4051360646219855;0.4477015455494031;0.0;-0.12109375;False;182;1.3316147409503516;True;0.12109375
D09;2209;0.3541999011491752;0.4049409126292967;0.0;-0.134765625;False;181;1.3252548605670227;True;0.134765625
D09;2207;0.3612181047605188;0.4109031241618548;0.0;-0.1328125;False;180;1.3202631897293615;True;0.1328125
D09;743;2.709622176407572e-07;2.129285472724877e-06;0.4104247441066998;-0.748046875;True;34;1.309229893122943;True;0.748046875
D09;2191;0.4127542431822579;0.4507768651580464;0.0;-0.119140625;False;179;1.2991628942343825;True;0.119140625
D09;729;0.000137117000352;0.0004694941030418;0.2184088089330025;-0.5546875;True;32;1.2906778840704625;True;0.5546875
D09;2187;0.4684113514129006;0.4995900581112111;0.0;-0.10546875;False;178;1.29064802441108;True;0.10546875
D09;2308;0.527990680581799;0.5564793863685867;0.0;-0.091796875;False;191;1.289700996854738;True;0.091796875
D09;1847;0.6288276926865307;0.6510477524987757;0.0;0.0703125;False;144;1.2885249071368132;True;0.0703125
D09;2449;4.632941385561415e-08;5.081370471543563e-07;0.4655581187965261;0.794921875;True;205;1.2839369759908053;True;0.794921875
D09;1993;1.000345813900976e-09;5.937376722162505e-08;0.5858744959677419;0.888671875;True;159;1.2834859645348453;True;0.888671875
D09;401;7.75604315257066e-09;1.4850288881679097e-07;0.5215376861042184;-0.83984375;True;0;1.2752733000610745;True;0.83984375
D09;1721;0.4204566645130104;0.4565148856094147;0.0;0.1171875;False;132;1.2728261545306736;True;0.1171875
D09;2447;6.749464436755784e-08;6.853045326626787e-07;0.4537957506203474;0.78515625;True;204;1.2707194160625146;True;0.78515625
D09;2177;0.581967350664951;0.606820048913988;0.0;-0.080078125;False;177;1.2607909135663984;True;0.080078125
D09;2003;1.6518962475870402e-09;5.937376722162505e-08;0.5701021634615385;0.876953125;True;160;1.229290463899748;True;0.876953125
D09;2167;0.6674364917098823;0.6854843487716417;0.0;-0.0625;False;176;1.2170692021814529;True;0.0625
D09;1736;0.4440644845151411;0.4783488748637365;0.0;0.111328125;False;133;1.1915326123949144;True;0.111328125
D09;1857;0.3827911789219602;0.4285506047865395;0.0;0.126953125;False;145;1.1855031013060007;True;0.126953125
D09;2012;4.419717681131232e-09;1.1927422321052837e-07;0.5391856001861043;0.853515625;True;161;1.1727314500636536;True;0.853515625
D09;1396;0.368322877113706;0.4162149977742209;0.0;0.130859375;False;99;1.1677450307049189;True;0.130859375
D09;1828;0.2320805069585296;0.2853699758824606;0.0069042726426799;0.173828125;False;143;1.167519242169803;True;0.173828125
