genotipo;rank;banda_nm;p_valor;q_fdr
CD202;1;1514;8.240404084223828e-69;1.0882842535704141e-66
CD202;2;425;1.2175832314401974e-61;1.4864661950499076e-60
CD202;3;723;2.1219942929996614e-54;5.406472416077398e-54
CD202;4;980;2.232812085406705e-42;3.234108465514938e-42
CD202;5;1939;2.4505633957354355e-35;2.6906346491720443e-35
CD202;6;599;3.921050127179875e-23;4.1072899953247823e-23
