dia;metrica;media;desvio
D02;accuracy;0.515625;0.1067390704787458
D02;balanced_accuracy;0.515625;0.1067390704787458
D02;precision;0.625;0.2846375212766555
D02;recall;0.34375;0.1875
D02;f1;0.3948412698412697;0.1672796738758571
D02;auc_roc;0.513671875;0.1916187171113402
D03;accuracy;0.875;0.25
D03;balanced_accuracy;0.875;0.25
D03;precision;0.875;0.25
D03;recall;0.875;0.25
D03;f1;0.875;0.25
D03;auc_roc;0.9375;0.125
D04;accuracy;0.59375;0.1196783884695422
D04;balanced_accuracy;0.59375;0.1196783884695422
D04;precision;0.4583333333333332;0.3154949081000152
D04;recall;0.5;0.408248290463863
D04;f1;0.4678571428571428;0.3371297414720837
D04;auc_roc;0.765625;0.1795175827043134
D05;accuracy;0.875;0.1443375672974064
D05;balanced_accuracy;0.875;0.1443375672974064
D05;precision;0.9166666666666666;0.1666666666666666
D05;recall;0.875;0.25
D05;f1;0.8666666666666667;0.1632993161855452
D05;auc_roc;0.90625;0.1196783884695422
D06;accuracy;0.90625;0.1196783884695422
D06;balanced_accuracy;0.90625;0.1196783884695422
D06;precision;0.9166666666666666;0.1666666666666666
D06;recall;0.9375;0.125
D06;f1;0.9142857142857144;0.1016864595431553
D06;auc_roc;1.0;0.0
D09;accuracy;0.84375;0.1875
D09;balanced_accuracy;0.84375;0.1875
D09;precision;0.9;0.2
D09;recall;0.8125;0.2393567769390845
D09;f1;0.8333333333333333;0.1924500897298752
D09;auc_roc;0.880859375;0.23828125
D10;accuracy;0.9375;0.125
D10;balanced_accuracy;0.9375;0.125
D10;precision;0.9166666666666666;0.1666666666666666
D10;recall;1.0;0.0
D10;f1;0.95;0.0999999999999999
D10;auc_roc;0.9375;0.125
