dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D04;403;3.757708175153691e-09;1.4012835394982217e-07;0.5442802031637718;-0.857421875;True;0;2.012128506817059;True;0.857421875
D04;1952;6.01955430736702e-10;3.0112453376609166e-08;0.601856195719603;0.900390625;True;155;1.9701559810488944;True;0.900390625
D04;1942;1.9596401375206222e-10;1.6076887688219186e-08;0.6372014578163773;0.92578125;True;154;1.9686316673202982;True;0.92578125
D04;410;2.1543869097921124e-08;5.078905232165083e-07;0.48951903691067;-0.814453125;True;1;1.9467006920014163;True;0.814453125
D04;1933;1.0577309909764451e-10;1.2475974605404349e-08;0.6566406250000001;0.939453125;True;153;1.944726413455426;True;0.939453125
D04;1961;9.844018453217998e-09;2.692010913006682e-07;0.5140615307071961;0.833984375;True;156;1.9331582432200427;True;0.833984375
D04;1922;9.67857429078963e-11;1.2475974605404349e-08;0.65944091191067;0.94140625;True;152;1.9129068050587166;True;0.94140625
D04;1912;5.527544589706613e-10;2.8342484883720666e-08;0.6045401674937965;0.90234375;True;151;1.8954805264987094;True;0.90234375
D04;420;6.763059446472279e-07;1.11863184876731e-05;0.3819595223325062;-0.72265625;True;2;1.8782783019808718;True;0.72265625
D04;1968;2.184839772303521e-07;4.000987833030822e-06;0.4171332196029776;0.75390625;True;157;1.8743819921125264;True;0.75390625
D04;1906;9.844018453217998e-09;2.692010913006682e-07;0.5140615307071961;0.833984375;True;150;1.8669147744777623;True;0.833984375
D04;430;6.436358807385795e-06;7.543412522256151e-05;0.3121588089330025;-0.65625;True;3;1.7991123703787275;True;0.65625
D04;1978;3.339445926144025e-05;0.0003390694848772;0.2615181063895782;0.603515625;True;158;1.7535324169630822;True;0.603515625
D04;440;4.216549447865922e-05;0.0004177846820083;0.2543763570099256;-0.595703125;True;4;1.7203412518770853;True;0.595703125
D04;450;0.0003200858539415;0.0025057102535654;0.1927264267990074;-0.5234375;True;5;1.6177570292324264;True;0.5234375
D04;1988;0.0007510938551174;0.0053863408980626;0.1670702155707196;0.490234375;True;159;1.609173066459045;True;0.490234375
D04;460;0.0024090538036404;0.0082902170323265;0.1323937655086849;-0.44140625;True;6;1.5241412512738932;True;0.44140625
D04;2450;0.0002467468166146;0.0020003071971405;0.2005922379032258;0.533203125;True;205;1.5148788838735612;True;0.533203125
D04;1897;0.0011031796774387;0.0066743997593712;0.1555782800868486;0.474609375;True;149;1.508379979573742;True;0.474609375
D04;1366;1.8446041281200964e-08;4.450921255028609e-07;0.4943810096153846;-0.818359375;True;96;1.4978040177010061;True;0.818359375
D04;1359;1.635704831930318e-07;3.049846009353711e-06;0.4261592741935484;-0.76171875;True;95;1.4898859019805986;True;0.76171875
D04;2447;0.0008686652051795;0.006019028161565;0.1627171215880893;0.484375;True;204;1.4822354485720877;True;0.484375
D04;1998;0.0162407194133553;0.0257019409851789;0.0770422999379652;0.349609375;True;160;1.4686264010116161;True;0.349609375
D04;470;0.0069577871797186;0.0139359585015654;0.1013521634615384;-0.392578125;True;7;1.4429418647594416;True;0.392578125
D04;1374;4.791988260662322e-09;1.665825071630241e-07;0.5366470223325063;-0.8515625;True;97;1.4133130049337792;True;0.8515625
D04;480;0.0583274625198995;0.0748152755649242;0.0416824984491315;-0.275390625;False;8;1.3601570871235853;True;0.275390625
D04;2008;0.0741297894045203;0.0929909468309915;0.0353084289702233;0.259765625;False;161;1.3478456959418064;True;0.259765625
D04;2437;0.0111573361887434;0.0197955852276061;0.0877432924937965;0.369140625;True;203;1.3250082123468834;True;0.369140625
D04;1382;1.2474358573816622e-08;3.198113679362236e-07;0.5066377171215881;-0.828125;True;98;1.278370779707138;True;0.828125
D04;490;0.1708212644876045;0.197494032392377;0.014124534739454;-0.19921875;False;9;1.2679188943628716;True;0.19921875
D04;1349;0.0088370369503834;0.0166587893246658;0.0944430443548387;-0.380859375;True;94;1.2629661997828183;True;0.380859375
D04;714;2.285823180339581e-06;3.189267580188082e-05;0.3441687344913152;0.6875;True;31;1.2571484375145807;True;0.6875
D04;2018;0.2167195591346799;0.2465290159651849;0.0084832506203473;0.1796875;False;162;1.2435114457854652;True;0.1796875
D04;708;2.285823180339581e-06;3.189267580188082e-05;0.3441687344913152;0.6875;True;30;1.2276597516431127;True;0.6875
D04;721;2.4417887923868625e-06;3.2948084297272725e-05;0.3421244959677419;0.685546875;True;32;1.1987689590511343;True;0.685546875
D04;2427;0.1508017011713427;0.1759353180332331;0.0171632676799007;0.208984375;False;202;1.1865342595378683;True;0.208984375
D04;2028;0.3755139894523284;0.4120808947922554;0.0;0.12890625;False;163;1.1575030409450833;True;0.12890625
D04;500;0.4850446216203928;0.5230423338293511;0.0;-0.1015625;False;10;1.1495745173008152;True;0.1015625
D04;1390;5.49047958631088e-07;9.230306255347223e-06;0.3884411833126551;-0.728515625;True;99;1.1369005448785716;True;0.728515625
D04;2038;0.7676903302802331;0.7829601528616401;0.0;0.04296875;False;164;1.0852896698539714;True;0.04296875
D04;1400;9.381415139039222e-06;0.0001063054279014;0.3005389267990074;-0.64453125;True;100;1.0323248956804973;True;0.64453125
D04;2408;0.6193267848636888;0.6470907976339407;0.0;-0.072265625;False;201;0.990608742466495;False;0.072265625
