fold;bloco_teste;n_teste;accuracy;balanced_accuracy;precision;recall;f1;auc_roc
1;B4;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5703125
2;B3;16;0.9375;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.8984375
3;B2;16;0.5;0.5;0.0;0.0;0.0;0.75
4;B1;16;0.125;0.125;0.2;0.25;0.2222222222222222;0.0390625
