posicao;banda_nm;vip
1;1935;2.2905522609181577
2;1925;2.234320206900232
3;1945;2.1135690377427054
4;1915;1.9702239000494681
5;1835;1.8815919859241903
6;1845;1.8251799265620503
7;1955;1.7821541157598806
8;1855;1.7574145337296063
9;1865;1.654861716538277
10;2235;1.5611327287235628
11;2245;1.5544267756828885
12;2225;1.5410289754157953
13;2215;1.523172107649505
14;2255;1.5087868116220864
15;1345;1.4844837950336824
16;1875;1.4812499260604262
17;2205;1.4713138213960903
18;1965;1.4461101165346029
19;2265;1.4446301171865477
20;2195;1.4023904486906993
21;1335;1.3959265717549125
22;1355;1.372219989428185
23;2275;1.3513300227468428
24;2185;1.3314454114865701
25;2295;1.325328155472425
26;1385;1.315470048896451
27;1375;1.3143282973921602
28;2305;1.3120964479544237
29;1365;1.2992734932269658
30;2285;1.2935034152331988
31;2345;1.258176297031107
32;2335;1.252539887535558
33;2315;1.2471756903437534
34;1395;1.2454511369461196
35;2355;1.2415400473504694
36;1885;1.2351370482286692
37;2325;1.2331584545976206
38;2175;1.226648397673545
39;2365;1.2254755354989915
40;2375;1.2150564669901054
41;2385;1.2028288863593584
42;715;1.200806844888946
43;705;1.1916144301634037
44;2395;1.1822531834409966
45;695;1.1816050269131553
46;1975;1.1756106156805401
47;1905;1.1540621066573595
48;1405;1.1524987556712294
49;1825;1.1472767524571117
50;2405;1.1436538460237322
51;2165;1.134722860354387
52;725;1.114699832385092
53;1815;1.1053902789194372
54;1325;1.082710292710249
55;2415;1.0667372512382498
56;1805;1.052929082204238
57;2155;1.0488402145345803
58;2425;1.0098860331571582
59;1415;1.0045353029547657
60;685;0.9984773585582826
61;735;0.9970736186244284
62;1795;0.9855286684966149
63;1985;0.9770061007879883
64;595;0.9758375268363523
65;605;0.9649642491239186
66;635;0.9620392585874274
67;745;0.9594982753142871
68;585;0.9590629004242273
69;625;0.9563057600196393
70;615;0.9562311338350606
71;755;0.9538909352233927
72;2145;0.9511451020235898
73;765;0.9452810675087197
74;645;0.9422272250281546
75;675;0.9406579658272478
76;2435;0.9344485085301664
77;1785;0.9332949005720653
78;775;0.9259492341293653
79;575;0.9252981691757595
80;655;0.9203448095668831
81;665;0.9129429059820389
82;785;0.9120904999995884
83;865;0.9105728120999405
84;885;0.9085829327578344
85;875;0.9083326071652638
86;795;0.9067385459412193
87;855;0.9047574558090158
88;895;0.9040066258369922
89;1775;0.9015001510618729
90;805;0.9004949326756262
91;905;0.8994290045263108
92;845;0.8967188297758422
93;815;0.8959181885585145
94;835;0.8949053132548147
95;825;0.893197625861821
96;525;0.8926305007941229
97;915;0.8917620255068461
98;1765;0.8885041829885408
99;925;0.8883792460340999
100;2135;0.8786504818172932
101;935;0.8750287594227709
102;1315;0.869306747403759
103;1755;0.860906219613547
104;945;0.8566615145110926
105;1995;0.8428840133299765
106;1745;0.8412250595672672
107;2445;0.8328013647945334
108;1735;0.8283595739588621
109;565;0.8258908095199898
110;515;0.8257490422450245
111;1725;0.8235862835413026
112;955;0.823130697684105
113;995;0.814665615321046
114;2125;0.8145881463643894
115;975;0.8143402299929744
116;1425;0.8140154635595268
117;985;0.8136365299497147
118;1005;0.8117694221954479
119;1015;0.8088641129932702
120;965;0.8084698551697415
121;535;0.8069336665657937
122;1025;0.8037347536969393
123;1035;0.7928593126890097
124;2450;0.7788947076649263
125;1715;0.7764699674720258
126;1045;0.7758511221604346
127;1055;0.7619262403094772
128;2005;0.7614492415649907
129;2115;0.7587758094487023
130;1205;0.7546151664174309
131;1895;0.7459673475914717
132;545;0.7459371855660534
133;1195;0.7441369625882589
134;505;0.7378420418543449
135;1065;0.7357840408913306
136;1215;0.7315969645785356
137;1185;0.7300375355697324
138;405;0.7284872449657614
139;2105;0.7220830899410254
140;1535;0.7197386496189998
141;1545;0.7195145912115805
