fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;0;0.4989811636677645
1;1;0;0.49102156381031026
1;1;1;0.6006724181881098
1;0;0;0.28177569661951873
1;0;0;0.27386942897530026
1;0;0;0.04385537064750589
1;1;0;0.4729598549570921
1;1;0;0.470251908298078
1;0;0;0.33104196063860547
1;0;0;0.29975185321974396
1;0;0;0.27129746826629275
1;1;0;0.48923723793946017
1;1;1;0.7020050116173808
1;1;1;0.6959728181398374
1;0;1;0.6531109535861388
1;0;0;0.017634385083454607
2;0;1;0.7430602476473249
2;0;1;0.6403583473912642
2;0;1;0.6356487491842112
2;1;1;0.6180465650407558
2;1;1;0.6524284591599683
2;0;0;0.2865147595853304
2;0;0;-0.09458997398403546
2;0;0;-0.131604651403338
2;1;1;0.8236968677710634
2;1;1;0.519334800596411
2;0;1;0.6730144217555365
2;0;0;0.1163194638909743
2;1;1;0.7305612190319842
2;1;1;0.7141684645628419
2;1;1;0.6502555479279616
2;1;1;0.6172678119501657
3;0;1;0.6935219469211472
3;1;1;0.5748064590712358
3;1;1;0.6723678442967597
3;0;0;0.37877084918298354
3;0;0;-0.11990764979489654
3;1;1;0.7605025948436688
3;1;1;0.5499797255736989
3;0;1;0.585427280365247
3;0;1;0.5506181768248634
3;0;1;0.5225142391647587
3;1;1;0.5285767689903316
3;1;1;0.7527062445570023
3;1;1;0.7495625752195549
3;0;1;0.7109513910150717
3;0;0;0.002879381351157284
3;1;1;0.6471198985954427
4;0;1;0.8634079790852974
4;0;1;0.8423255615621011
4;0;1;0.7089302592191581
4;0;1;0.7021503604654578
4;1;1;0.6972806573747488
4;1;1;0.8490401455120642
4;1;1;0.8476430903573151
4;1;0;0.4295612969295425
4;0;0;0.14731389150212748
4;0;1;0.5487292855643662
4;1;0;0.46548052919387206
4;0;1;0.6328185106680398
4;0;0;0.06342614561402427
4;1;1;0.7350346524188649
4;1;1;0.6431802593327955
4;1;1;0.6353045438982089
