fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
1;48;16;0.625;0.5;0.25;0.90625
2;48;16;0.75;0.8;0.5;0.71875
3;48;16;0.6875;0.7619047619047619;0.375;0.765625
4;48;16;0.5;0.6;0.0;0.5625
