n_componentes;balanced_accuracy_cv;desvio_cv
1;0.5;0.0
2;0.625;0.21650635094610965
3;0.703125;0.213668661424646
4;0.75;0.25
5;0.75;0.25
6;0.75;0.25
7;0.765625;0.1788362990978062
8;0.765625;0.1788362990978062
9;0.734375;0.1788362990978062
10;0.75;0.1767766952966369
